Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-28,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-27,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-24,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-23,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-22,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-21,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-20,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-17,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-16,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-15,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
2026-04-14,FASW,Fajar Surya Wisesa Tbk.,--U-4135000000B131-----------X,5275.0,0.0,0.0,0.0,5275.0,0.0,0,0,0,1249.0,0,0,0,0,3221255423,3221255423,5476134,0,0,0,0,0
