Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122---L--------,138.0,138.0,140.0,136.0,136.0,-2.0,4620900,636931200,561,27.2,137,14400,136,62400,1475363179,1475363179,713485633,1159100,342600,3600,504000,1
2026-05-05,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122---L--------,138.0,138.0,142.0,136.0,138.0,0.0,4132400,576778800,475,27.6,139,10000,138,108400,1475363179,1475363179,713485633,1340000,51500,0,0,0
2026-05-04,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,138.0,139.0,143.0,135.0,138.0,0.0,3507600,485036600,594,27.6,139,36200,138,10000,1475363179,1475363179,713485633,86800,144600,0,0,0
2026-04-30,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,142.0,142.0,144.0,136.0,138.0,-4.0,5294600,735458800,759,27.6,139,4100,138,215800,1475363179,1475363179,713485633,301900,315700,0,0,0
2026-04-29,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,141.0,141.0,144.0,140.0,142.0,1.0,3805900,537632000,595,28.4,143,15900,142,348800,1475363179,1475363179,713485633,103700,257300,0,0,0
2026-04-28,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,141.0,141.0,145.0,138.0,141.0,0.0,3312700,467166800,451,28.2,142,15800,141,393000,1475363179,1475363179,713485633,843400,453700,0,0,0
2026-04-27,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,142.0,146.0,146.0,137.0,141.0,-1.0,5082900,716348100,819,28.2,142,101900,140,11000,1475363179,1475363179,713485633,542600,514000,0,0,0
2026-04-24,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,153.0,151.0,152.0,141.0,142.0,-11.0,9679400,1408201200,1338,28.4,142,110500,141,191300,1475363179,1475363179,713485633,1843400,690300,0,0,0
2026-04-23,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,154.0,155.0,158.0,149.0,153.0,-1.0,13379800,2047495700,1583,30.6,153,198800,152,39000,1475363179,1475363179,713485633,4521700,352100,0,0,0
2026-04-22,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,146.0,146.0,161.0,146.0,154.0,8.0,25557900,3976019500,3346,30.8,155,1100,154,152800,1475363179,1475363179,713485633,1452800,1960100,0,0,0
2026-04-21,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,148.0,148.0,151.0,144.0,146.0,-2.0,4381300,644223200,745,29.2,148,20500,146,227000,1475363179,1475363179,713485633,267600,562700,0,0,0
2026-04-20,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,153.0,153.0,156.0,147.0,148.0,-5.0,4328400,650220700,789,29.6,148,106300,147,244500,1475363179,1475363179,713485633,438200,211100,0,0,0
2026-04-17,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,152.0,152.0,155.0,151.0,153.0,1.0,3407700,521830400,600,30.6,154,16500,153,112800,1475363179,1475363179,713485633,298300,43600,0,0,0
2026-04-16,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,155.0,155.0,157.0,151.0,152.0,-3.0,4242900,650420800,708,30.4,153,91700,152,10100,1475363179,1475363179,713485633,344000,124900,0,0,0
2026-04-15,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,156.0,160.0,160.0,153.0,155.0,-1.0,6602000,1025445900,978,31.0,155,179200,154,141300,1475363179,1475363179,713485633,700100,301600,0,0,0
2026-04-14,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,153.0,154.0,160.0,154.0,156.0,3.0,11559600,1809968500,1435,31.2,156,121700,155,272800,1475363179,1475363179,713485633,643000,1110400,17,2227,1
2026-04-13,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,152.0,152.0,155.0,145.0,153.0,1.0,7987200,1211164100,1220,30.6,154,83600,153,20000,1475363179,1475363179,713485633,108000,1205200,0,0,0
2026-04-10,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,148.0,148.0,164.0,147.0,152.0,4.0,19561700,3033220500,2610,30.4,154,269400,152,54000,1475363179,1475363179,713485633,956400,1686900,0,0,0
2026-04-09,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,152.0,154.0,154.0,146.0,148.0,-4.0,6560100,979419800,1036,29.6,148,176400,147,109300,1475363179,1475363179,713485633,1342300,305500,0,0,0
2026-04-08,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,142.0,150.0,153.0,146.0,152.0,10.0,12839700,1914378300,1331,30.4,153,145000,152,376300,1475363179,1475363179,713485633,256300,6075800,0,0,0
2026-04-07,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,145.0,149.0,152.0,142.0,142.0,-3.0,11053900,1624985900,1224,28.4,143,60100,142,142200,1475363179,1475363179,713485633,1157800,1564000,0,0,0
2026-04-06,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,138.0,138.0,150.0,135.0,145.0,7.0,14138600,2045947300,1715,29.0,146,34600,145,109300,1475363179,1475363179,713485633,1518800,2136400,0,0,0
2026-04-02,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,149.0,152.0,152.0,138.0,138.0,-11.0,15372800,2176770300,1663,27.6,138,45400,137,243200,1475363179,1475363179,713485633,2410500,1498700,0,0,0
2026-04-01,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,129.0,133.0,162.0,133.0,149.0,20.0,87846800,13487720400,9875,29.8,150,140700,149,226000,1475363179,1475363179,713485633,14741400,15604600,0,0,0
2026-03-31,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,129.0,129.0,133.0,125.0,129.0,0.0,4233800,544012200,592,25.8,129,155100,127,50000,1475363179,1475363179,712895488,1037600,695300,0,0,0
2026-03-30,FIRE,Alfa Energi Investama Tbk.,--UO2130000000A122------------,133.0,133.0,133.0,126.0,129.0,-4.0,4629400,597393600,551,25.8,130,3700,129,189200,1475363179,1475363179,712895488,1050300,703300,0,0,0
