Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-30,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,175.0,0.0,179.0,164.0,178.0,3.0,1214900,211498500,239,89.0,178,669800,177,1100,781250000,781250000,0,0,0,0,0,0
2026-04-29,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,162.0,0.0,178.0,162.0,175.0,13.0,2984000,519004300,356,87.5,175,48400,173,32500,781250000,781250000,0,0,0,100000,15000000,1
2026-04-28,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,162.0,0.0,167.0,160.0,162.0,0.0,2094800,340750700,225,81.0,164,2100,161,46300,781250000,781250000,0,0,0,0,0,0
2026-04-27,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,159.0,0.0,167.0,154.0,162.0,3.0,1104200,181301500,144,81.0,162,20600,160,36600,781250000,781250000,0,0,0,0,0,0
2026-04-24,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,165.0,0.0,169.0,154.0,159.0,-6.0,526900,84116600,108,79.5,157,13400,155,1500,781250000,781250000,0,0,0,0,0,0
2026-04-23,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,171.0,0.0,171.0,165.0,165.0,-6.0,511700,85335500,127,82.5,168,20000,165,50100,781250000,781250000,0,0,0,0,0,0
2026-04-22,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,168.0,0.0,177.0,166.0,171.0,3.0,2366100,403536000,188,85.5,171,199400,167,12800,781250000,781250000,0,42700,4800,0,0,0
2026-04-21,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,165.0,0.0,168.0,154.0,168.0,3.0,7142200,1174892100,243,84.0,169,45400,168,2200,781250000,781250000,0,0,0,0,0,0
2026-04-20,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,158.0,0.0,170.0,157.0,165.0,7.0,2620500,433786300,295,82.5,165,1300,164,2000,781250000,781250000,0,1000,0,0,0,0
2026-04-17,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,151.0,0.0,163.0,150.0,158.0,7.0,1523200,239357700,158,79.0,159,5900,158,205600,781250000,781250000,0,486200,0,0,0,0
