Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-15,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1170.0,1170.0,1250.0,1150.0,1200.0,30.0,375100,448523500,129,923.1,1210,53000,1200,20100,465224000,465224000,54152074,8400,2700,0,0,0
2026-04-14,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1130.0,0.0,1200.0,1130.0,1170.0,40.0,380400,442263500,104,900.0,1175,1000,1170,4200,465224000,465224000,54152074,0,5100,0,0,0
2026-04-13,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1145.0,0.0,1210.0,1120.0,1130.0,-15.0,295900,339487500,145,869.2,1175,1800,1130,100,465224000,465224000,54152074,4100,0,0,0,0
2026-04-10,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1125.0,1125.0,1150.0,1115.0,1145.0,20.0,32800,37016500,44,880.8,1145,13300,1135,100,465224000,465224000,54152074,1200,0,0,0,0
2026-04-09,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1180.0,0.0,1180.0,1120.0,1125.0,-55.0,280500,316180000,97,865.4,1125,1300,1120,4900,465224000,465224000,54152074,500,0,0,0,0
2026-04-08,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1125.0,0.0,1185.0,1125.0,1180.0,55.0,30100,34784500,28,907.7,1180,10700,1145,1800,465224000,465224000,54152074,600,0,0,0,0
2026-04-07,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1160.0,1160.0,1200.0,1125.0,1125.0,-35.0,29400,33933500,47,865.4,1125,18100,1115,400,465224000,465224000,54152074,3700,0,0,0,0
2026-04-06,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1175.0,0.0,1455.0,1150.0,1160.0,-15.0,187600,233091000,231,892.3,1160,5200,1155,1100,465224000,465224000,54152074,12100,0,0,0,0
2026-04-02,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1170.0,1140.0,1230.0,1140.0,1175.0,5.0,73400,86412500,72,903.8,1175,3400,1170,100,465224000,465224000,54152074,1300,0,0,0,0
2026-04-01,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1200.0,0.0,1230.0,1150.0,1170.0,-30.0,27500,32386500,65,900.0,1170,2000,1160,200,465224000,465224000,54152074,0,0,0,0,0
2026-03-31,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1190.0,0.0,1240.0,1115.0,1200.0,10.0,58400,68523500,75,923.1,1200,7500,1170,17100,465224000,465224000,54152074,0,0,0,0,0
2026-03-30,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1190.0,0.0,1245.0,1130.0,1190.0,0.0,27500,32967000,51,915.4,1190,10400,1145,7000,465224000,465224000,54152074,6700,0,0,0,0
2026-03-27,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1145.0,0.0,1235.0,1125.0,1190.0,45.0,346600,408951000,150,915.4,1190,10500,1165,200,465224000,465224000,54152074,7800,0,0,0,0
2026-03-26,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1090.0,0.0,1235.0,1095.0,1145.0,55.0,218200,246991500,341,880.8,1145,10900,1120,317100,465224000,465224000,54152074,0,37300,0,0,0
2026-03-25,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1035.0,1050.0,1200.0,1035.0,1090.0,55.0,182200,199768000,231,838.5,1115,100000,1080,100800,465224000,465224000,54152074,0,45300,0,0,0
2026-03-17,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1020.0,0.0,1275.0,1025.0,1035.0,15.0,556100,628343000,629,796.2,1090,300,1035,100,465224000,465224000,54152074,45800,9900,0,0,0
2026-03-16,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1185.0,1185.0,1185.0,1010.0,1020.0,-165.0,381400,396832000,213,784.6,1045,8000,1020,9900,465224000,465224000,54152074,1900,123500,0,0,0
2026-03-13,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1390.0,1390.0,1390.0,1185.0,1185.0,-205.0,202000,250519500,230,911.5,1185,483000,0,0,465224000,465224000,54152074,0,8700,0,0,0
2026-03-12,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1395.0,1395.0,1435.0,1310.0,1390.0,-5.0,626800,886222500,146,1069.2,1390,3900,1330,200,465224000,465224000,54152074,0,10000,0,0,0
2026-03-11,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1400.0,1425.0,1425.0,1370.0,1395.0,-5.0,100700,140748500,59,1073.1,1395,25300,1380,200,465224000,465224000,54152074,0,24000,0,0,0
2026-03-10,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1405.0,0.0,1435.0,1400.0,1400.0,-5.0,41800,59360500,47,1076.9,1400,1300,1385,1000,465224000,465224000,54152074,12800,0,0,0,0
2026-03-09,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1455.0,1350.0,1455.0,1350.0,1405.0,-50.0,39900,55233000,74,1080.8,1410,12400,1405,700,465224000,465224000,54152074,0,0,0,0,0
2026-03-06,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1475.0,1475.0,1475.0,1400.0,1455.0,-20.0,50900,72391000,58,1119.2,1455,500,1410,100,465224000,465224000,54152074,0,0,0,0,0
2026-03-05,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1485.0,0.0,1495.0,1400.0,1475.0,-10.0,51400,74257500,92,1134.6,1480,1000,1475,400,465224000,465224000,54152074,0,0,0,0,0
2026-03-04,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1490.0,0.0,1600.0,1370.0,1485.0,-5.0,341600,505074000,127,1142.3,1490,45700,1485,3000,465224000,465224000,54152074,21500,0,0,0,0
2026-03-03,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1525.0,0.0,1510.0,1415.0,1490.0,-35.0,57900,86416000,85,1146.2,1490,3800,1480,200,465224000,465224000,54152074,6900,0,0,0,0
2026-03-02,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1555.0,1420.0,1600.0,1370.0,1525.0,-30.0,237700,357821000,161,1173.1,1515,2900,1455,500,465224000,465224000,54152074,0,6100,0,0,0
2026-02-27,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1520.0,1500.0,1700.0,1500.0,1555.0,35.0,38900,60391000,106,1196.2,1595,700,1560,400,465224000,465224000,54152074,0,0,0,0,0
2026-02-26,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1615.0,0.0,1700.0,1510.0,1520.0,-95.0,114800,181442500,202,1169.2,1520,26300,1515,500,465224000,465224000,54152074,0,0,1321200,2074284000,1
2026-02-25,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1625.0,1500.0,1625.0,1500.0,1615.0,-10.0,88100,140844500,85,1242.3,1620,17000,1585,4700,465224000,465224000,54152074,34200,0,0,0,0
2026-02-24,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1645.0,1645.0,1870.0,1600.0,1625.0,-20.0,168000,286686000,348,1250.0,1625,1521500,1620,1400,465224000,465224000,54152074,30300,0,0,0,0
2026-02-23,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1685.0,1560.0,1660.0,1500.0,1645.0,-40.0,255800,400668500,349,1265.4,1645,300,1605,900,465224000,465224000,54152074,0,7200,0,0,0
2026-02-20,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1700.0,1685.0,1700.0,1640.0,1685.0,-15.0,78300,131509000,99,1296.2,1685,1000,1660,200,465224000,465224000,54152074,7000,0,0,0,0
2026-02-19,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1755.0,1755.0,1770.0,1680.0,1700.0,-55.0,148700,255045500,159,1307.7,1700,1300,1685,600,465224000,465224000,54152074,8100,600,0,0,0
2026-02-18,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1765.0,1765.0,1775.0,1725.0,1755.0,-10.0,88300,155775000,94,1350.0,1755,3900,1740,100,465224000,465224000,54152074,4800,10300,0,0,0
2026-02-13,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1710.0,0.0,1775.0,1685.0,1765.0,55.0,123200,215101500,104,1357.7,1765,9500,1760,100,465224000,465224000,54152074,28000,0,0,0,0
2026-02-12,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1750.0,1785.0,1785.0,1700.0,1710.0,-40.0,62400,108654500,103,1315.4,1710,30600,1705,200,465224000,465224000,54152074,6600,0,0,0,0
2026-02-11,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1695.0,1725.0,1765.0,1690.0,1750.0,55.0,180000,314085000,178,1346.2,1755,3200,1750,10900,465224000,465224000,54152074,0,68200,0,0,0
2026-02-10,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1680.0,1680.0,1740.0,1620.0,1695.0,15.0,42900,72701500,129,1303.8,1695,3400,1645,100,465224000,465224000,54152074,100,0,0,0,0
2026-02-09,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1585.0,0.0,1790.0,1545.0,1680.0,95.0,111300,187426500,201,1292.3,1685,9100,1640,900,465224000,465224000,54152074,100,0,0,0,0
2026-02-06,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1625.0,0.0,1710.0,1500.0,1585.0,-40.0,107700,173503500,141,1219.2,1585,1800,1550,500,465224000,465224000,54152074,13700,0,0,0,0
2026-02-05,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1640.0,0.0,1695.0,1545.0,1625.0,-15.0,180500,291884500,86,1250.0,1625,300,1600,1100,465224000,465224000,54152074,21400,0,0,0,0
2026-02-04,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1620.0,1625.0,1775.0,1560.0,1640.0,20.0,394900,671998000,317,1261.5,1640,800,1615,700,465224000,465224000,54152074,200,0,0,0,0
2026-02-03,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1395.0,1395.0,1680.0,1340.0,1620.0,225.0,763500,1225793500,380,1246.2,1620,43300,1575,500,465224000,465224000,54152074,61800,137800,0,0,0
2026-02-02,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1575.0,1570.0,1570.0,1360.0,1395.0,-180.0,128100,180791000,190,1073.1,1395,1600,1390,100,465224000,465224000,54152074,10300,0,0,0,0
2026-01-30,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1420.0,0.0,1590.0,1380.0,1575.0,155.0,163300,238965000,121,1211.5,1575,8300,1500,1900,465224000,465224000,54152074,500,0,0,0,0
2026-01-29,FORU,Fortune Indonesia Tbk,--UO2100000000E611------------,1495.0,0.0,1495.0,1275.0,1420.0,-75.0,310300,418316000,206,1092.3,1415,2900,1390,2000,465224000,465224000,54152074,24800,23000,0,0,0
