Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2025-07-18,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-17,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-16,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-15,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-14,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-11,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-10,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-09,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-08,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-07,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-04,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
2025-07-03,FORZ,Forza Land Indonesia Tbk.,--U-4100000000H111B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,22.7,0,0,0,0,1984009887,1984009887,1095570260,0,0,0,0,0
