Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,394.0,392.0,404.0,392.0,400.0,6.0,1632000,650723600,471,121.3,404,111100,400,29200,5566414000,5566414000,417481050,244700,554500,0,0,0
2026-03-31,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,404.0,404.0,408.0,390.0,394.0,-10.0,998800,396167600,395,119.5,396,400,394,33700,5566414000,5566414000,417481050,447900,89100,0,0,0
2026-03-27,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,402.0,402.0,414.0,392.0,392.0,-10.0,1698900,679603800,462,118.9,394,10000,392,6500,5566414000,5566414000,417481050,552500,247500,0,0,0
2026-03-26,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,404.0,416.0,418.0,398.0,402.0,-2.0,2012000,818563200,592,121.9,404,4500,402,133000,5566414000,5566414000,417481050,670700,323000,0,0,0
2026-03-25,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,370.0,370.0,414.0,364.0,404.0,34.0,4089000,1598233200,960,122.5,406,15200,404,25000,5566414000,5566414000,417481050,389400,2104800,0,0,0
2026-03-17,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,364.0,364.0,388.0,362.0,370.0,6.0,2366800,879596800,455,112.2,372,10900,370,83700,5566414000,5566414000,417481050,596800,935400,0,0,0
2026-03-16,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,362.0,362.0,378.0,340.0,364.0,2.0,2141900,774744600,557,110.4,368,9900,364,285900,5566414000,5566414000,417481050,209100,670000,0,0,0
2026-03-13,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,374.0,372.0,390.0,356.0,362.0,-12.0,2845200,1051334600,565,109.8,364,1800,362,43200,5566414000,5566414000,417481050,511700,684800,0,0,0
2026-03-12,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,396.0,396.0,410.0,368.0,374.0,-22.0,5278200,2007592000,962,113.4,376,28000,374,11300,5566414000,5566414000,417481050,219900,2165600,0,0,0
2026-03-11,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,418.0,424.0,426.0,394.0,396.0,-22.0,5831500,2376902600,1249,120.1,398,22400,396,486100,5566414000,5566414000,417481050,1528700,1355300,0,0,0
2026-03-10,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,372.0,374.0,428.0,366.0,418.0,46.0,17921900,7247125000,3588,126.8,420,26400,418,211400,5566414000,5566414000,417481050,5515800,3695200,0,0,0
2026-03-09,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,416.0,416.0,416.0,356.0,372.0,-44.0,8661400,3238349600,1114,112.8,384,2300,372,500,5566414000,5566414000,417481050,802700,3982700,0,0,0
2026-03-06,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,438.0,438.0,438.0,400.0,416.0,-22.0,6228100,2569728000,1012,126.2,418,152500,416,401000,5566414000,5566414000,417481050,742600,2788300,0,0,0
2026-03-05,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,448.0,448.0,480.0,434.0,438.0,-10.0,6104500,2744911200,1003,132.9,438,13300,436,93500,5566414000,5566414000,417481050,1551600,1508400,0,0,0
2026-03-04,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,490.0,490.0,490.0,432.0,448.0,-42.0,6008800,2734567400,1389,135.9,448,223400,446,48600,5566414000,5566414000,417481050,923900,2476200,0,0,0
2026-03-03,FPNI,Lotte Chemical Titan Tbk.,--UO2135000000B111------------,494.0,494.0,515.0,484.0,490.0,-4.0,4454000,2198275000,1045,148.6,494,9900,490,106500,5566414000,5566414000,417481050,1095500,1675400,0,0,0
