Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,304.0,0.0,308.0,300.0,300.0,-4.0,187900,57131400,149,35.7,304,7900,300,5000,12111376157,12111376157,965276680,26900,1400,0,0,0
2026-03-11,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,302.0,304.0,320.0,298.0,304.0,2.0,370600,112340000,106,36.2,304,11100,300,200,12111376157,12111376157,965276680,38500,40800,0,0,0
2026-03-10,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,294.0,302.0,304.0,296.0,302.0,8.0,412100,123792400,99,36.0,302,95500,300,2600,12111376157,12111376157,965276680,82700,0,0,0,0
2026-03-09,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,302.0,300.0,306.0,286.0,294.0,-8.0,1496000,438969800,249,35.0,294,40400,290,5000,12111376157,12111376157,965276680,329000,36500,0,0,0
2026-03-06,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,310.0,0.0,308.0,300.0,302.0,-8.0,1543800,467740000,174,36.0,302,27900,300,201800,12111376157,12111376157,965276680,86400,0,0,0,0
2026-03-05,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,302.0,302.0,312.0,302.0,310.0,8.0,349900,107678200,83,36.9,308,13900,306,800,12111376157,12111376157,965276680,51900,0,0,0,0
2026-03-04,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,312.0,314.0,314.0,298.0,302.0,-10.0,3542100,1077057400,317,36.0,310,27800,302,60200,12111376157,12111376157,965276680,251900,479000,0,0,0
2026-03-03,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,316.0,0.0,320.0,310.0,312.0,-4.0,706700,221905200,184,37.1,312,9800,310,74600,12111376157,12111376157,965276680,46800,11000,0,0,0
2026-03-02,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,316.0,302.0,336.0,302.0,316.0,0.0,3124000,988379200,316,37.6,316,136500,314,18400,12111376157,12111376157,965276680,162000,132700,0,0,0
2026-02-27,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,316.0,318.0,320.0,304.0,316.0,0.0,1047500,327490400,149,37.6,316,16700,314,20000,12111376157,12111376157,965276680,89900,115500,0,0,0
2026-02-26,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,322.0,0.0,324.0,312.0,316.0,-6.0,2415500,764804000,331,37.6,316,39900,314,152500,12111376157,12111376157,965276680,106900,60100,0,0,0
2026-02-25,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,322.0,330.0,330.0,318.0,322.0,0.0,1912100,619659400,231,38.3,324,26600,320,53800,12111376157,12111376157,965276680,131500,137800,0,0,0
2026-02-24,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,340.0,340.0,348.0,322.0,322.0,-18.0,5268200,1759360400,428,38.3,326,2200,322,300,12111376157,12111376157,965276680,665200,39300,0,0,0
2026-02-23,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,334.0,330.0,350.0,328.0,340.0,6.0,3949800,1332201600,291,40.5,340,261200,338,3000,12111376157,12111376157,965276680,684000,4400,0,0,0
2026-02-20,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,328.0,340.0,340.0,330.0,334.0,6.0,2630100,878068600,218,39.8,334,29300,330,20000,12111376157,12111376157,965276680,43800,239800,0,0,0
2026-02-19,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,326.0,330.0,342.0,322.0,328.0,2.0,4050000,1347944000,321,39.0,332,27600,330,10000,12111376157,12111376157,965276680,10400,376400,0,0,0
2026-02-18,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,318.0,318.0,340.0,316.0,326.0,8.0,2649300,865236400,297,38.8,326,400,324,41500,12111376157,12111376157,965276680,233500,40900,0,0,0
2026-02-13,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,320.0,324.0,324.0,312.0,318.0,-2.0,2293400,727672600,198,37.9,318,31200,316,4500,12111376157,12111376157,965276680,61600,37800,0,0,0
2026-02-12,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,330.0,332.0,332.0,316.0,320.0,-10.0,1747800,562851600,300,38.1,324,3500,320,6700,12111376157,12111376157,965276680,90700,14100,0,0,0
2026-02-11,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,322.0,322.0,340.0,322.0,330.0,8.0,3335400,1098562200,372,39.3,330,8600,328,500,12111376157,12111376157,965276680,166000,108300,0,0,0
2026-02-10,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,298.0,0.0,340.0,298.0,322.0,24.0,3953000,1278238000,628,38.3,322,35500,320,46500,12111376157,12111376157,965276680,192800,13800,0,0,0
2026-02-09,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,300.0,300.0,300.0,290.0,298.0,-2.0,323600,95897200,97,35.5,300,2500,298,4900,12111376157,12111376157,965276680,20100,0,0,0,0
2026-02-06,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,308.0,308.0,312.0,298.0,300.0,-8.0,557800,170160400,115,35.7,300,5500,298,46500,12111376157,12111376157,965276680,15800,32800,0,0,0
2026-02-05,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,308.0,0.0,312.0,302.0,308.0,0.0,431400,132608000,134,36.7,310,50300,308,54000,12111376157,12111376157,965276680,18900,46900,0,0,0
2026-02-04,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,298.0,298.0,310.0,298.0,308.0,10.0,2866600,867667400,211,36.7,308,264200,306,5000,12111376157,12111376157,965276680,90200,69900,0,0,0
2026-02-03,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,294.0,296.0,302.0,290.0,298.0,4.0,2146300,640890800,188,35.5,300,21900,298,11700,12111376157,12111376157,965276680,67600,500000,0,0,0
2026-02-02,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,298.0,298.0,306.0,286.0,294.0,-4.0,1264700,371330200,296,35.0,294,10000,292,58600,12111376157,12111376157,965276680,126500,8600,0,0,0
2026-01-30,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,290.0,284.0,300.0,284.0,298.0,8.0,989000,291809000,188,35.5,298,7600,296,20500,12111376157,12111376157,965276680,63600,61700,0,0,0
2026-01-29,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,300.0,296.0,330.0,260.0,290.0,-10.0,6924100,1982081400,638,34.5,298,3400,290,1000,12111376157,12111376157,965276680,288600,765700,0,0,0
2026-01-28,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,320.0,314.0,318.0,282.0,300.0,-20.0,4392100,1340658200,534,35.7,302,42000,300,50000,12111376157,12111376157,965276680,462700,585800,0,0,0
2026-01-27,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,322.0,0.0,328.0,318.0,320.0,-2.0,1510700,484255000,310,38.1,322,119700,318,115200,12111376157,12111376157,965276680,385100,22400,0,0,0
2026-01-26,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,330.0,330.0,332.0,322.0,322.0,-8.0,1342300,437769600,247,38.3,324,35700,322,44500,12111376157,12111376157,965276680,135600,38700,0,0,0
2026-01-23,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,332.0,338.0,338.0,322.0,330.0,-2.0,1423300,468865600,239,39.3,330,27500,328,425400,12111376157,12111376157,965276680,215200,23000,0,0,0
2026-01-22,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,326.0,326.0,340.0,320.0,332.0,6.0,3220500,1069032200,341,39.5,332,17300,328,388600,12111376157,12111376157,965276680,69000,467200,0,0,0
2026-01-21,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,338.0,340.0,340.0,320.0,326.0,-12.0,5082800,1660435800,694,38.8,328,98800,326,6800,12111376157,12111376157,965276680,658200,327300,0,0,0
2026-01-20,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,342.0,344.0,348.0,338.0,338.0,-4.0,1412100,483058400,306,40.2,340,19000,338,120200,12111376157,12111376157,965276680,60800,61500,0,0,0
2026-01-19,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,344.0,344.0,350.0,342.0,342.0,-2.0,1802800,619658600,338,40.7,344,42700,340,188800,12111376157,12111376157,965276680,0,144500,0,0,0
2026-01-15,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,342.0,342.0,352.0,338.0,344.0,2.0,2877800,996533600,412,41.0,344,102700,342,109100,12111376157,12111376157,965276680,152500,192600,0,0,0
2026-01-14,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,346.0,346.0,350.0,340.0,342.0,-4.0,3231000,1106504000,289,40.7,344,221700,342,46900,12111376157,12111376157,965276680,311000,0,0,0,0
2026-01-13,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,338.0,338.0,360.0,338.0,346.0,8.0,3246600,1132616200,713,41.2,346,65900,344,4500,12111376157,12111376157,965276680,17700,675900,0,0,0
2026-01-12,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,332.0,340.0,358.0,330.0,338.0,6.0,7502600,2554992600,899,40.2,340,41700,336,19700,12111376157,12111376157,965276680,592400,154500,0,0,0
2026-01-09,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,332.0,332.0,338.0,322.0,332.0,0.0,2034200,673354800,418,39.5,332,14300,330,55500,12111376157,12111376157,965276680,18500,229300,0,0,0
2026-01-08,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,342.0,346.0,348.0,328.0,332.0,-10.0,1962400,655231400,522,39.5,334,1700,332,57500,12111376157,12111376157,965276680,94800,184400,0,0,0
2026-01-07,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,336.0,338.0,352.0,334.0,342.0,6.0,7533200,2584925200,1271,40.7,342,100,338,4000,12111376157,12111376157,965276680,245800,1041600,0,0,0
2026-01-06,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,338.0,340.0,342.0,320.0,336.0,-2.0,4509500,1489340600,1033,40.0,336,29500,332,30700,12111376157,12111376157,965276680,294700,494000,0,0,0
2026-01-05,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,290.0,304.0,348.0,300.0,338.0,48.0,18950200,6227403800,2778,40.2,338,91400,336,99100,12111376157,12111376157,965276680,679100,3181500,0,0,0
2026-01-02,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,292.0,294.0,296.0,284.0,290.0,-2.0,1877800,544214000,466,34.5,292,32600,290,37200,12111376157,12111376157,965276680,150800,36000,0,0,0
2025-12-30,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,288.0,290.0,306.0,280.0,292.0,4.0,3826700,1107785600,802,34.8,294,16500,292,14000,12111376157,12111376157,965276680,99200,92700,0,0,0
2025-12-29,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,280.0,286.0,296.0,282.0,288.0,8.0,3138400,903433800,516,34.3,290,41700,288,79700,12111376157,12111376157,965276680,423700,45700,0,0,0
2025-12-24,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,278.0,278.0,296.0,272.0,280.0,2.0,3117500,870933800,933,33.3,282,6100,280,258200,12111376157,12111376157,965276680,351600,243400,0,0,0
2025-12-23,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,290.0,290.0,290.0,276.0,278.0,-12.0,2634200,737497400,662,33.1,282,46800,278,45300,12111376157,12111376157,965276680,65300,469300,0,0,0
2025-12-22,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,300.0,300.0,300.0,272.0,290.0,-10.0,8257600,2336430400,1529,34.5,290,223400,288,5100,12111376157,12111376157,965276680,470200,721800,0,0,0
2025-12-19,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,308.0,308.0,324.0,290.0,300.0,-8.0,12872500,3943845600,2507,35.7,302,1000,300,21900,12111376157,12111376157,965276680,1019700,408900,0,0,0
2025-12-18,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,358.0,362.0,372.0,308.0,308.0,-50.0,28371200,9269104200,5800,36.7,310,56300,308,252800,12111376157,12111376157,965276680,593500,1275900,0,0,0
2025-12-17,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,290.0,310.0,362.0,310.0,358.0,68.0,73258900,25449451400,10617,42.6,360,419300,358,553600,12111376157,12111376157,965276680,3496500,3093400,0,0,0
2025-12-16,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,264.0,272.0,316.0,262.0,290.0,26.0,21484300,6267180000,3745,34.5,292,12400,290,301100,12111376157,12111376157,965276680,1195200,1422300,0,0,0
2025-12-15,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,258.0,260.0,276.0,260.0,264.0,6.0,3701500,989543200,508,31.4,264,24600,262,16200,12111376157,12111376157,965276680,406300,134400,0,0,0
2025-12-12,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,266.0,266.0,266.0,252.0,258.0,-8.0,3782600,981298600,305,30.7,258,1800,256,95200,12111376157,12111376157,965276680,111600,35900,0,0,0
2025-12-11,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,266.0,266.0,266.0,254.0,266.0,0.0,2778700,720771800,381,31.7,266,19000,264,9400,12111376157,12111376157,965276680,162200,0,0,0,0
2025-12-10,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,278.0,276.0,276.0,260.0,266.0,-12.0,3563800,945358200,582,31.7,266,7400,264,1300,12111376157,12111376157,965276680,707200,329100,0,0,0
2025-12-09,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,278.0,280.0,282.0,272.0,278.0,0.0,4533600,1253598800,616,33.1,278,338100,274,10300,12111376157,12111376157,965276680,17000,52300,0,0,0
2025-12-08,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,276.0,278.0,282.0,270.0,278.0,2.0,2001800,549414600,371,33.1,278,137000,276,200,12111376157,12111376157,965276680,24800,9300,0,0,0
2025-12-05,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,268.0,268.0,278.0,266.0,276.0,8.0,5312800,1436895600,477,32.9,276,106200,274,82500,12111376157,12111376157,965276680,71500,407100,0,0,0
2025-12-04,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,270.0,264.0,282.0,264.0,268.0,-2.0,5861000,1585548200,797,31.9,270,4900,268,7200,12111376157,12111376157,965276680,347200,101600,0,0,0
2025-12-03,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,250.0,254.0,270.0,252.0,270.0,20.0,6662400,1755505200,1013,32.1,272,272400,270,29300,12111376157,12111376157,965276680,6600,10000,0,0,0
2025-12-02,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,256.0,256.0,258.0,246.0,250.0,-6.0,3325800,835594200,267,29.8,254,27300,250,196800,12111376157,12111376157,965276680,5000,17500,0,0,0
2025-12-01,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,250.0,252.0,258.0,248.0,256.0,6.0,2983800,753417400,282,30.5,256,280100,254,4900,12111376157,12111376157,965276680,69500,11900,0,0,0
2025-11-28,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,252.0,252.0,254.0,246.0,250.0,-2.0,2319200,581887600,352,29.8,252,239400,250,1000,12111376157,12111376157,965276680,1900,10700,0,0,0
2025-11-27,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,240.0,246.0,256.0,246.0,252.0,12.0,6380800,1602248400,652,30.0,254,140800,252,3300,12111376157,12111376157,965276680,12300,8400,0,0,0
2025-11-26,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,252.0,254.0,258.0,236.0,240.0,-12.0,7368300,1786319000,818,28.6,242,2500,238,499600,12111376157,12111376157,965276680,87200,840000,0,0,0
2025-11-25,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,250.0,252.0,272.0,240.0,252.0,2.0,8988600,2288213000,1277,30.0,254,74800,252,74400,12111376157,12111376157,965276680,560000,527800,0,0,0
2025-11-24,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,262.0,286.0,300.0,250.0,250.0,-12.0,42861600,11914576400,5345,29.8,256,1000,250,211900,12111376157,12111376157,965276680,1341700,1570300,0,0,0
2025-11-22,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,302.0,300.0,306.0,286.0,294.0,-8.0,1496000,438969800,249,35.0,294,40400,290,5000,12111376157,12111376157,965276680,329000,36500,0,0,0
2025-11-21,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,210.0,210.0,262.0,208.0,262.0,52.0,25333200,6284877400,2704,31.2,0,0,262,1153600,12111376157,12111376157,965276680,1954500,1232500,0,0,0
2025-11-20,GGRP,Gunung Raja Paksi Tbk.,--UO2135000000B144------------,214.0,214.0,214.0,204.0,210.0,-4.0,1450400,300331400,154,25.0,212,221100,210,17400,12111376157,12111376157,965276680,0,16700,0,0,0
