Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-20,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,74.0,74.0,76.0,72.0,72.0,-2.0,117686900,8658712900,3683,10.5,73,3178000,72,18439400,407091703837,407091703837,31956698751,25899800,14379300,0,0,0
2026-04-17,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,76.0,75.0,76.0,73.0,74.0,-2.0,142262100,10497667300,4524,10.8,74,7555400,73,10753100,407091703837,407091703837,31956698751,33243300,9166600,0,0,0
2026-04-16,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,74.0,74.0,80.0,73.0,76.0,2.0,511398800,39401730300,13783,11.1,76,8191600,75,6754500,407091703837,407091703837,31956698751,100464200,52082400,0,0,0
2026-04-15,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,74.0,74.0,75.0,72.0,74.0,0.0,162766000,11965499700,5229,10.8,74,11832300,73,11422700,407091703837,407091703837,31956698751,16597000,42745700,0,0,0
2026-04-14,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,69.0,70.0,74.0,70.0,74.0,5.0,339199800,24606569600,7146,10.8,74,13734900,73,158499500,407091703837,407091703837,31956698751,33567300,85033100,0,0,0
2026-04-13,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,70.0,70.0,73.0,68.0,69.0,-1.0,174071400,12239532700,4151,10.1,70,395000,69,24901500,407091703837,407091703837,31956698751,32383200,31731000,44,3124,1
2026-04-10,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,71.0,72.0,73.0,70.0,70.0,-1.0,107592700,7622211100,3569,10.2,71,5609800,70,4371100,407091703837,407091703837,31956698751,5151300,13734100,15,1065,1
2026-04-09,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,70.0,70.0,74.0,69.0,71.0,1.0,187062000,13453569300,5325,10.4,72,9621500,71,2321000,407091703837,407091703837,31956698751,47331100,18373200,0,0,0
2026-04-08,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,69.0,71.0,72.0,69.0,70.0,1.0,148997500,10547640300,5179,10.2,71,3400900,70,713900,407091703837,407091703837,31956698751,10890600,41386700,0,0,0
2026-04-07,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,69.0,69.0,72.0,67.0,69.0,0.0,143976800,9949746100,4698,10.1,69,403600,68,1983700,407091703837,407091703837,31956698751,16247200,41800600,0,0,0
2026-04-06,GIAA,Garuda Indonesia (Persero) Tbk.,--UO2135000000K111------------,68.0,67.0,70.0,66.0,69.0,1.0,134899300,9219831100,6339,10.1,69,6736100,68,658300,407091703837,407091703837,31956698751,18982300,37148300,0,0,0
