Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,64.0,64.0,65.0,62.0,65.0,1.0,54210300,3438003300,1284,25.9,65,1336000,64,326500,124835258434,124835258434,8139258850,1322800,16002900,0,0,0
2026-04-27,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,61.0,61.0,64.0,61.0,64.0,3.0,48538200,3026495500,1102,25.5,64,9197400,63,4600,124835258434,124835258434,8139258850,4662000,18986200,0,0,0
2026-04-24,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,65.0,66.0,66.0,61.0,61.0,-4.0,83270600,5212533700,1933,24.3,62,100000,61,2371200,124835258434,124835258434,8139258850,18805400,14829000,0,0,0
2026-04-23,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,66.0,66.0,68.0,64.0,65.0,-1.0,61442200,4048605500,1491,25.9,66,8228100,65,2964400,124835258434,124835258434,8139258850,2941500,8915500,0,0,0
2026-04-22,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,65.0,65.0,67.0,64.0,66.0,1.0,73955500,4826984000,1400,26.3,66,6670100,65,1892100,124835258434,124835258434,8139258850,3735500,17362400,0,0,0
2026-04-21,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,66.0,66.0,66.0,63.0,65.0,-1.0,65883600,4251615500,1509,25.9,65,409800,64,7381700,124835258434,124835258434,8139258850,7815100,7991600,0,0,0
2026-04-20,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,68.0,69.0,69.0,65.0,66.0,-2.0,125815300,8354582000,2487,26.3,66,2189800,65,9356000,124835258434,124835258434,8139258850,15455800,24125200,0,0,0
2026-04-17,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,69.0,69.0,70.0,67.0,68.0,-1.0,73939300,5052388500,1646,27.1,69,10360900,68,891700,124835258434,124835258434,8139258850,14031700,11279200,0,0,0
2026-04-16,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,69.0,70.0,72.0,68.0,69.0,0.0,154225600,10810693000,2781,27.5,70,10621100,69,4575800,124835258434,124835258434,8139258850,10885000,40260500,0,0,0
2026-04-15,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,--UO2105000000J111------------,70.0,70.0,71.0,67.0,69.0,-1.0,105619700,7230384900,2943,27.5,69,437900,68,6808300,124835258434,124835258434,8139258850,9256200,12926300,0,0,0
