Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,350.0,354.0,346.0,350.0,6.0,238700,83421600,169,136.2,350,6300,348,6500,36897901455,36897901455,8663627262,7500,13200,0,0,0
2026-04-28,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,348.0,348.0,352.0,344.0,344.0,-4.0,288800,100496600,165,133.9,350,101400,344,3400,36897901455,36897901455,8663627262,0,11700,40000000,12400000000,1
2026-04-27,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,348.0,350.0,356.0,346.0,348.0,0.0,141700,49381400,117,135.4,348,154300,346,1000,36897901455,36897901455,8663627262,0,2200,0,0,0
2026-04-24,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,356.0,362.0,362.0,344.0,348.0,-8.0,277200,96907600,180,135.4,348,34800,344,500,36897901455,36897901455,8663627262,58600,43000,0,0,0
2026-04-23,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,352.0,352.0,362.0,350.0,356.0,4.0,284700,101431800,177,138.5,354,1000,352,1800,36897901455,36897901455,8663627262,39100,12500,22229311,6891086410,4
2026-04-22,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,350.0,348.0,360.0,346.0,352.0,2.0,238700,84112200,145,137.0,352,600,348,53300,36897901455,36897901455,8663627262,300,72600,0,0,0
2026-04-21,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,350.0,350.0,354.0,344.0,350.0,0.0,417500,145056400,177,136.2,350,51800,346,12700,36897901455,36897901455,8663627262,34800,8100,0,0,0
2026-04-20,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,350.0,350.0,360.0,350.0,350.0,0.0,152900,54256800,132,136.2,352,13700,350,10800,36897901455,36897901455,8663627262,1200,8300,0,0,0
2026-04-17,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,354.0,354.0,354.0,348.0,350.0,-4.0,94300,33085600,89,136.2,350,53600,348,9200,36897901455,36897901455,8663627262,13000,36500,0,0,0
2026-04-16,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,354.0,354.0,356.0,348.0,354.0,0.0,88300,31048200,135,137.7,356,32300,354,1100,36897901455,36897901455,8663627262,0,7400,84854689,26304953590,26
2026-04-15,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,352.0,358.0,358.0,350.0,354.0,2.0,116200,41104000,129,137.7,354,2100,350,500,36897901455,36897901455,8663627262,0,15700,0,0,0
2026-04-14,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,354.0,354.0,356.0,348.0,352.0,-2.0,160000,56272000,139,137.0,352,8800,350,1500,36897901455,36897901455,8663627262,0,50400,0,0,0
2026-04-13,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,348.0,362.0,362.0,346.0,354.0,6.0,311400,111212400,170,137.7,354,103500,352,2200,36897901455,36897901455,8663627262,65400,6300,0,0,0
2026-04-10,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,350.0,350.0,350.0,346.0,348.0,-2.0,83000,28828400,104,135.4,348,6000,346,4800,36897901455,36897901455,8663627262,0,20900,0,0,0
2026-04-09,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,346.0,352.0,352.0,346.0,350.0,4.0,12900,4503800,47,136.2,350,64900,348,2000,36897901455,36897901455,8663627262,0,0,0,0,0
2026-04-08,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,344.0,350.0,342.0,346.0,2.0,109200,37819800,118,134.6,350,36000,346,2600,36897901455,36897901455,8663627262,0,17900,0,0,0
2026-04-07,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,340.0,344.0,346.0,340.0,344.0,4.0,29600,10173800,48,133.9,344,34500,342,4800,36897901455,36897901455,8663627262,16800,0,0,0,0
2026-04-06,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,344.0,346.0,340.0,340.0,-4.0,67800,23151000,100,132.3,344,16200,340,24700,36897901455,36897901455,8663627262,0,16300,0,0,0
2026-04-02,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,344.0,346.0,338.0,344.0,0.0,62400,21459800,89,133.9,346,43500,342,100,36897901455,36897901455,8663627262,2700,0,0,0,0
2026-04-01,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,340.0,340.0,344.0,340.0,344.0,4.0,18600,6362800,51,133.9,344,25500,342,3100,36897901455,36897901455,8663627262,0,0,0,0,0
2026-03-31,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,344.0,344.0,340.0,340.0,-4.0,72700,24834000,79,132.3,342,3100,340,13600,36897901455,36897901455,7017980857,0,10600,0,0,0
2026-03-30,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,346.0,344.0,348.0,342.0,344.0,-2.0,37500,12945800,76,133.9,346,24500,344,3600,36897901455,36897901455,7017980857,0,3800,0,0,0
2026-03-27,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,346.0,346.0,346.0,344.0,346.0,0.0,32400,11178800,65,134.6,346,14300,344,16700,36897901455,36897901455,7017980857,0,0,0,0,0
2026-03-26,GOOD,Garudafood Putra Putri Jaya Tbk.,--UO1135000000D222------------,344.0,346.0,346.0,342.0,346.0,2.0,45900,15804400,79,134.6,346,12600,344,100,36897901455,36897901455,7017980857,0,100,0,0,0
