Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,230.0,234.0,238.0,228.0,230.0,0.0,35149600,8200809200,3458,230.0,232,53600,230,2476700,15819142767,15819142767,2399763958,6375200,2316200,0,0,0
2026-05-05,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,220.0,222.0,230.0,216.0,230.0,10.0,21729900,4881412600,2036,230.0,230,954400,228,301600,15819142767,15819142767,2399763958,1993000,8712100,0,0,0
2026-05-04,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,220.0,220.0,232.0,210.0,220.0,0.0,31972500,7191426200,2974,220.0,222,804900,220,535000,15819142767,15819142767,2399763958,7598900,5584100,0,0,0
2026-04-30,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,230.0,230.0,230.0,210.0,220.0,-10.0,34113100,7448643400,3886,220.0,222,97300,220,459500,15819142767,15819142767,2399763958,5268800,5357900,0,0,0
2026-04-29,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,230.0,238.0,238.0,228.0,230.0,0.0,15884300,3668550800,2139,230.0,232,167700,230,345400,15819142767,15819142767,2399763958,2890700,2339900,0,0,0
2026-04-28,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,234.0,232.0,240.0,222.0,230.0,-4.0,23103100,5275131600,3037,230.0,232,81400,230,465100,15819142767,15819142767,2399763958,4274200,4193000,0,0,0
2026-04-27,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,234.0,234.0,250.0,230.0,234.0,0.0,39725700,9462555200,4010,234.0,236,5000,234,222600,15819142767,15819142767,2399763958,9178500,10240300,0,0,0
2026-04-24,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,264.0,258.0,260.0,234.0,234.0,-30.0,54963400,13436616800,5680,234.0,234,200000,232,1448100,15819142767,15819142767,2399763958,9081500,12282500,0,0,0
2026-04-23,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,268.0,272.0,274.0,250.0,264.0,-4.0,78522400,20473317000,7265,264.0,264,1044800,262,132200,15819142767,15819142767,2399763958,17485000,7647100,0,0,0
2026-04-22,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,262.0,262.0,274.0,258.0,268.0,6.0,81130000,21568492000,7080,268.0,270,740800,268,6123300,15819142767,15819142767,2399763958,7238900,11822100,0,0,0
2026-04-21,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,256.0,254.0,268.0,246.0,262.0,6.0,61172000,16004704200,5267,262.0,262,1010900,260,465800,15819142767,15819142767,2399763958,8957100,10461600,0,0,0
2026-04-20,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,264.0,264.0,272.0,254.0,256.0,-8.0,63720300,16655410000,6008,256.0,256,563600,254,1436900,15819142767,15819142767,2399763958,8408200,8385900,0,0,0
2026-04-17,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,264.0,268.0,270.0,256.0,264.0,0.0,27513700,7249406400,3529,264.0,266,1011800,264,179100,15819142767,15819142767,2399763958,6208600,1625200,0,0,0
2026-04-16,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,266.0,266.0,284.0,264.0,264.0,-2.0,75101200,20546571800,6873,264.0,266,37400,264,422900,15819142767,15819142767,2399763958,13249600,15816600,0,0,0
2026-04-15,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,274.0,280.0,282.0,264.0,266.0,-8.0,66662500,18141507200,6878,266.0,268,535300,266,272600,15819142767,15819142767,2399763958,17424800,10088500,0,0,0
2026-04-14,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,260.0,266.0,278.0,266.0,274.0,14.0,125227400,33999114000,9501,274.0,276,1337400,274,367600,15819142767,15819142767,2399763958,15697000,16988400,0,0,0
2026-04-13,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,252.0,246.0,268.0,238.0,260.0,8.0,69562000,17809892000,6238,260.0,260,533800,258,669100,15819142767,15819142767,2399763958,8613200,13003000,0,0,0
2026-04-10,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,250.0,252.0,270.0,252.0,252.0,2.0,118331700,31015531000,9089,252.0,254,175800,252,1019800,15819142767,15819142767,2399763958,16348000,8479300,0,0,0
2026-04-09,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,264.0,252.0,266.0,246.0,250.0,-14.0,91916800,23476479600,8604,250.0,252,597000,250,391200,15819142767,15819142767,2399763958,38184300,12994000,0,0,0
2026-04-08,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,230.0,250.0,266.0,236.0,264.0,34.0,231362400,59397995800,18325,264.0,266,3053200,264,2380800,15819142767,15819142767,2399763958,38741700,43110500,0,0,0
2026-04-07,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,204.0,210.0,232.0,208.0,230.0,26.0,204862600,44812261800,13252,230.0,232,613400,230,2718800,15819142767,15819142767,2399763958,26170300,35989700,0,0,0
2026-04-06,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,200.0,200.0,216.0,190.0,204.0,4.0,89880900,18541245000,6678,204.0,206,640100,204,49800,15819142767,15819142767,2399763958,19274000,12532800,0,0,0
2026-04-02,GTSI,GTS Internasional Tbk.,--UO1135000000A112---L--------,218.0,208.0,208.0,197.0,200.0,-18.0,78381400,15863827000,6262,200.0,202,52100,200,4277300,15819142767,15819142767,2399763958,17004200,9292500,0,0,0
2026-04-01,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,186.0,194.0,220.0,192.0,218.0,32.0,271557800,56547314900,18844,218.0,220,2658600,218,676500,15819142767,15819142767,2399763958,36007200,61840500,0,0,0
2026-03-31,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,198.0,198.0,204.0,185.0,186.0,-12.0,60452000,11691565100,5705,186.0,186,472700,185,1184600,15819142767,15819142767,2399763958,25126900,5055300,0,0,0
2026-03-30,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,194.0,189.0,200.0,182.0,198.0,4.0,44753400,8529661800,4917,198.0,199,209300,198,167700,15819142767,15819142767,2399763958,13859300,8396700,0,0,0
2026-03-27,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,191.0,190.0,195.0,183.0,194.0,3.0,29024900,5510716600,2812,194.0,195,109500,194,675000,15819142767,15819142767,2399763958,7610000,8487100,0,0,0
2026-03-26,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,202.0,206.0,206.0,187.0,191.0,-11.0,61224000,11970550100,5871,191.0,191,151400,190,374100,15819142767,15819142767,2399763958,28834100,9491500,0,0,0
2026-03-25,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,183.0,182.0,208.0,177.0,202.0,19.0,96018900,19087433400,6908,202.0,204,1276500,202,1124000,15819142767,15819142767,2399763958,17694300,39857600,0,0,0
2026-03-17,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,189.0,195.0,202.0,182.0,183.0,-6.0,88099700,16514363300,6317,183.0,184,1596400,183,445900,15819142767,15819142767,2399763958,32227000,24258300,0,0,0
2026-03-16,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,197.0,195.0,197.0,179.0,189.0,-8.0,76529900,14439222300,4886,189.0,190,223200,189,700,15819142767,15819142767,2399763958,20828200,32893300,0,0,0
2026-03-13,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,216.0,212.0,212.0,193.0,197.0,-19.0,101618500,20238469700,6965,197.0,197,125400,196,894900,15819142767,15819142767,2399763958,17783200,42324300,0,0,0
2026-03-12,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,234.0,230.0,236.0,214.0,216.0,-18.0,86226100,19164335000,6973,216.0,216,825500,214,1585200,15819142767,15819142767,2399763958,11603600,8251400,0,0,0
2026-03-11,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,238.0,238.0,274.0,232.0,234.0,-4.0,322203300,81614844400,27453,234.0,236,470700,234,772900,15819142767,15819142767,2399763958,29389300,32837000,0,0,0
2026-03-10,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,234.0,246.0,250.0,224.0,238.0,4.0,88153800,20824423200,6907,238.0,240,990800,238,131400,15819142767,15819142767,2399763958,32069300,8185900,0,0,0
2026-03-09,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,260.0,244.0,246.0,222.0,234.0,-26.0,144106600,33385370200,8587,234.0,234,1258800,232,185800,15819142767,15819142767,2399763958,27909700,44325400,0,0,0
2026-03-06,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,276.0,280.0,286.0,250.0,260.0,-16.0,122742700,32652021000,9830,260.0,262,311400,260,29400,15819142767,15819142767,2399763958,18226800,31293600,0,0,0
2026-03-05,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,274.0,282.0,294.0,274.0,276.0,2.0,97272400,27454989400,7799,276.0,278,308400,276,2421900,15819142767,15819142767,2399763958,16295300,11607300,0,0,0
2026-03-04,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,314.0,318.0,322.0,270.0,274.0,-40.0,382162400,110785579800,29490,274.0,276,267000,274,305000,15819142767,15819142767,2399763958,112089900,43323300,0,0,0
2026-03-03,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,268.0,278.0,332.0,276.0,314.0,46.0,603796800,189125427400,40797,314.0,316,279700,314,41500,15819142767,15819142767,2399763958,60102800,126900000,0,0,0
2026-03-02,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,310.0,310.0,324.0,264.0,268.0,-42.0,239520000,70908535600,21233,268.0,268,447200,266,813700,15819142767,15819142767,2399763958,36464400,23088100,0,0,0
2026-02-27,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,300.0,290.0,312.0,280.0,310.0,10.0,108783900,31749313400,9623,310.0,312,538500,310,208000,15819142767,15819142767,2399763958,19909600,23799100,0,0,0
2026-02-26,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,310.0,314.0,334.0,292.0,300.0,-10.0,164310900,51959222800,14851,300.0,302,35900,300,80400,15819142767,15819142767,2399763958,18628500,19938000,0,0,0
2026-02-25,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,316.0,320.0,328.0,306.0,310.0,-6.0,94769600,29711404200,9500,310.0,312,187200,310,978900,15819142767,15819142767,2399763958,9136000,12717900,0,0,0
2026-02-24,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,334.0,336.0,340.0,312.0,316.0,-18.0,179176500,58411229800,18158,316.0,316,227500,314,1374900,15819142767,15819142767,2399763958,21654500,15506100,0,0,0
2026-02-23,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,322.0,328.0,348.0,326.0,334.0,12.0,211879900,71365832200,19311,334.0,334,1635200,332,21092700,15819142767,15819142767,2399763958,16868800,18918000,0,0,0
2026-02-20,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,332.0,332.0,334.0,318.0,322.0,-10.0,88457600,28532147000,11242,322.0,324,355900,322,2389900,15819142767,15819142767,2399763958,8924700,5515400,0,0,0
2026-02-19,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,344.0,350.0,350.0,326.0,332.0,-12.0,216355800,72147544000,27532,332.0,332,48100,330,2280200,15819142767,15819142767,2399763958,37008200,13060100,0,0,0
2026-02-18,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,302.0,310.0,344.0,308.0,344.0,42.0,489226200,160756828200,40030,344.0,346,1898200,344,2715200,15819142767,15819142767,2399763958,72076900,98708900,0,0,0
2026-02-13,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,298.0,298.0,320.0,290.0,302.0,4.0,172143700,52976229800,16868,302.0,304,300000,302,950100,15819142767,15819142767,2399763958,18540500,21107100,0,0,0
2026-02-12,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,314.0,316.0,320.0,298.0,298.0,-16.0,150646300,46297736200,17318,298.0,300,442000,298,1472200,15819142767,15819142767,2399763958,37521300,13813900,0,0,0
2026-02-11,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,298.0,304.0,316.0,294.0,314.0,16.0,295521500,90776555600,25153,314.0,316,3133500,314,6690500,15819142767,15819142767,2399763958,49893500,30713300,50000,18000000,1
2026-02-10,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,276.0,280.0,306.0,278.0,298.0,22.0,173230200,51169688000,14380,298.0,300,4436300,298,1013300,15819142767,15819142767,2399763958,29839800,32521500,0,0,0
2026-02-09,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,260.0,276.0,282.0,254.0,276.0,16.0,96322100,26114887200,10536,276.0,278,1249100,276,23300,15819142767,15819142767,2399763958,21576400,24395800,0,0,0
2026-02-06,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,290.0,276.0,286.0,258.0,260.0,-30.0,91034600,24547315600,9146,260.0,262,285500,260,233100,15819142767,15819142767,2399763958,9993400,31242200,0,0,0
2026-02-05,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,284.0,284.0,304.0,282.0,290.0,6.0,129969500,38160883200,11851,290.0,290,145600,288,133900,15819142767,15819142767,2399763958,25793200,25538400,0,0,0
2026-02-04,GTSI,GTS Internasional Tbk.,--UO1135000000A112------------,296.0,296.0,326.0,274.0,284.0,-12.0,657549300,198510798400,49600,284.0,284,195400,282,1114900,15819142767,15819142767,2399763958,154387700,70126600,0,0,0
2026-02-03,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,238.0,204.0,296.0,204.0,296.0,58.0,409488800,105732675400,25997,296.0,0,0,296,60371100,15819142767,15819142767,2399763958,94890700,131089600,0,0,0
2026-02-02,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,280.0,278.0,278.0,238.0,238.0,-42.0,188750300,45960593000,13105,238.0,238,18126800,0,0,15819142767,15819142767,2399763958,8621500,53430800,0,0,0
2026-01-30,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,306.0,320.0,328.0,280.0,280.0,-26.0,290227700,88678884400,24698,280.0,280,243900,278,1126500,15819142767,15819142767,2399763958,82445000,47513100,0,0,0
2026-01-29,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,328.0,296.0,320.0,280.0,306.0,-22.0,535546100,156964363600,29031,306.0,308,278900,306,407900,15819142767,15819142767,2399763958,105151400,104587100,0,0,0
2026-01-28,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,384.0,328.0,356.0,328.0,328.0,-56.0,306929100,102415517800,22475,328.0,328,33591500,0,0,15819142767,15819142767,2399763958,57325900,25735600,0,0,0
2026-01-27,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,318.0,318.0,394.0,302.0,384.0,66.0,380757000,133542735600,32836,384.0,386,1116200,384,24940800,15819142767,15819142767,2399763958,83000500,90193500,0,0,0
2026-01-26,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,370.0,380.0,396.0,316.0,318.0,-52.0,324813300,114853059800,31745,318.0,318,102300,316,2166100,15819142767,15819142767,2399763958,75181500,72987900,0,0,0
2026-01-23,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,406.0,400.0,400.0,352.0,370.0,-36.0,286166100,105580177400,22944,370.0,370,186400,368,20937300,15819142767,15819142767,2399763958,38193900,67906100,0,0,0
2026-01-22,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,450.0,456.0,466.0,390.0,406.0,-44.0,375802300,158441003400,37685,406.0,406,953600,404,88800,15819142767,15819142767,2399763958,65777000,25659300,0,0,0
2026-01-21,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,472.0,470.0,480.0,444.0,450.0,-22.0,277213500,126896150200,30119,450.0,452,370900,450,582700,15819142767,15819142767,2399763958,31775400,15309000,0,0,0
2026-01-20,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,452.0,452.0,478.0,434.0,472.0,20.0,447653500,206660714200,37519,472.0,472,3104500,470,2334700,15819142767,15819142767,2399763958,29449500,42983300,0,0,0
2026-01-19,GTSI,GTS Internasional Tbk.,--UO1130000000A112------------,462.0,468.0,470.0,428.0,452.0,-10.0,241121300,108342983600,28627,452.0,452,866400,450,12126900,15819142767,15819142767,2399763958,30640600,13975800,0,0,0
