Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-02,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,140.0,140.0,140.0,138.0,140.0,0.0,119600,16586700,85,70.0,140,77700,139,159500,6500000000,6500000000,1064700000,500,6100,0,0,0
2026-04-01,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,137.0,137.0,140.0,136.0,140.0,3.0,809100,111863200,167,70.0,140,192000,139,123500,6500000000,6500000000,1064700000,1100,32700,278900,49644200,1
2026-03-31,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,137.0,137.0,137.0,135.0,137.0,0.0,326200,44359900,86,68.5,137,77300,136,156200,6500000000,6500000000,1285700000,63800,0,0,0,0
2026-03-30,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,139.0,139.0,139.0,134.0,137.0,-2.0,1339500,181576800,341,68.5,137,183700,136,12500,6500000000,6500000000,1285700000,154400,3600,0,0,0
2026-03-27,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,140.0,140.0,140.0,138.0,139.0,-1.0,173100,24049600,105,69.5,140,199800,139,40000,6500000000,6500000000,1285700000,11900,44400,1150000,204700000,1
2026-03-26,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,141.0,140.0,141.0,138.0,140.0,-1.0,662700,92261100,182,70.0,140,178600,139,371500,6500000000,6500000000,1285700000,2600,3500,1150000,202400000,1
2026-03-25,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,141.0,139.0,141.0,138.0,141.0,0.0,998200,139081900,228,70.5,141,79100,140,110300,6500000000,6500000000,1285700000,28600,155500,0,0,0
2026-03-17,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,141.0,140.0,141.0,135.0,141.0,0.0,526100,72352500,203,70.5,141,191100,140,550000,6500000000,6500000000,1285700000,42500,7800,1150000,202400000,1
2026-03-16,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,143.0,141.0,141.0,133.0,141.0,-2.0,862400,118374500,261,70.5,141,143400,140,31100,6500000000,6500000000,1285700000,71700,8400,1150000,201250000,1
2026-03-13,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,143.0,143.0,143.0,136.0,143.0,0.0,1071800,149664000,193,71.5,143,9400,142,10000,6500000000,6500000000,1285700000,197500,92800,0,0,0
2026-03-12,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,142.0,149.0,149.0,135.0,143.0,1.0,973900,138317000,244,71.5,143,81000,142,15000,6500000000,6500000000,1285700000,141100,79100,0,0,0
2026-03-11,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,143.0,143.0,143.0,140.0,142.0,-1.0,729000,102995600,219,71.0,142,269300,141,100800,6500000000,6500000000,1285700000,72500,4500,0,0,0
2026-03-10,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,141.0,133.0,143.0,133.0,143.0,2.0,1120200,155374800,287,71.5,143,70700,142,50200,6500000000,6500000000,1285700000,34000,0,1150000,201250000,1
2026-03-09,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,143.0,143.0,143.0,130.0,141.0,-2.0,2038000,279357000,425,70.5,141,15700,140,1400,6500000000,6500000000,1285700000,362700,16600,0,0,0
2026-03-06,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,142.0,142.0,143.0,137.0,143.0,1.0,2413700,338247200,321,71.5,143,607300,142,636800,6500000000,6500000000,1285700000,112300,11400,0,0,0
2026-03-05,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,139.0,141.0,142.0,139.0,142.0,3.0,2219000,312023400,224,71.0,142,141400,141,70400,6500000000,6500000000,1285700000,13400,25900,0,0,0
2026-03-04,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,145.0,145.0,145.0,138.0,139.0,-6.0,3703000,522611100,490,69.5,139,2100,138,280500,6500000000,6500000000,1285700000,18600,240500,0,0,0
2026-03-03,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,144.0,146.0,147.0,143.0,145.0,1.0,1704700,247583200,207,72.5,146,37300,144,86600,6500000000,6500000000,1285700000,35500,309500,0,0,0
2026-03-02,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,147.0,148.0,150.0,143.0,144.0,-3.0,2846900,414360200,456,72.0,145,65800,144,1000,6500000000,6500000000,1285700000,675100,174800,0,0,0
2026-02-27,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,150.0,150.0,150.0,146.0,147.0,-3.0,1914800,283577500,204,73.5,148,23900,147,24600,6500000000,6500000000,1285700000,177200,236300,221000000,44200000000,2
2026-02-26,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,148.0,149.0,150.0,145.0,150.0,2.0,7218500,1067621800,528,75.0,150,91400,149,276800,6500000000,6500000000,1285700000,121500,134700,0,0,0
2026-02-25,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,148.0,148.0,148.0,145.0,148.0,0.0,1668700,245172800,256,74.0,148,568800,147,200,6500000000,6500000000,1285700000,5500,4400,0,0,0
2026-02-24,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,148.0,148.0,150.0,145.0,148.0,0.0,2046400,301532400,278,74.0,148,127700,147,33600,6500000000,6500000000,1285700000,115400,171200,0,0,0
2026-02-23,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,150.0,149.0,150.0,145.0,148.0,-2.0,3472500,512984500,493,74.0,148,19000,147,19700,6500000000,6500000000,1285700000,32000,100800,0,0,0
2026-02-20,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,150.0,150.0,151.0,148.0,150.0,0.0,3144400,470452500,249,75.0,150,381600,149,600,6500000000,6500000000,1285700000,57700,141300,0,0,0
2026-02-19,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,151.0,151.0,151.0,149.0,150.0,-1.0,1631600,244511300,212,75.0,150,1857400,149,429900,6500000000,6500000000,1285700000,6700,243400,0,0,0
2026-02-18,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,149.0,150.0,151.0,148.0,151.0,2.0,1569000,234470600,283,75.5,151,180700,149,59100,6500000000,6500000000,1285700000,27300,102200,0,0,0
2026-02-13,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,153.0,153.0,154.0,149.0,149.0,-4.0,1296800,196142600,240,74.5,151,136600,149,316700,6500000000,6500000000,1285700000,92400,68300,0,0,0
2026-02-12,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,153.0,153.0,155.0,150.0,153.0,0.0,2878200,436786500,269,76.5,153,132100,152,258000,6500000000,6500000000,1285700000,108400,147300,0,0,0
2026-02-11,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,148.0,149.0,154.0,148.0,153.0,5.0,4530600,689915900,689,76.5,153,332800,152,1802500,6500000000,6500000000,1285700000,471100,349200,0,0,0
2026-02-10,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,144.0,142.0,149.0,142.0,148.0,4.0,2150000,313618900,384,74.0,148,80900,147,210000,6500000000,6500000000,1285700000,111400,465400,0,0,0
2026-02-09,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,145.0,145.0,147.0,140.0,144.0,-1.0,3078300,437097000,467,72.0,144,68200,142,25500,6500000000,6500000000,1285700000,72900,111100,0,0,0
2026-02-06,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,147.0,147.0,147.0,144.0,145.0,-2.0,3092600,450395800,283,72.5,145,19600,144,388500,6500000000,6500000000,1285700000,29000,23100,0,0,0
2026-02-05,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,144.0,144.0,150.0,143.0,147.0,3.0,12848700,1865238200,669,73.5,147,334100,146,176700,6500000000,6500000000,1285700000,81000,103700,0,0,0
2026-02-04,HGII,Hero Global Investment Tbk.,--MO2135000000J411------------,145.0,145.0,148.0,143.0,144.0,-1.0,4303500,621659400,359,72.0,145,4346200,144,353300,6500000000,6500000000,1285700000,35900,34100,0,0,0
2026-02-03,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,142.0,141.0,150.0,141.0,145.0,3.0,8348500,1225593000,543,72.5,145,2756000,144,286900,6500000000,6500000000,1285700000,197100,1874300,0,0,0
2026-02-02,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,150.0,150.0,150.0,139.0,142.0,-8.0,5311600,767243300,796,71.0,142,185800,141,50900,6500000000,6500000000,1285700000,1074500,67600,0,0,0
2026-01-30,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,152.0,153.0,154.0,149.0,150.0,-2.0,5144900,776331900,632,75.0,150,3721300,149,1570300,6500000000,6500000000,1285700000,244900,483500,0,0,0
2026-01-29,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,151.0,151.0,155.0,129.0,152.0,1.0,11617400,1682153300,1344,76.0,152,66800,151,150000,6500000000,6500000000,1285700000,1269100,1635400,0,0,0
2026-01-28,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,160.0,160.0,160.0,150.0,151.0,-9.0,9174700,1408897200,1044,75.5,151,484900,150,1122900,6500000000,6500000000,1285700000,340400,1501700,0,0,0
2026-01-27,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,161.0,160.0,164.0,156.0,160.0,-1.0,9126200,1449268600,775,80.0,161,711500,160,24100,6500000000,6500000000,1285700000,738000,870600,0,0,0
2026-01-26,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,159.0,159.0,161.0,158.0,161.0,2.0,7098400,1138078100,1087,80.5,161,394900,160,200000,6500000000,6500000000,1285700000,960100,82400,0,0,0
2026-01-23,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,165.0,164.0,165.0,158.0,159.0,-6.0,9846800,1582510200,1144,79.5,160,33300,159,1700,6500000000,6500000000,1285700000,645100,915100,0,0,0
2026-01-22,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,165.0,165.0,172.0,162.0,165.0,0.0,15727500,2629363700,1385,82.5,166,94800,165,39700,6500000000,6500000000,1285700000,665800,2857500,0,0,0
2026-01-21,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,179.0,178.0,178.0,164.0,165.0,-14.0,27992400,4751861600,2653,82.5,166,1600,165,512600,6500000000,6500000000,1285700000,793200,3301700,0,0,0
2026-01-20,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,168.0,170.0,210.0,163.0,179.0,11.0,130449900,24235841200,10092,89.5,179,3472900,178,102000,6500000000,6500000000,1285700000,12416900,6376500,0,0,0
2026-01-19,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,165.0,166.0,173.0,162.0,168.0,3.0,14437300,2425075000,1610,84.0,168,346000,167,3400,6500000000,6500000000,1285700000,1960700,317700,0,0,0
2026-01-15,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,161.0,160.0,166.0,159.0,165.0,4.0,17577500,2874329600,1162,82.5,165,242100,164,456700,6500000000,6500000000,1285700000,715800,1226400,0,0,0
2026-01-14,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,161.0,163.0,163.0,159.0,161.0,0.0,5230100,837385900,471,80.5,162,913500,161,119300,6500000000,6500000000,1285700000,57300,13900,0,0,0
2026-01-13,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,162.0,163.0,163.0,159.0,161.0,-1.0,6356900,1020058600,449,80.5,161,79300,160,146900,6500000000,6500000000,1285700000,24400,572000,0,0,0
2026-01-12,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,165.0,165.0,166.0,160.0,162.0,-3.0,8727900,1426952100,999,81.0,163,137600,162,1000,6500000000,6500000000,1285700000,1027000,408000,0,0,0
2026-01-09,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,163.0,163.0,166.0,161.0,165.0,2.0,9900100,1617661500,556,82.5,165,1000,164,971500,6500000000,6500000000,1285700000,118100,1116000,0,0,0
2026-01-08,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,164.0,164.0,164.0,160.0,163.0,-1.0,9336600,1513621300,741,81.5,163,298000,162,145200,6500000000,3185000000,1285700000,13300,639200,0,0,0
2026-01-07,HGII,Hero Global Investment Tbk.,--MO2130000000J411------------,156.0,156.0,168.0,153.0,164.0,8.0,21254600,3407271200,1594,82.0,164,78700,163,111300,6500000000,3185000000,1285700000,2642600,336300,0,0,0
