Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-10,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-09,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-06,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-05,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-04,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-03,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-03-02,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-27,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-26,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-25,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-24,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-23,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-20,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-19,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-18,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-13,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-12,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-11,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-10,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-09,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-06,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-05,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-04,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-03,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-02-02,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-01-30,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-01-29,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-01-28,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-01-27,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
2026-01-26,HOTL,Saraswati Griya Lestari Tbk.,--U-4100000000E512M--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,27.0,0,0,0,0,3550001452,3550001452,662430271,0,0,0,0,0
