Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,58.0,0.0,60.0,58.0,60.0,2.0,10632400,629229500,326,57.1,60,116400,59,10139300,5958750000,5958750000,870573375,0,0,0,0,0
2026-05-05,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512---L-------X,55.0,0.0,58.0,58.0,58.0,3.0,3376300,195825400,221,55.2,58,3448900,57,13399100,5958750000,5958750000,870573375,0,0,0,0,0
2026-05-04,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,52.0,0.0,55.0,55.0,55.0,3.0,7709700,424033500,241,52.4,56,348100,55,200000,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-30,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,52.0,0.0,52.0,52.0,52.0,0.0,6270000,326040000,154,49.5,52,1572000,51,66700,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-29,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,48.0,0.0,52.0,49.0,52.0,4.0,3900900,196230400,295,49.5,52,2491400,50,217300,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-28,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,48.0,47.0,48.0,2.0,1839200,88084900,119,45.7,49,63300,47,45000,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-27,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,44.0,0.0,47.0,45.0,46.0,2.0,5428400,251895600,152,43.8,47,600,46,88800,5958750000,5958750000,870573375,0,1000000,0,0,0
2026-04-24,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,45.0,44.0,44.0,-2.0,2264300,100073100,109,41.9,45,428200,44,608300,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-23,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,45.0,46.0,1.0,4345400,195759800,114,43.8,46,246300,45,337200,5958750000,5958750000,870573375,2585000,0,0,0,0
2026-04-22,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,45.0,45.0,0.0,1388800,62665800,98,42.9,46,3079700,45,374000,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-21,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,45.0,45.0,0.0,3840400,173329800,96,42.9,46,2953000,45,88800,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-20,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,46.0,45.0,45.0,-1.0,2097100,94781100,72,42.9,46,3200200,45,88800,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-17,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,46.0,46.0,1.0,1620900,74561400,73,43.8,46,3522500,45,5163900,5958750000,5958750000,870573375,227400,0,0,0,0
2026-04-16,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,44.0,0.0,47.0,44.0,45.0,1.0,3052500,140103100,74,42.9,45,2876900,44,204300,5958750000,5958750000,870573375,1339300,0,0,0,0
2026-04-15,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,45.0,44.0,44.0,-1.0,3089400,136123000,78,41.9,45,4074400,44,339100,5958750000,5958750000,870573375,2000000,0,0,0,0
2026-04-14,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,45.0,45.0,0.0,959600,43254700,58,42.9,45,5651700,44,58800,5958750000,5958750000,870573375,313100,0,0,0,0
2026-04-13,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,45.0,45.0,45.0,0.0,2270100,102154500,60,42.9,46,187000,45,3571900,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-10,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,45.0,44.0,45.0,0.0,1117200,49967000,52,42.9,46,111000,44,68300,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-09,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,45.0,45.0,45.0,-1.0,659700,29686500,45,42.9,45,601900,44,650600,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-08,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,48.0,45.0,46.0,1.0,2960300,134797000,95,43.8,46,875500,45,10000,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-07,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,44.0,45.0,0.0,1168200,53011000,51,42.9,45,1763000,44,123300,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-06,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512---L-------X,46.0,0.0,45.0,44.0,45.0,-1.0,1845000,82625000,74,42.9,45,207600,44,7100,5958750000,5958750000,870573375,200000,0,0,0,0
2026-04-02,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512---L-------X,46.0,0.0,47.0,45.0,46.0,0.0,588800,26889300,36,43.8,46,1888800,45,50500,5958750000,5958750000,870573375,0,0,0,0,0
2026-04-01,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,46.0,45.0,46.0,0.0,716600,32829000,34,43.8,47,210000,46,45300,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-31,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,47.0,0.0,47.0,46.0,46.0,-1.0,729300,33622400,44,43.8,47,2111400,46,100,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-30,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,47.0,0.0,47.0,44.0,47.0,0.0,948900,42772800,77,44.8,47,1184600,46,343900,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-27,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,48.0,0.0,48.0,47.0,47.0,-1.0,535700,25542300,45,44.8,47,260300,46,10700,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-26,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,49.0,47.0,48.0,2.0,2565100,123910700,80,45.7,48,490500,47,9800,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-25,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,46.0,45.0,46.0,0.0,8213100,372671300,139,43.8,46,1099400,45,634100,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-17,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,46.0,44.0,46.0,0.0,230700,10516400,40,43.8,46,528900,45,2200,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-16,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,41.0,46.0,1.0,2347200,104789900,91,43.8,46,412700,43,100,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-13,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,42.0,45.0,0.0,632100,27984700,56,42.9,45,127600,44,100,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-12,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,44.0,45.0,0.0,701200,31208700,58,42.9,45,50000,44,163900,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-11,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,46.0,43.0,45.0,0.0,1120400,49962500,76,42.9,46,580800,45,18500,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-10,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,43.0,0.0,46.0,43.0,45.0,2.0,3904300,176200000,107,42.9,45,168500,44,1000,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-09,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,47.0,0.0,44.0,43.0,43.0,-4.0,2688800,115702500,109,41.0,43,791200,0,0,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-06,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,47.0,0.0,47.0,45.0,47.0,0.0,713900,33079100,92,44.8,48,1100,47,38800,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-05,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,44.0,0.0,48.0,43.0,47.0,3.0,3188800,148653800,128,44.8,48,395000,45,20000,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-04,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,48.0,0.0,48.0,44.0,44.0,-4.0,2188800,97451400,103,41.9,44,192500,0,0,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-03,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,50.0,0.0,50.0,48.0,48.0,-2.0,1838100,88792400,84,45.7,48,406300,46,70100,5958750000,5958750000,870573375,0,0,0,0,0
2026-03-02,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,49.0,0.0,53.0,50.0,50.0,1.0,4102900,211102200,187,47.6,50,133300,49,69700,5958750000,5958750000,870573375,0,0,900000,41400000,1
2026-02-27,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,49.0,47.0,49.0,4.0,2856200,138948600,97,46.7,0,0,49,1559900,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-26,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,49.0,0.0,47.0,45.0,45.0,-4.0,2471800,112628900,137,42.9,46,300000,45,329800,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-25,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,48.0,0.0,49.0,47.0,49.0,1.0,1450000,69926800,108,46.7,49,1043100,47,822300,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-24,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,46.0,0.0,49.0,47.0,48.0,2.0,1419500,67598700,126,45.7,48,118900,47,531700,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-23,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,44.0,0.0,46.0,46.0,46.0,2.0,3963200,182307200,137,43.8,47,264800,46,797600,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-20,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,45.0,0.0,45.0,44.0,44.0,-1.0,5069100,223653900,163,41.9,45,1367300,44,2015600,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-19,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,50.0,0.0,49.0,45.0,45.0,-5.0,8643400,403484000,548,42.9,46,69500,45,8800,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-18,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,55.0,0.0,53.0,50.0,50.0,-5.0,7798800,395793600,272,47.6,52,150000,50,488800,5958750000,5958750000,870573375,0,0,0,0,0
2026-02-13,HRME,Menteng Heritage Realty Tbk.,--U-4130000000E512-----------X,54.0,0.0,55.0,52.0,55.0,1.0,2369700,127174400,134,52.4,55,17040100,54,900,5958750000,5958750000,870573375,0,0,0,0,0
