Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-13,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1025.0,1020.0,1020.0,995.0,995.0,-30.0,20403200,20435634000,3594,95.5,1000,348200,995,5900,13518100000,13518100000,2322409580,6576300,2546400,0,0,0
2026-03-12,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1030.0,1030.0,1055.0,1020.0,1025.0,-5.0,14460500,14954500500,2746,98.4,1025,7500,1020,589600,13518100000,13518100000,2322409580,4772400,1571200,0,0,0
2026-03-11,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1075.0,1075.0,1085.0,1025.0,1030.0,-45.0,17289000,18210153500,4011,98.8,1035,139600,1030,1714300,13518100000,13518100000,2322409580,5223600,1977800,0,0,0
2026-03-10,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1000.0,1040.0,1080.0,1015.0,1075.0,75.0,31376000,32822748500,4127,103.1,1080,118700,1075,311200,13518100000,13518100000,2322409580,9998200,4347300,0,0,0
2026-03-09,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1070.0,1020.0,1035.0,960.0,1000.0,-70.0,43615200,43635036500,6235,96.0,1000,1139400,995,585900,13518100000,13518100000,2322409580,10936800,12622400,0,0,0
2026-03-06,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1110.0,1110.0,1120.0,1060.0,1070.0,-40.0,22056700,23903105000,4248,102.7,1075,80200,1070,775600,13518100000,13518100000,2322409580,6909000,4499300,0,0,0
2026-03-05,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1105.0,1135.0,1155.0,1110.0,1110.0,5.0,20844000,23507241000,3502,106.5,1115,21500,1110,1997100,13518100000,13518100000,2322409580,6442400,4303800,0,0,0
2026-03-04,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1190.0,1195.0,1200.0,1090.0,1105.0,-85.0,62209200,70698777000,9328,106.0,1110,196000,1105,1948200,13518100000,13518100000,2322409580,15192100,11831100,0,0,0
2026-03-03,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1200.0,1250.0,1260.0,1140.0,1190.0,-10.0,94239800,113046758500,12808,114.2,1190,321300,1185,215700,13518100000,13518100000,2322409580,12724900,11610400,0,0,0
2026-03-02,HRUM,Harum Energy Tbk.,--MO1835M03000A121------------,1165.0,1165.0,1210.0,1130.0,1200.0,35.0,43172700,50856987500,8008,115.1,1205,249100,1200,572700,13518100000,13518100000,2322409580,8824200,12577400,0,0,0
