Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-20,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,306.0,306.0,308.0,302.0,304.0,-2.0,55300,16828800,31,23.8,306,33400,304,9000,2003000000,2003000000,185477800,0,0,0,0,0
2026-04-17,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,306.0,0.0,306.0,304.0,306.0,0.0,24600,7511400,9,23.9,306,3500,304,35300,2003000000,2003000000,185477800,0,0,0,0,0
2026-04-16,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,308.0,310.0,310.0,304.0,306.0,-2.0,130200,39965000,35,23.9,308,73100,306,100,2003000000,2003000000,185477800,9300,0,0,0,0
2026-04-15,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,306.0,306.0,308.0,304.0,308.0,2.0,108900,33120200,24,24.1,308,33100,306,3000,2003000000,2003000000,185477800,0,0,0,0,0
2026-04-14,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,308.0,0.0,308.0,304.0,306.0,-2.0,33400,10203400,18,23.9,306,20900,304,305400,2003000000,2003000000,185477800,0,0,0,0,0
2026-04-13,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,304.0,0.0,308.0,300.0,308.0,4.0,131800,40074800,37,24.1,308,95100,306,26000,2003000000,2003000000,185477800,29200,0,0,0,0
2026-04-10,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,302.0,0.0,306.0,300.0,304.0,2.0,84700,25579200,24,23.8,304,4200,302,3400,2003000000,2003000000,185477800,0,0,0,0,0
2026-04-09,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,304.0,0.0,304.0,298.0,302.0,-2.0,123700,37159000,42,23.6,302,25000,300,19500,2003000000,2003000000,185477800,20200,0,0,0,0
2026-04-08,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,304.0,302.0,308.0,302.0,304.0,0.0,42300,12803200,29,23.8,304,61500,302,20900,2003000000,2003000000,185477800,3000,0,0,0,0
2026-04-07,IDPR,Indonesia Pondasi Raya Tbk.,--UO2130000000J211------------,304.0,0.0,306.0,302.0,304.0,0.0,100900,30561600,35,23.8,304,25800,302,17500,2003000000,2003000000,185477800,0,0,0,0,0
