Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,226.0,228.0,220.0,226.0,2.0,251500,56695000,69,215.2,226,900,220,4600,9412000000,9412000000,750136400,25700,0,0,0,0
2026-05-26,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,0.0,232.0,220.0,224.0,0.0,339500,77288600,68,213.3,226,5000,222,58800,9412000000,9412000000,750136400,31500,0,0,0,0
2026-05-25,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,226.0,232.0,216.0,224.0,-2.0,246200,54838400,88,213.3,224,18300,222,1000,9412000000,9412000000,750136400,13700,5900,0,0,0
2026-05-22,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,232.0,232.0,232.0,220.0,226.0,-6.0,157600,35661800,79,215.2,226,95300,224,7200,9412000000,9412000000,750136400,6000,0,0,0,0
2026-05-21,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,220.0,252.0,212.0,232.0,10.0,1007400,230630200,518,221.0,228,23600,218,179200,9412000000,9412000000,750136400,117900,60100,0,0,0
2026-05-20,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,222.0,214.0,222.0,0.0,23100,5065200,34,211.4,222,1400,220,23700,9412000000,9412000000,750136400,1900,0,0,0,0
2026-05-19,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,220.0,220.0,222.0,218.0,222.0,2.0,39300,8640600,28,211.4,222,11500,220,600,9412000000,9412000000,750136400,0,100,0,0,0
2026-05-18,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,222.0,216.0,220.0,-2.0,109500,23881200,47,209.5,222,16600,220,2100,9412000000,9412000000,750136400,400,0,0,0,0
2026-05-13,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,226.0,220.0,222.0,0.0,198100,43805000,54,211.4,226,14100,222,10100,9412000000,9412000000,750136400,18000,0,0,0,0
2026-05-12,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,0.0,250.0,220.0,222.0,0.0,431900,101514400,285,211.4,226,3500,222,35000,9412000000,9412000000,750136400,44900,1400,0,0,0
2026-05-11,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,224.0,246.0,218.0,222.0,-4.0,322300,74261800,190,211.4,224,900,220,13200,9412000000,9412000000,750136400,32500,68400,0,0,0
2026-05-08,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,218.0,218.0,232.0,218.0,226.0,8.0,333800,75476600,138,215.2,226,123800,220,7300,9412000000,9412000000,750136400,9300,1900,0,0,0
2026-05-07,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,234.0,210.0,218.0,-4.0,329700,74123200,128,207.6,222,10900,218,12300,9412000000,9412000000,750136400,101400,8200,0,0,0
2026-05-06,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,224.0,220.0,222.0,0.0,25100,5607400,26,211.4,224,4600,222,4500,9412000000,9412000000,750136400,0,0,0,0,0
2026-05-05,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,220.0,0.0,222.0,220.0,222.0,2.0,9500,2092800,23,211.4,222,6100,220,2800,9412000000,9412000000,750136400,0,0,0,0,0
2026-05-04,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,220.0,216.0,222.0,210.0,220.0,0.0,198000,43158400,84,209.5,222,1400,220,89800,9412000000,9412000000,750136400,13800,0,0,0,0
2026-04-30,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,0.0,224.0,214.0,220.0,-4.0,260800,56785200,102,209.5,220,1300,218,30600,9412000000,9412000000,750136400,9300,200,0,0,0
2026-04-29,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,0.0,228.0,222.0,224.0,-2.0,27500,6173200,52,213.3,224,1200,222,40800,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-28,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,228.0,230.0,222.0,226.0,2.0,40200,9106800,56,215.2,228,65700,226,600,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-27,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,222.0,222.0,228.0,220.0,224.0,2.0,118700,26353600,64,213.3,224,400,220,44700,9412000000,9412000000,750136400,6200,11500,0,0,0
2026-04-24,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,228.0,0.0,228.0,220.0,222.0,-6.0,107900,23917200,72,211.4,222,6100,220,83900,9412000000,9412000000,750136400,9700,0,0,0,0
2026-04-23,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,224.0,230.0,222.0,228.0,2.0,48400,10912800,53,217.1,230,31900,228,2400,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-22,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,228.0,228.0,222.0,226.0,0.0,128700,29042200,43,215.2,226,4600,224,85600,9412000000,9412000000,750136400,10700,0,0,0,0
2026-04-21,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,228.0,228.0,220.0,226.0,0.0,115900,25887200,47,215.2,228,50800,224,70100,9412000000,9412000000,750136400,10400,12600,0,0,0
2026-04-20,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,0.0,228.0,218.0,226.0,0.0,175500,38737200,72,215.2,226,15600,224,100,9412000000,9412000000,750136400,16900,67600,0,0,0
2026-04-17,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,226.0,228.0,222.0,226.0,0.0,37700,8498200,41,215.2,226,1400,224,24400,9412000000,9412000000,750136400,0,15800,0,0,0
2026-04-16,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,228.0,228.0,228.0,222.0,226.0,-2.0,60200,13658000,61,215.2,226,3200,224,14700,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-15,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,226.0,228.0,220.0,228.0,4.0,180100,40529000,87,217.1,228,900,222,1200,9412000000,9412000000,750136400,4500,104500,0,0,0
2026-04-14,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,220.0,222.0,226.0,220.0,224.0,4.0,63900,14193600,65,213.3,226,8700,220,25600,9412000000,9412000000,750136400,3200,13700,0,0,0
2026-04-13,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,226.0,226.0,220.0,220.0,-6.0,53700,11944800,75,209.5,226,1000,220,12900,9412000000,9412000000,750136400,800,0,0,0,0
2026-04-10,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,224.0,0.0,230.0,224.0,226.0,2.0,38600,8681600,32,215.2,226,2600,224,36800,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-09,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,228.0,234.0,220.0,224.0,-2.0,50900,11509400,45,213.3,224,5300,222,1500,9412000000,9412000000,750136400,200,0,0,0,0
2026-04-08,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,220.0,224.0,226.0,220.0,226.0,6.0,100100,22287400,70,215.2,226,5200,224,7300,9412000000,9412000000,750136400,900,35000,0,0,0
2026-04-07,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,218.0,222.0,222.0,220.0,220.0,2.0,186300,41104800,70,209.5,220,19200,218,2900,9412000000,9412000000,750136400,0,0,0,0,0
2026-04-06,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,226.0,260.0,199.0,218.0,-8.0,2218500,503779700,680,207.6,220,100,218,8300,9412000000,9412000000,750136400,195600,152500,0,0,0
2026-04-02,IFII,Indonesia Fibreboard Industry Tbk.,--UO2135000000B151------------,226.0,0.0,228.0,220.0,226.0,0.0,77000,17427200,44,215.2,226,13300,224,9700,9412000000,9412000000,750136400,22200,0,0,0,0
