Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,470.0,478.0,480.0,464.0,470.0,0.0,375600,177785800,238,307.2,474,3000,470,5500,927780600,927780600,99272524,51200,54800,0,0,0
2026-03-31,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,478.0,0.0,480.0,468.0,470.0,-8.0,174900,82364000,111,307.2,474,13500,470,2600,927780600,927780600,143713215,0,32900,0,0,0
2026-03-27,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,478.0,0.0,482.0,476.0,478.0,0.0,117200,56193000,60,312.4,480,6100,478,700,927780600,927780600,143713215,0,1000,0,0,0
2026-03-26,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,486.0,0.0,488.0,478.0,478.0,-8.0,87600,42357200,144,312.4,484,24400,478,29100,927780600,927780600,143713215,0,0,0,0,0
2026-03-25,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,486.0,480.0,488.0,478.0,486.0,0.0,253700,122573600,59,317.6,486,1000,482,1000,927780600,927780600,143713215,15000,18400,0,0,0
2026-03-17,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,486.0,0.0,486.0,480.0,486.0,0.0,76300,36947800,91,317.6,486,6200,484,300,927780600,927780600,143713215,0,0,0,0,0
2026-03-16,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,482.0,482.0,490.0,480.0,486.0,4.0,112600,54093000,39,317.6,486,5900,480,16500,927780600,927780600,143713215,0,0,0,0,0
2026-03-13,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,488.0,486.0,488.0,482.0,482.0,-6.0,62600,30255400,39,315.0,486,8200,482,28000,927780600,927780600,143713215,0,0,0,0,0
2026-03-12,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,490.0,490.0,490.0,482.0,488.0,-2.0,72100,34918600,83,319.0,488,8700,484,52400,927780600,927780600,143713215,0,20000,0,0,0
2026-03-11,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,486.0,486.0,490.0,486.0,490.0,4.0,7000,3415000,12,320.3,490,41500,488,1500,927780600,927780600,143713215,0,0,0,0,0
2026-03-10,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,486.0,0.0,498.0,486.0,486.0,0.0,12600,6149200,34,317.6,490,5900,484,7200,927780600,927780600,143713215,0,0,0,0,0
2026-03-09,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,498.0,498.0,480.0,486.0,-12.0,302500,146644400,114,317.6,486,1600,484,3800,927780600,927780600,143713215,42300,0,0,0,0
2026-03-06,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,505.0,496.0,498.0,-7.0,63500,31614900,259,325.5,498,49000,496,8700,927780600,927780600,143713215,0,0,0,0,0
2026-03-05,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,505.0,498.0,505.0,0.0,46200,23013100,23,330.1,505,31600,498,57100,927780600,927780600,143713215,0,0,0,0,0
2026-03-04,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,496.0,0.0,505.0,494.0,505.0,9.0,138900,69667600,82,330.1,505,23600,496,7600,927780600,927780600,143713215,0,10400,0,0,0
2026-03-03,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,498.0,510.0,496.0,496.0,-2.0,294100,147255600,85,324.2,500,200,498,400,927780600,927780600,143713215,0,19200,0,0,0
2026-03-02,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,496.0,500.0,492.0,498.0,0.0,69400,34310000,66,325.5,498,300,496,18400,927780600,927780600,143713215,0,10200,0,0,0
2026-02-27,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,500.0,500.0,500.0,496.0,498.0,-2.0,37100,18422600,52,325.5,498,74100,496,166400,927780600,927780600,143713215,0,0,0,0,0
2026-02-26,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,0.0,505.0,496.0,500.0,2.0,27000,13434600,50,326.8,500,10300,496,12700,927780600,927780600,143713215,0,0,0,0,0
2026-02-25,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,500.0,0.0,505.0,496.0,498.0,-2.0,268200,133481500,73,325.5,500,4200,496,2000,927780600,927780600,143713215,0,0,0,0,0
2026-02-24,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,498.0,520.0,496.0,500.0,2.0,726700,365121900,197,326.8,500,9800,498,18300,927780600,927780600,143713215,31600,0,0,0,0
2026-02-23,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,500.0,500.0,494.0,498.0,-7.0,225000,111759400,131,325.5,498,23800,496,4700,927780600,927780600,143713215,1700,0,0,0,0
2026-02-20,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,0.0,510.0,498.0,505.0,0.0,41500,20818700,42,330.1,505,36000,498,10300,927780600,927780600,143713215,12200,0,0,0,0
2026-02-19,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,0.0,505.0,500.0,505.0,0.0,25300,12679000,34,330.1,505,12900,500,6500,927780600,927780600,143713215,0,0,0,0,0
2026-02-18,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,515.0,0.0,515.0,496.0,505.0,-10.0,175600,87903300,113,330.1,505,25200,500,300,927780600,927780600,143713215,6700,45500,0,0,0
2026-02-13,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,515.0,498.0,515.0,10.0,44900,22838300,56,336.6,510,1800,500,8800,927780600,927780600,143713215,0,0,0,0,0
2026-02-12,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,0.0,510.0,498.0,505.0,0.0,69400,35021800,64,330.1,505,1600,500,146900,927780600,927780600,143713215,0,0,0,0,0
2026-02-11,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,505.0,498.0,505.0,0.0,23100,11604700,35,330.1,505,41800,498,12400,927780600,927780600,143713215,0,0,0,0,0
2026-02-10,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,505.0,498.0,505.0,0.0,40300,20129900,44,330.1,505,51400,500,33000,927780600,927780600,143713215,0,0,0,0,0
2026-02-09,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,500.0,0.0,505.0,496.0,505.0,5.0,24600,12264200,24,330.1,500,400,498,14000,927780600,927780600,143713215,0,1500,0,0,0
2026-02-06,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,0.0,500.0,492.0,500.0,2.0,12200,6022400,28,326.8,498,1500,494,10400,927780600,927780600,143713215,0,0,0,0,0
2026-02-05,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,498.0,0.0,500.0,494.0,498.0,0.0,81100,40342800,51,325.5,498,1100,496,1400,927780600,927780600,143713215,0,0,0,0,0
2026-02-04,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,505.0,490.0,498.0,-7.0,60600,29855800,46,325.5,500,13400,498,1500,927780600,927780600,143713215,0,11600,0,0,0
2026-02-03,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,496.0,0.0,505.0,490.0,505.0,9.0,25400,12565800,40,330.1,505,23000,496,200,927780600,927780600,143713215,0,0,0,0,0
2026-02-02,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,500.0,0.0,505.0,494.0,496.0,-4.0,42700,21161600,41,324.2,498,10300,494,29900,927780600,927780600,143713215,0,0,0,0,0
2026-01-30,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,492.0,0.0,505.0,492.0,500.0,8.0,75900,37973200,63,326.8,505,27300,500,35600,927780600,927780600,143713215,0,0,0,0,0
2026-01-29,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,494.0,0.0,510.0,480.0,492.0,-2.0,462200,225741600,217,321.6,492,148300,490,25900,927780600,927780600,143713215,0,0,0,0,0
2026-01-28,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,510.0,500.0,520.0,490.0,494.0,-16.0,672500,334985100,250,322.9,496,31600,494,100,927780600,927780600,143713215,0,40000,0,0,0
2026-01-27,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,500.0,0.0,510.0,500.0,510.0,10.0,171400,86271000,51,333.3,510,25300,505,100,927780600,927780600,143713215,0,0,0,0,0
2026-01-26,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,505.0,505.0,510.0,500.0,500.0,-5.0,190800,95767000,83,326.8,505,33700,500,117400,927780600,927780600,143713215,0,0,0,0,0
2026-01-23,IGAR,Champion Pacific Indonesia Tbk.,--UO2130000000B131------------,510.0,510.0,520.0,500.0,505.0,-5.0,167800,84674000,81,330.1,505,7800,500,98300,927780600,927780600,143713215,22200,0,0,0,0
