Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-14,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,21.0,0.0,21.0,20.0,20.0,-1.0,35702800,732846400,532,5.7,21,5396900,20,19044300,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-13,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,23.0,0.0,22.0,21.0,21.0,-2.0,51807100,1105528300,590,6.0,22,8695000,21,2667700,13305799387,13305799387,10463680638,0,0,27699666,415494990,1
2026-04-10,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,23.0,0.0,23.0,23.0,23.0,0.0,7836900,180248700,276,6.6,23,3189900,22,2738200,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-09,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,23.0,0.0,23.0,23.0,23.0,0.0,8454100,194444300,261,6.6,23,2654000,22,9777900,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-08,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,21.0,0.0,23.0,22.0,23.0,2.0,25625500,586307600,382,6.6,0,0,23,2406800,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-07,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,21.0,0.0,22.0,21.0,21.0,0.0,11002900,240200300,222,6.0,22,4426000,21,3092500,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-06,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,21.0,0.0,21.0,21.0,21.0,0.0,13071800,274507800,250,6.0,22,1305100,21,2460400,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-02,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,22.0,0.0,22.0,21.0,21.0,-1.0,5104000,111996000,225,6.0,22,6307500,21,6543700,13305799387,13305799387,10463680638,0,0,0,0,0
2026-04-01,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,21.0,0.0,22.0,20.0,22.0,1.0,27125400,556322500,423,6.3,22,1705300,21,7986800,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-31,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,23.0,0.0,23.0,21.0,21.0,-2.0,57882100,1220220700,633,6.0,21,24846100,0,0,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-30,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,24.0,0.0,24.0,22.0,23.0,-1.0,9677700,225334800,275,6.6,24,8371600,23,1963000,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-27,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,24.0,0.0,26.0,24.0,24.0,0.0,35452400,890859800,535,6.9,25,4978600,24,4908500,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-26,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,22.0,0.0,24.0,23.0,24.0,2.0,35534500,840586600,504,6.9,0,0,24,40800,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-25,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,20.0,0.0,22.0,21.0,22.0,2.0,19272500,413059700,335,6.3,0,0,22,121900,13305799387,13305799387,10463680638,0,0,0,0,0
2026-03-17,IKAI,Intikeramik Alamasri Industri Tbk.,--U-4130000000C121-----------X,19.0,0.0,20.0,19.0,20.0,1.0,18266500,355007300,448,5.7,0,0,20,35600,13305799387,13305799387,10463680638,0,0,0,0,0
