Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-27,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,555.0,560.0,565.0,560.0,565.0,10.0,62200,34888500,46,51.2,565,11600,560,86000,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-24,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,570.0,0.0,580.0,555.0,555.0,-15.0,58700,32958000,59,50.3,565,7900,560,1700,1224000000,1224000000,93636000,600,0,0,0,0
2026-04-23,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,580.0,580.0,585.0,565.0,570.0,-10.0,35100,20178000,57,51.7,580,4000,575,1100,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-22,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,570.0,570.0,590.0,555.0,580.0,10.0,148400,84704500,119,52.6,585,6200,580,600,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-21,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,555.0,560.0,570.0,555.0,570.0,15.0,50100,28224500,50,51.7,570,7000,565,14700,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-20,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,550.0,560.0,540.0,555.0,5.0,22200,12162000,33,50.3,560,9700,555,66500,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-17,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,540.0,560.0,585.0,545.0,550.0,10.0,38700,21573000,47,49.9,565,11900,550,100,1224000000,1224000000,93636000,800,0,0,0,0
2026-04-16,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,555.0,0.0,560.0,540.0,540.0,-15.0,56600,31313500,35,49.0,560,14800,540,8800,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-15,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,0.0,590.0,540.0,555.0,5.0,134200,74108500,87,50.3,555,21400,550,10300,1224000000,1224000000,93636000,600,0,0,0,0
2026-04-14,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,550.0,560.0,545.0,550.0,5.0,37800,20973000,49,49.9,555,4500,550,4000,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-13,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,550.0,550.0,545.0,545.0,-5.0,39400,21481000,21,49.4,550,7100,545,800,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-10,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,545.0,555.0,545.0,550.0,5.0,28100,15469000,27,49.9,550,10400,545,900,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-09,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,0.0,550.0,545.0,545.0,-5.0,3200,1745500,10,49.4,550,26800,540,3300,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-08,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,555.0,555.0,540.0,550.0,0.0,12800,7000000,34,49.9,550,16800,545,500,1224000000,1224000000,93636000,3500,0,0,0,0
2026-04-07,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,0.0,580.0,530.0,550.0,5.0,32000,17745500,42,49.9,550,3900,545,100,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-06,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,545.0,550.0,535.0,545.0,0.0,57000,30752500,55,49.4,545,10400,540,2100,1224000000,1224000000,93636000,0,9300,0,0,0
2026-04-02,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,545.0,545.0,535.0,545.0,-5.0,7300,3951000,14,49.4,545,12100,540,6500,1224000000,1224000000,93636000,0,0,0,0,0
2026-04-01,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,540.0,0.0,550.0,530.0,550.0,10.0,41700,22222500,40,49.9,550,11300,540,3100,1224000000,1224000000,93636000,0,0,0,0,0
2026-03-31,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,550.0,555.0,555.0,530.0,540.0,-10.0,20400,11007500,43,49.0,545,500,540,12800,1224000000,1224000000,93636000,0,0,0,0,0
2026-03-30,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,545.0,560.0,540.0,550.0,5.0,77600,42463500,53,49.9,555,1100,550,100,1224000000,1224000000,93636000,0,0,0,0,0
2026-03-27,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,540.0,550.0,540.0,545.0,0.0,41600,22573500,31,49.4,545,600,540,42300,1224000000,1224000000,93636000,0,0,0,0,0
2026-03-26,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,545.0,545.0,535.0,545.0,0.0,46600,25280000,32,49.4,545,13600,540,3000,1224000000,1224000000,93636000,0,8800,0,0,0
2026-03-25,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,545.0,545.0,550.0,535.0,545.0,0.0,53800,29153000,37,49.4,545,39400,540,20300,1224000000,1224000000,93636000,3700,0,0,0,0
2026-03-17,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,530.0,530.0,560.0,530.0,545.0,15.0,54000,29615000,55,49.4,545,1500,540,200,1224000000,1224000000,93636000,8500,0,0,0,0
2026-03-16,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,540.0,545.0,550.0,500.0,530.0,-10.0,95900,48921500,85,48.1,530,2400,525,800,1224000000,1224000000,93636000,32300,11200,0,0,0
2026-03-13,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,535.0,545.0,555.0,530.0,540.0,5.0,73500,40171500,51,49.0,545,200,540,75600,1224000000,1224000000,93636000,1600,0,0,0,0
2026-03-12,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,535.0,550.0,550.0,510.0,535.0,0.0,24800,13087500,51,48.5,545,1700,540,11100,1224000000,1224000000,93636000,0,0,0,0,0
2026-03-11,IKBI,Sumi Indo Kabel Tbk.,--UO2130000000C131------------,540.0,540.0,545.0,535.0,535.0,-5.0,21800,11797000,32,48.5,550,4800,535,21900,1224000000,1224000000,93636000,0,0,0,0,0
