Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-20,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,187.0,187.0,195.0,185.0,195.0,8.0,135500,25351500,79,118.2,196,3300,195,85300,1684662500,1684662500,336932500,0,9600,0,0,0
2026-05-18,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,199.0,199.0,202.0,188.0,193.0,-6.0,511600,100105000,239,117.0,197,800,193,48400,1684662500,1684662500,336932500,57400,33500,0,0,0
2026-05-13,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,199.0,199.0,202.0,197.0,199.0,0.0,373900,74194900,148,120.6,202,12600,199,15400,1684662500,1684662500,336932500,20800,0,0,0,0
2026-05-12,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,220.0,220.0,220.0,199.0,199.0,-21.0,2032100,410294000,675,120.6,199,25400,198,33600,1684662500,1684662500,336932500,22500,84600,0,0,0
2026-05-11,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,199.0,208.0,268.0,200.0,220.0,21.0,14238400,3567605800,3785,133.3,226,62800,220,41500,1684662500,1684662500,336932500,769700,480700,0,0,0
2026-05-08,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,202.0,0.0,240.0,195.0,199.0,-3.0,2257800,479796600,1155,120.6,204,23900,199,14400,1684662500,1684662500,336932500,75900,0,0,0,0
2026-05-07,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,202.0,202.0,214.0,202.0,202.0,0.0,237800,49781400,81,122.4,210,60300,204,100,1684662500,1684662500,336932500,900,0,0,0,0
2026-05-06,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,199.0,0.0,204.0,198.0,202.0,3.0,15100,3054800,23,122.4,204,40700,198,2100,1684662500,1684662500,336932500,100,0,0,0,0
2026-05-05,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,204.0,0.0,204.0,191.0,199.0,-5.0,77300,15142400,53,120.6,202,800,199,1500,1684662500,1684662500,336932500,0,0,0,0,0
2026-05-04,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,204.0,0.0,216.0,195.0,204.0,0.0,125200,24772200,71,123.6,206,1400,204,500,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-30,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,204.0,0.0,212.0,195.0,204.0,0.0,146000,30207700,119,123.6,204,50300,197,300,1684662500,1684662500,336932500,1700,0,0,0,0
2026-04-29,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,202.0,212.0,218.0,195.0,204.0,2.0,217500,45223000,141,123.6,206,6100,202,700,1684662500,1684662500,336932500,68300,0,0,0,0
2026-04-28,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,206.0,0.0,212.0,199.0,202.0,-4.0,54200,10959200,43,122.4,202,16200,200,7400,1684662500,1684662500,336932500,1900,0,0,0,0
2026-04-27,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,206.0,204.0,214.0,199.0,206.0,0.0,74300,14991300,52,124.8,202,50700,200,500,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-24,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,208.0,0.0,214.0,204.0,206.0,-2.0,45100,9482800,30,124.8,206,5000,204,11800,1684662500,1684662500,336932500,18800,0,0,0,0
2026-04-23,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,218.0,218.0,208.0,208.0,-2.0,17300,3656200,29,126.1,210,70300,208,50200,1684662500,1684662500,336932500,2900,0,0,0,0
2026-04-22,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,208.0,0.0,220.0,210.0,210.0,2.0,61200,12949200,50,127.3,210,200,208,5700,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-21,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,212.0,212.0,228.0,206.0,208.0,-4.0,213600,44859800,195,126.1,208,24900,206,96300,1684662500,1684662500,336932500,300,0,0,0,0
2026-04-20,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,208.0,208.0,212.0,206.0,212.0,4.0,67500,13982800,50,128.5,212,30000,208,2500,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-17,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,220.0,0.0,218.0,202.0,208.0,-12.0,788700,163960600,167,126.1,208,31900,206,2600,1684662500,1684662500,336932500,100,0,0,0,0
2026-04-16,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,224.0,0.0,220.0,212.0,220.0,-4.0,78900,16828800,29,133.3,218,100,216,100,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-15,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,218.0,216.0,248.0,212.0,224.0,6.0,176300,38943200,62,135.8,222,68900,216,3400,1684662500,1684662500,336932500,1900,0,0,0,0
2026-04-14,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,212.0,212.0,252.0,208.0,218.0,6.0,350300,76271400,147,132.1,218,28000,214,1200,1684662500,1684662500,336932500,12900,0,0,0,0
2026-04-13,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,216.0,0.0,216.0,208.0,212.0,-4.0,94500,20144800,38,128.5,212,13700,210,4300,1684662500,1684662500,336932500,1200,0,0,0,0
2026-04-10,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,208.0,0.0,218.0,208.0,216.0,8.0,27600,5837400,28,130.9,216,9300,208,40200,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-09,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,210.0,210.0,206.0,208.0,-2.0,4200,880200,17,126.1,212,300,208,100,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-08,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,0.0,214.0,200.0,210.0,0.0,116100,23982200,77,127.3,210,2600,206,400,1684662500,1684662500,336932500,1700,0,0,0,0
2026-04-07,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,0.0,216.0,198.0,210.0,0.0,173500,36658700,52,127.3,210,3700,206,200,1684662500,1684662500,336932500,50600,0,0,0,0
2026-04-06,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,210.0,220.0,210.0,210.0,0.0,104100,22017600,63,127.3,216,1200,210,5900,1684662500,1684662500,336932500,0,0,0,0,0
2026-04-02,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,236.0,236.0,236.0,210.0,210.0,-26.0,818000,176071000,136,127.3,218,100,210,83700,1684662500,1684662500,336932500,100,0,0,0,0
2026-04-01,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,0.0,262.0,218.0,236.0,26.0,2138400,533512400,408,143.0,238,100,236,2500,1684662500,1684662500,336932500,147900,0,0,0,0
2026-03-31,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,214.0,224.0,224.0,210.0,210.0,-4.0,1600,344400,11,127.3,220,1100,218,99400,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-30,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,218.0,226.0,226.0,210.0,214.0,-4.0,14600,3092400,16,129.7,218,500,214,100,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-27,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,216.0,0.0,218.0,210.0,218.0,2.0,4700,1016600,11,132.1,220,500,218,47100,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-26,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,210.0,0.0,230.0,214.0,216.0,6.0,89900,19716800,95,130.9,218,200,216,1400,1684662500,1684662500,336932500,100,0,0,0,0
2026-03-25,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,204.0,0.0,210.0,210.0,210.0,6.0,1300,273000,4,127.3,216,400,210,98700,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-17,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,204.0,0.0,204.0,202.0,204.0,0.0,6200,1264400,7,123.6,212,900,206,400,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-16,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,214.0,216.0,218.0,182.0,204.0,-10.0,24200,4825200,21,123.6,214,1900,202,1500,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-13,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,214.0,0.0,214.0,202.0,214.0,0.0,69800,14626600,31,129.7,220,3900,212,5400,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-12,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,216.0,0.0,216.0,212.0,214.0,-2.0,800,170800,4,129.7,220,3900,212,4800,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-11,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,216.0,0.0,218.0,214.0,216.0,0.0,2500,540000,7,130.9,224,400,214,2400,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-10,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,222.0,0.0,222.0,214.0,216.0,-6.0,14100,3065800,17,130.9,218,100,216,3200,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-09,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,222.0,222.0,222.0,212.0,222.0,0.0,68400,14777000,20,134.5,222,1300,212,5400,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-06,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,222.0,0.0,234.0,212.0,222.0,0.0,96500,21521400,59,134.5,222,2500,214,107200,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-05,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,230.0,230.0,230.0,216.0,222.0,-8.0,100500,22590200,58,134.5,226,2000,222,100,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-04,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,250.0,0.0,250.0,220.0,230.0,-20.0,92900,20745200,29,139.4,230,6000,222,5000,1684662500,1684662500,336932500,200,0,0,0,0
2026-03-03,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,252.0,0.0,250.0,228.0,250.0,-2.0,61900,14899200,48,151.5,252,1300,250,85100,1684662500,1684662500,336932500,0,0,0,0,0
2026-03-02,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,260.0,258.0,258.0,222.0,252.0,-8.0,1254400,306360600,128,152.7,254,200,252,87400,1684662500,1684662500,336932500,2300,0,0,0,0
2026-02-27,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,254.0,280.0,280.0,246.0,260.0,6.0,5374100,1397019200,142,157.6,260,37500,256,1000,1684662500,1684662500,336932500,39600,0,0,0,0
2026-02-26,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,246.0,0.0,290.0,250.0,254.0,8.0,2867300,747586200,252,153.9,254,500,250,7800,1684662500,1684662500,336932500,83800,0,0,0,0
2026-02-25,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,252.0,0.0,256.0,244.0,246.0,-6.0,39600,9880800,28,149.1,248,7600,246,3000,1684662500,1684662500,336932500,0,0,0,0,0
2026-02-24,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,250.0,0.0,258.0,230.0,252.0,2.0,96100,24142600,63,152.7,256,5200,252,7000,1684662500,1684662500,336932500,0,0,0,0,0
2026-02-23,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,246.0,0.0,258.0,248.0,250.0,4.0,129000,32535800,29,151.5,254,6000,250,700,1684662500,1684662500,336932500,0,0,36363600,9236354400,1
2026-02-20,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,254.0,0.0,254.0,246.0,246.0,-8.0,55600,13824400,35,149.1,254,400,246,70100,1684662500,1684662500,336932500,0,0,0,0,0
2026-02-19,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,248.0,248.0,254.0,248.0,254.0,6.0,70400,17742800,30,153.9,254,11800,248,1500,1684662500,1684662500,336932500,0,0,0,0,0
2026-02-18,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,248.0,254.0,260.0,242.0,248.0,0.0,116700,29402200,42,150.3,254,500,248,500,1684662500,1684662500,336932500,36900,29500,0,0,0
2026-02-13,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,252.0,252.0,258.0,248.0,248.0,-4.0,72400,18295000,44,150.3,260,3000,248,37600,1684662500,1684662500,336932500,700,0,0,0,0
2026-02-12,IKPM,Ikapharmindo Putramas Tbk.,--UO2130000000F211------------,258.0,0.0,262.0,226.0,252.0,-6.0,176800,43453600,104,152.7,254,500,252,4300,1684662500,1684662500,336932500,0,0,0,0,0
