Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-14,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2370.0,2440.0,2550.0,2350.0,2380.0,10.0,63226500,153823363000,13340,6900.2,2390,29300,2380,232000,54907000000,54907000000,13507122000,23867500,7760700,0,0,0
2026-04-13,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2250.0,2230.0,2430.0,2190.0,2370.0,120.0,48980100,114886259000,9419,6871.2,2380,67500,2370,20000,54907000000,54907000000,13507122000,13662600,18782800,29309500,75906950000,2
2026-04-10,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2240.0,2240.0,2340.0,2220.0,2250.0,10.0,31141300,70760497000,6644,6523.3,2260,48500,2250,292500,54907000000,54907000000,13507122000,11393900,6994800,0,0,0
2026-04-09,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2320.0,2240.0,2310.0,2210.0,2240.0,-80.0,24415400,54820671000,5918,6494.3,2250,107500,2240,501700,54907000000,54907000000,13507122000,9981800,2300700,1650000,3753750000,1
2026-04-08,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2100.0,2270.0,2330.0,2180.0,2320.0,220.0,43744800,99187682000,8018,6726.2,2330,427400,2320,12010700,54907000000,54907000000,13507122000,15525000,14436000,0,0,0
2026-04-07,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2190.0,2180.0,2230.0,2070.0,2100.0,-90.0,26848200,57210840000,6466,6088.4,2100,70700,2090,213100,54907000000,54907000000,13507122000,13367600,5733200,915000,2003850000,1
2026-04-06,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2240.0,2260.0,2480.0,2170.0,2190.0,-50.0,81270700,190209266000,17172,6349.3,2200,81000,2190,574000,54907000000,54907000000,13507122000,20070700,22019800,32300000,79135000000,1
2026-04-02,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2280.0,2170.0,2320.0,2010.0,2240.0,-40.0,35449900,78377643000,8746,6494.3,2240,130200,2230,59200,54907000000,54907000000,13507122000,10809900,8304400,79000000,177750000000,1
2026-04-01,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,1875.0,1910.0,2280.0,1910.0,2280.0,405.0,62206900,130684000500,13094,6610.2,2290,71000,2280,356000,54907000000,54907000000,13507122000,12454400,22544500,0,0,0
2026-03-31,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,1875.0,1835.0,1905.0,1810.0,1875.0,0.0,17528200,32628490500,3662,5436.0,1875,13800,1870,79500,54907000000,54907000000,11157102400,6997900,2988500,0,0,0
2026-03-30,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,1860.0,1790.0,1885.0,1755.0,1875.0,15.0,12399800,22635595500,3240,5436.0,1875,58300,1870,6300,54907000000,54907000000,11157102400,4211700,4478100,0,0,0
2026-03-27,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,1860.0,1850.0,1880.0,1770.0,1860.0,0.0,19183400,35002827500,4651,5392.6,1860,40300,1855,301000,54907000000,54907000000,11157102400,11050200,5201000,0,0,0
2026-03-26,IMPC,Impack Pratama Industri Tbk.,--MO1830000000C121------------,2020.0,2030.0,2050.0,1860.0,1860.0,-160.0,36899000,70907630000,8857,5392.6,1860,39000,1855,1090800,54907000000,54907000000,11157102400,23444800,8321100,0,0,0
