Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-28,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-27,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-24,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-23,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-22,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-21,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-20,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-17,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-04-16,INAF,Indofarma Tbk.,--U-4100000000F211-E-L-------X,126.0,0.0,0.0,0.0,126.0,0.0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
