Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,81.0,0.0,82.0,79.0,79.0,-2.0,482200,38564400,61,55.7,81,18800,79,18876100,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,81.0,0.0,84.0,76.0,81.0,0.0,879700,70008600,72,57.1,82,112400,81,20312900,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-24,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,81.0,0.0,81.0,80.0,81.0,0.0,496100,40104000,62,57.1,81,32600,80,8200,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-23,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,87.0,0.0,85.0,81.0,81.0,-6.0,2942400,245312200,122,57.1,81,409500,80,484200,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-22,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,84.0,0.0,89.0,83.0,87.0,3.0,3583400,304680600,136,61.3,87,16200,86,46500,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-21,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,82.0,0.0,84.0,83.0,84.0,2.0,1446300,121332800,80,59.2,84,274200,83,6200,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-20,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80.0,0.0,83.0,82.0,82.0,2.0,3075500,252330800,89,57.8,84,46400,82,253900,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-17,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,83.0,0.0,80.0,80.0,80.0,-3.0,1997500,159800000,103,56.4,81,300,80,469700,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-16,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,79.0,0.0,86.0,83.0,83.0,4.0,14906600,1279723900,268,58.5,83,53500,80,60000,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-15,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,72.0,0.0,79.0,79.0,79.0,7.0,887400,70104600,53,55.7,0,0,79,26163400,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-14,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,66.0,0.0,72.0,72.0,72.0,6.0,579700,41738400,40,50.8,0,0,72,27287700,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-13,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,60.0,0.0,66.0,65.0,66.0,6.0,690200,45285700,61,46.5,0,0,66,26153000,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,61.0,0.0,60.0,58.0,60.0,-1.0,1003900,59909900,94,42.3,61,36100,60,604900,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,62.0,0.0,62.0,61.0,61.0,-1.0,479700,29439300,73,43.0,61,11500,60,36000,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-08,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,63.0,0.0,64.0,62.0,62.0,-1.0,4174000,261534700,113,43.7,63,619300,62,46900,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-07,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,70.0,0.0,68.0,63.0,63.0,-7.0,3704700,235422600,140,44.4,65,100100,63,105200,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,71.0,0.0,71.0,70.0,70.0,-1.0,1223800,86569300,80,49.3,70,498000,69,3100,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,74.0,0.0,74.0,71.0,71.0,-3.0,616600,44820500,89,50.0,73,112500,71,504700,3343935022,3343935022,948005579,0,0,0,0,0
2026-04-01,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80.0,0.0,80.0,74.0,74.0,-6.0,1344000,102517800,70,52.2,77,14000,74,300900,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-31,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,78.0,0.0,82.0,72.0,80.0,2.0,1943400,147440000,123,56.4,80,1118100,79,50000,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-30,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,86.0,0.0,85.0,78.0,78.0,-8.0,6970700,544847900,154,55.0,79,52500,78,42400,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,85.0,0.0,86.0,77.0,86.0,1.0,1598600,131620700,81,60.6,86,480900,85,1210000,3343935022,3343935022,948005579,10000,10000,0,0,0
2026-03-26,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,84.0,0.0,85.0,85.0,85.0,1.0,791100,67243500,74,59.9,85,442800,84,11541900,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-25,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,77.0,0.0,84.0,80.0,84.0,7.0,1534400,125991800,88,59.2,84,1350100,83,885700,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-17,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,71.0,0.0,77.0,73.0,77.0,6.0,2143100,160322800,75,54.3,76,148400,74,153700,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-16,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,72.0,0.0,72.0,65.0,71.0,-1.0,6340300,425968700,163,50.0,72,76300,71,628400,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-13,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80.0,0.0,76.0,72.0,72.0,-8.0,2497400,183966300,115,50.8,75,640600,72,2100,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,81.0,0.0,81.0,78.0,80.0,-1.0,1015200,81910300,83,56.4,80,81900,79,150500,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-11,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,79.0,0.0,85.0,79.0,81.0,2.0,1663300,140077700,94,57.1,81,406800,80,13000,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80.0,0.0,82.0,75.0,79.0,-1.0,1899000,149471600,137,55.7,79,83500,78,172300,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,88.0,0.0,80.0,80.0,80.0,-8.0,4329000,346320000,106,56.4,80,1638500,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,90.0,0.0,89.0,86.0,88.0,-2.0,1013300,89388500,77,62.0,88,106900,86,708500,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,86.0,0.0,92.0,86.0,90.0,4.0,1690900,148467000,128,63.4,90,126700,86,666200,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-04,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,95.0,0.0,90.0,86.0,86.0,-9.0,2674000,231591300,180,60.6,87,39900,86,16198200,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-03,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,90.0,0.0,98.0,81.0,95.0,5.0,5940500,558188500,181,67.0,95,687700,91,1000,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,99.0,0.0,90.0,90.0,90.0,-9.0,4137200,372348000,195,63.4,90,1666100,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,96.0,0.0,100.0,93.0,99.0,3.0,2613100,255763600,126,69.8,99,272600,97,5000,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-26,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,96.0,0.0,99.0,96.0,96.0,0.0,2540400,248754400,160,67.7,98,641600,95,1300,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-25,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,93.0,0.0,97.0,95.0,96.0,3.0,2108500,202001800,134,67.7,97,70700,96,224700,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-24,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,103.0,0.0,98.0,93.0,93.0,-10.0,11363300,1073127900,358,65.6,96,12600,93,400,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-23,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,114.0,0.0,125.0,103.0,103.0,-11.0,7625400,849436200,294,72.6,110,500000,103,379600,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-20,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,115.0,110.0,114.0,-1.0,2437200,276727700,115,80.4,114,39000,113,51900,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-19,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,115.0,104.0,115.0,0.0,13589900,1479353500,285,81.1,115,533300,111,10000,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-18,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,112.0,0.0,119.0,111.0,115.0,3.0,6366400,721755800,202,81.1,115,541600,114,1431900,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-13,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,124.0,0.0,136.0,112.0,112.0,-12.0,8526400,979806400,340,79.0,112,1265100,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,113.0,0.0,124.0,124.0,124.0,11.0,1916000,237584000,84,87.4,0,0,124,62429500,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-11,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,103.0,0.0,113.0,113.0,113.0,10.0,547200,61833600,49,79.7,0,0,113,32492300,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,94.0,0.0,103.0,103.0,103.0,9.0,3190700,328642100,66,72.6,0,0,103,15126700,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,86.0,0.0,94.0,80.0,94.0,8.0,6008200,543797600,234,66.3,0,0,94,870500,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,86.0,0.0,86.0,86.0,86.0,0.0,2948500,253571000,178,60.6,86,1483200,84,6000,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,95.0,0.0,103.0,86.0,86.0,-9.0,11633900,1044314700,304,60.6,95,22100,86,1385500,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-04,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,103.0,0.0,113.0,93.0,95.0,-8.0,26897400,2845657800,390,67.0,98,3500,95,238200,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-03,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,114.0,0.0,103.0,103.0,103.0,-11.0,23453300,2415689900,371,72.6,113,2500,103,6527200,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,126.0,0.0,114.0,114.0,114.0,-12.0,2032500,231705000,139,80.4,114,7788900,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-30,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,140.0,0.0,154.0,126.0,126.0,-14.0,8856500,1257282600,348,88.8,150,1400,126,22003900,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-29,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,155.0,0.0,140.0,140.0,140.0,-15.0,3876200,542668000,182,98.7,140,7737000,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-28,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,172.0,0.0,155.0,155.0,155.0,-17.0,13331900,2066444500,262,109.3,155,17053000,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,157.0,0.0,172.0,172.0,172.0,15.0,3580400,615828800,162,121.2,0,0,172,36818000,3343935022,3343935022,948005579,0,0,145000,24940000,1
2026-01-26,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,143.0,0.0,157.0,157.0,157.0,14.0,4373100,686576700,183,110.7,0,0,157,44242200,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-23,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,132.0,0.0,143.0,119.0,143.0,11.0,50981200,6407386700,962,100.8,144,2100,143,14473400,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-22,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,146.0,0.0,132.0,132.0,132.0,-14.0,8067900,1064962800,186,93.0,132,24072500,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-21,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,162.0,0.0,146.0,146.0,146.0,-16.0,2535300,370153800,199,102.9,146,26092900,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-20,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,179.0,0.0,162.0,162.0,162.0,-17.0,5982600,969181200,338,114.2,162,24408900,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-19,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,198.0,0.0,179.0,179.0,179.0,-19.0,11152000,1996208000,370,126.2,179,26942000,0,0,3343935022,3343935022,948005579,0,2000000,0,0,0
2026-01-15,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,220.0,0.0,198.0,198.0,198.0,-22.0,27363200,5417913600,885,139.6,198,21085800,0,0,3343935022,3343935022,948005579,0,2000000,0,0,0
2026-01-14,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,200.0,0.0,220.0,220.0,220.0,20.0,7226200,1589764000,167,155.1,0,0,220,42277700,3343935022,3343935022,948005579,0,0,15204700,3060268000,3
2026-01-13,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,182.0,0.0,200.0,200.0,200.0,18.0,9019300,1803860000,109,141.0,0,0,200,42735400,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,166.0,0.0,182.0,182.0,182.0,16.0,1803800,328291600,100,128.3,0,0,182,44444500,3343935022,3343935022,948005579,0,0,377000,81320000,2
2026-01-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,151.0,0.0,166.0,166.0,166.0,15.0,1398500,232151000,94,117.0,0,0,166,50156200,3343935022,3343935022,948005579,0,0,0,0,0
2026-01-08,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,138.0,0.0,151.0,151.0,151.0,13.0,536000,80936000,83,106.4,0,0,151,58244400,3343935022,3343935022,948005579,0,0,215000,42400000,2
2026-01-07,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,126.0,0.0,138.0,138.0,138.0,12.0,932000,128616000,69,97.3,0,0,138,48964200,3343935022,3343935022,948005579,0,0,18000,2880000,1
2026-01-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,126.0,126.0,126.0,11.0,1243700,156706200,92,88.8,0,0,126,70341600,3343935022,3343935022,948005579,0,0,275700,37068500,3
2026-01-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,8400,1092000,1
2026-01-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,69400,11159000,3
2025-12-30,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,8391300,987423000,4
2025-12-29,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,296800,49520000,3
2025-12-24,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-23,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,12400,1488000,1
2025-12-22,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,414900,65169000,5
2025-12-19,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,100000,16000000,1
2025-12-18,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,140000,27850000,2
2025-12-17,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,8600,1634000,1
2025-12-16,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-15,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,115.0,0.0,0.0,0.0,115.0,0.0,0,0,0,81.1,0,0,0,0,3343935022,3343935022,948005579,0,0,3316700,381420500,1
2025-12-11,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,105.0,0.0,115.0,115.0,115.0,10.0,50576700,5816320500,988,81.1,0,0,115,7689200,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,105.0,0.0,0.0,0.0,105.0,0.0,0,0,0,74.0,0,0,0,0,3343935022,3343935022,948005579,0,0,37065500,3335895000,1
2025-12-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,96.0,0.0,105.0,105.0,105.0,9.0,24028900,2523034500,345,74.0,0,0,105,38694500,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-08,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,88.0,0.0,96.0,96.0,96.0,8.0,22001600,2112153600,240,67.7,0,0,96,26148800,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80.0,0.0,88.0,88.0,88.0,8.0,35991800,3167278400,401,62.0,0,0,88,11208700,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-04,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,73.0,0.0,80.0,80.0,80.0,7.0,26780300,2142424000,300,56.4,0,0,80,12608200,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-03,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,67.0,0.0,73.0,62.0,73.0,6.0,19133600,1327260300,517,51.5,0,0,73,1369500,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,74.0,0.0,76.0,67.0,67.0,-7.0,26333000,1873854300,655,47.2,67,6816800,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2025-12-01,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,74.0,0.0,81.0,74.0,74.0,0.0,24132000,1906310100,712,52.2,81,1194600,74,1877100,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-28,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,68.0,0.0,74.0,74.0,74.0,6.0,2162800,160047200,69,52.2,0,0,74,7222900,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,62.0,0.0,68.0,68.0,68.0,6.0,2175900,147961200,66,47.9,0,0,68,7694900,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-26,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,57.0,0.0,62.0,62.0,62.0,5.0,1077300,66792600,57,43.7,0,0,62,13224400,3343935022,3343935022,948005579,0,0,500000,37000000,1
2025-11-25,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,52.0,0.0,57.0,57.0,57.0,5.0,2611900,148878300,78,40.2,0,0,57,9581400,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-24,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,48.0,0.0,52.0,52.0,52.0,4.0,4185800,217661600,120,36.7,0,0,52,2702800,3343935022,3343935022,948005579,0,0,32335500,15165349500,1
2025-11-21,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,44.0,0.0,48.0,48.0,48.0,4.0,2700400,129619200,119,33.8,0,0,48,989500,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-20,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,40.0,0.0,44.0,44.0,44.0,4.0,1956000,86064000,124,31.0,0,0,44,87300,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-19,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,39.0,0.0,42.0,39.0,40.0,1.0,676400,26946300,66,28.2,41,5000,40,1234700,3343935022,3343935022,948005579,0,0,45,1890,1
2025-11-18,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,40.0,0.0,44.0,39.0,39.0,-1.0,901500,36880500,55,27.5,41,55500,39,1010600,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-17,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,42.0,0.0,41.0,40.0,40.0,-2.0,1016000,40750400,52,28.2,41,60300,40,978700,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-14,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,45.0,0.0,45.0,42.0,42.0,-3.0,2025300,90483000,59,29.6,42,4400,41,94500,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-13,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,44.0,0.0,48.0,45.0,45.0,1.0,1020600,47709300,105,31.7,45,1068600,44,620200,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,40.0,0.0,44.0,36.0,44.0,4.0,4151900,171724000,104,31.0,0,0,44,1461000,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-11,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,39.0,0.0,40.0,39.0,40.0,1.0,1370100,54529500,52,28.2,41,33400,40,6520900,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,38.0,0.0,39.0,39.0,39.0,1.0,1415600,55208400,65,27.5,39,20600,38,118000,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-07,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,38.0,0.0,38.0,38.0,38.0,0.0,447900,17020200,41,26.8,39,43500,38,408900,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,40.0,0.0,38.0,38.0,38.0,-2.0,609600,23164800,48,26.8,39,100,38,520200,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,39.0,0.0,42.0,39.0,40.0,1.0,776000,31087000,90,28.2,42,756000,40,107400,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-04,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,40.0,0.0,40.0,38.0,39.0,-1.0,655900,25529500,50,27.5,40,33100,39,1763200,3343935022,3343935022,948005579,0,0,0,0,0
2025-11-03,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,42.0,0.0,43.0,40.0,40.0,-2.0,1118300,46518300,52,28.2,42,3900,40,236600,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-31,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,43.0,0.0,43.0,42.0,42.0,-1.0,592900,25408300,42,29.6,43,1100500,42,45800,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-30,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,43.0,0.0,43.0,42.0,43.0,0.0,404900,17348500,29,30.3,43,196600,42,60900,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-29,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,42.0,0.0,43.0,41.0,43.0,1.0,754600,31527400,51,30.3,43,467000,42,8100,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-28,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,42.0,0.0,42.0,42.0,42.0,0.0,616000,25872000,24,29.6,43,30000,42,1470700,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,43.0,0.0,43.0,42.0,42.0,-1.0,681800,29260900,48,29.6,43,1506700,42,134500,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-24,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,41.0,0.0,44.0,43.0,43.0,2.0,1771300,77914100,51,30.3,43,726800,42,20500,3343935022,3343935022,948005579,0,0,0,0,0
2025-10-23,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,45.0,0.0,41.0,41.0,41.0,-4.0,1101100,45145100,69,28.9,42,5000,41,738200,3343935022,3343935022,948005579,0,0,0,0,0
