Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,INTD,Inter Delta Tbk,--UO2130000000B152------------,250.0,256.0,256.0,248.0,248.0,-2.0,23300,5830000,28,76.4,248,11200,246,200,591828000,591828000,66817381,0,0,0,0,0
2026-04-27,INTD,Inter Delta Tbk,--UO2130000000B152------------,262.0,0.0,262.0,246.0,250.0,-12.0,40900,10340400,63,77.0,250,4700,246,4000,591828000,591828000,66817381,0,0,0,0,0
2026-04-24,INTD,Inter Delta Tbk,--UO2130000000B152------------,264.0,264.0,274.0,242.0,262.0,-2.0,773700,206782400,122,80.7,262,5000,250,1100,591828000,591828000,66817381,0,0,0,0,0
2026-04-23,INTD,Inter Delta Tbk,--UO2130000000B152------------,264.0,272.0,278.0,252.0,264.0,0.0,101300,27493000,70,81.3,262,130000,256,4000,591828000,591828000,66817381,0,0,0,0,0
2026-04-22,INTD,Inter Delta Tbk,--UO2130000000B152------------,284.0,284.0,286.0,262.0,264.0,-20.0,399200,108206800,147,81.3,274,135200,262,8700,591828000,591828000,66817381,0,1000,0,0,0
2026-04-21,INTD,Inter Delta Tbk,--UO2130000000B152------------,274.0,0.0,292.0,274.0,284.0,10.0,71600,20199000,58,87.5,284,30000,276,100,591828000,591828000,66817381,0,0,0,0,0
2026-04-20,INTD,Inter Delta Tbk,--UO2130000000B152------------,282.0,0.0,296.0,274.0,274.0,-8.0,1109400,310942000,143,84.4,274,9700,272,12700,591828000,591828000,66817381,0,0,0,0,0
2026-04-17,INTD,Inter Delta Tbk,--UO2130000000B152------------,276.0,278.0,300.0,266.0,282.0,6.0,994800,279097800,184,86.8,282,27500,280,100,591828000,591828000,66817381,0,0,0,0,0
2026-04-16,INTD,Inter Delta Tbk,--UO2130000000B152------------,280.0,0.0,282.0,262.0,276.0,-4.0,936700,257003800,73,85.0,278,54900,276,700,591828000,591828000,66817381,0,0,0,0,0
2026-04-15,INTD,Inter Delta Tbk,--UO2130000000B152------------,272.0,272.0,284.0,262.0,280.0,8.0,1330600,365336200,104,86.2,280,68900,276,100,591828000,591828000,66817381,0,0,0,0,0
2026-04-14,INTD,Inter Delta Tbk,--UO2130000000B152------------,262.0,266.0,286.0,266.0,272.0,10.0,221000,60544400,99,83.8,276,6600,272,100,591828000,591828000,66817381,0,0,0,0,0
