Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2330.0,2380.0,2380.0,2190.0,2210.0,-120.0,415200,927196000,286,636.0,2300,100,2210,7600,999053167,999053167,224187531,138600,154300,0,0,0
2026-03-13,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2400.0,2390.0,2420.0,2300.0,2330.0,-70.0,444900,1052070000,275,670.5,2330,500,2320,400,999053167,999053167,224187531,201200,166300,0,0,0
2026-03-12,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2600.0,2600.0,2600.0,2400.0,2400.0,-200.0,469100,1159001000,449,690.6,2430,13900,2400,14500,999053167,999053167,224187531,293300,91300,10850000,24290000000,2
2026-03-11,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2700.0,2700.0,2800.0,2570.0,2600.0,-100.0,479300,1284233000,412,748.2,2640,1700,2600,300,999053167,999053167,224187531,266800,210000,0,0,0
2026-03-10,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2540.0,2570.0,2700.0,2550.0,2700.0,160.0,931800,2436031000,379,777.0,2710,100,2700,131300,999053167,999053167,224187531,181000,410000,0,0,0
2026-03-09,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2570.0,2570.0,2730.0,2460.0,2540.0,-30.0,11472700,30898624000,708,730.9,2580,5700,2540,2100,999053167,999053167,224187531,359200,10672500,1850000,5013500000,1
2026-03-06,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2550.0,2550.0,2710.0,2380.0,2570.0,20.0,29873000,76795868000,1006,739.6,2570,47100,2540,500,999053167,999053167,224187531,15747900,16405300,0,0,0
2026-03-05,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2630.0,2630.0,2700.0,2400.0,2550.0,-80.0,28431300,72490036000,1850,733.8,2550,36800,2520,9900,999053167,999053167,224187531,13911400,13651800,0,0,0
2026-03-04,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2350.0,2390.0,2750.0,2170.0,2630.0,280.0,36542800,87526798000,1689,756.8,2640,3300,2630,146000,999053167,999053167,224187531,2326300,579900,0,0,0
2026-03-03,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2450.0,2400.0,2460.0,2350.0,2350.0,-100.0,238200,571650000,196,676.3,2400,10300,2350,55900,999053167,999053167,224187531,84900,50000,0,0,0
2026-03-02,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2470.0,2450.0,2500.0,2380.0,2450.0,-20.0,518800,1260360000,319,705.0,2450,28800,2400,100,999053167,999053167,224187531,187300,237400,0,0,0
2026-02-27,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2530.0,2490.0,2540.0,2410.0,2470.0,-60.0,8317300,20511001000,325,710.8,2500,1000,2450,1900,999053167,999053167,224187531,1386500,2544500,0,0,0
2026-02-26,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2490.0,2510.0,2610.0,2410.0,2530.0,40.0,7222800,18384854000,445,728.1,2530,38100,2510,600,999053167,999053167,224187531,121000,477200,0,0,0
2026-02-25,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2590.0,2650.0,2650.0,2440.0,2490.0,-100.0,11274900,28216026000,592,716.5,2490,7500,2480,200,999053167,999053167,224187531,5588100,229400,0,0,0
2026-02-24,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2780.0,2830.0,2830.0,2580.0,2590.0,-190.0,950600,2521088000,825,745.3,2600,300,2590,3400,999053167,999053167,224187531,486300,148200,0,0,0
2026-02-23,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2480.0,2500.0,2920.0,2410.0,2780.0,300.0,11293900,31909690000,1204,800.0,2790,100,2740,900,999053167,999053167,224187531,5319100,606100,0,0,0
2026-02-20,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2410.0,2420.0,2540.0,2350.0,2480.0,70.0,7399500,18174843000,582,713.7,2480,6800,2470,8400,999053167,999053167,224187531,53100,827600,0,0,0
2026-02-19,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2230.0,2250.0,2440.0,2200.0,2410.0,180.0,1214200,2830625000,589,693.5,2410,17900,2390,100,999053167,999053167,224187531,161300,580700,0,0,0
2026-02-18,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2120.0,2120.0,2270.0,2020.0,2230.0,110.0,1360000,2926802000,646,641.7,2260,1100,2230,14800,999053167,999053167,224187531,291300,419600,0,0,0
2026-02-13,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2170.0,2190.0,2270.0,2100.0,2120.0,-50.0,2729600,5898401000,506,610.1,2150,105800,2120,22800,999053167,999053167,224187531,475500,874600,0,0,0
2026-02-12,ITMA,Sumber Energi Andalan Tbk.,--UO2135000000A132------------,2320.0,2330.0,2390.0,2170.0,2170.0,-150.0,13886400,32873480000,733,624.5,2220,3300,2170,11000,999053167,999053167,224187531,895500,6732500,0,0,0
