Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-07,ITMG,Indo Tambangraya Megah Tbk.,XDMO1H3EU63200A121------------,26175.0,26100.0,26250.0,25450.0,25500.0,-675.0,1914500,49304877500,5095,182.1,25500,600,25475,8600,1129925000,1129925000,377507943,385400,771400,0,0,0
2026-05-06,ITMG,Indo Tambangraya Megah Tbk.,XDMO1H3EU63200A121------------,26850.0,26850.0,26875.0,25925.0,26175.0,-675.0,1875300,49175990000,3951,187.0,26175,54000,26125,7700,1129925000,1129925000,377507943,891600,491800,0,0,0
2026-05-05,ITMG,Indo Tambangraya Megah Tbk.,XDMO1H3EU63200A121------------,26800.0,27000.0,27050.0,26800.0,26850.0,50.0,2074600,55868592500,4072,191.8,26900,200,26850,8300,1129925000,1129925000,377507943,925800,991500,569800,15344714000,1
2026-05-04,ITMG,Indo Tambangraya Megah Tbk.,XDMO1H3EU63200A121------------,26650.0,26650.0,26800.0,26325.0,26800.0,150.0,2025800,53983625000,5305,191.4,26800,40000,26775,300,1129925000,1129925000,377507943,810400,1107400,557093,14844808244,3
2026-04-30,ITMG,Indo Tambangraya Megah Tbk.,XDMO1H3EU63200A121------------,26200.0,26175.0,26675.0,25650.0,26650.0,450.0,3761700,98884602500,6414,190.4,26650,10100,26575,8800,1129925000,1129925000,377507943,1745100,2400200,42,1100262,2
2026-04-29,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,25475.0,25475.0,26225.0,25475.0,26200.0,725.0,2182700,56935172500,4586,187.1,26200,1400,26175,2300,1129925000,1129925000,377507943,426200,1458100,0,0,0
2026-04-28,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,25450.0,24900.0,25600.0,24600.0,25475.0,25.0,2374700,59969137500,3809,182.0,25475,25800,25450,15300,1129925000,1129925000,377507943,481800,1604600,0,0,0
2026-04-27,ITMG,Indo Tambangraya Megah Tbk.,CDMO1H3EU63200A121------------,26400.0,26450.0,26525.0,25350.0,25450.0,-950.0,3652200,94140370000,7474,181.8,25450,2900,25425,7700,1129925000,1129925000,377507943,1391000,627200,2000,51800000,1
2026-04-24,ITMG,Indo Tambangraya Megah Tbk.,CDMO1H3EU63200A121------------,26750.0,26800.0,26850.0,26325.0,26400.0,-350.0,2039600,54018005000,3356,188.6,26425,5700,26400,1600,1129925000,1129925000,377507943,628300,1000600,1000,26725000,1
2026-04-23,ITMG,Indo Tambangraya Megah Tbk.,CDMO1H3EU63200A121------------,26800.0,27000.0,27050.0,26575.0,26750.0,-50.0,1484900,39731785000,2272,191.1,26750,52500,26700,10900,1129925000,1129925000,377507943,499000,520500,100,2670825,2
2026-04-22,ITMG,Indo Tambangraya Megah Tbk.,CDMO1H3EU63200A121------------,26250.0,26450.0,27150.0,26425.0,26800.0,550.0,1726600,46411422500,2840,191.4,26825,100,26800,90300,1129925000,1129925000,377507943,292700,686700,0,0,0
2026-04-21,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26075.0,26075.0,26550.0,25775.0,26250.0,175.0,2223100,58268245000,3658,187.5,26300,100,26250,59600,1129925000,1129925000,377507943,935800,1039400,55,1434125,1
2026-04-20,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26575.0,26550.0,26550.0,25850.0,26075.0,-500.0,3747600,97710992500,5905,186.3,26100,400,26075,4600,1129925000,1129925000,377507943,946800,1105600,93,2424975,1
2026-04-17,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26825.0,26825.0,27175.0,26500.0,26575.0,-250.0,2272800,60817492500,4388,189.8,26600,31600,26575,64900,1129925000,1129925000,377507943,507500,544400,0,0,0
2026-04-16,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27425.0,27600.0,27600.0,26800.0,26825.0,-600.0,3156200,85201795000,6641,191.6,26850,100,26825,88900,1129925000,1129925000,377507943,1979100,1036200,52,1418300,1
2026-04-15,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27250.0,27250.0,27700.0,27100.0,27425.0,175.0,2475400,67720190000,4061,195.9,27425,10500,27400,400,1129925000,1129925000,377507943,949200,763300,0,0,0
2026-04-14,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26650.0,26950.0,27375.0,26675.0,27250.0,600.0,1980700,53622257500,3830,194.6,27275,3400,27250,275800,1129925000,1129925000,377507943,467800,1056300,0,0,0
2026-04-13,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27000.0,27250.0,27500.0,26650.0,26650.0,-350.0,3088700,83199827500,4667,190.4,26875,800,26650,100500,1129925000,1129925000,377507943,2103000,1490600,100,2666800,2
2026-04-10,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27125.0,27125.0,27150.0,26775.0,27000.0,-125.0,1683900,45414497500,3612,192.9,27025,4200,27000,15600,1129925000,1129925000,377507943,851500,571300,12,324900,1
2026-04-09,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26175.0,26250.0,27175.0,26250.0,27125.0,950.0,4225300,114058777500,6793,193.8,27125,17000,27100,500,1129925000,1129925000,377507943,2060100,2847500,0,0,0
2026-04-08,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26650.0,26100.0,26450.0,25025.0,26175.0,-475.0,5005100,129922722500,7728,187.0,26175,30700,26150,4100,1129925000,1129925000,377507943,2088300,2964400,265000,6008875000,1
2026-04-07,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,26650.0,27300.0,27300.0,26150.0,26650.0,0.0,2693900,71641152500,5734,190.4,26650,55700,26600,100,1129925000,1129925000,377507943,1211900,931400,95,2531750,1
2026-04-06,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27325.0,27900.0,27900.0,26600.0,26650.0,-675.0,3313300,89895087500,5161,190.4,26800,17600,26650,20500,1129925000,1129925000,377507943,764100,1052700,0,0,0
2026-04-02,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,27775.0,27500.0,28200.0,27050.0,27325.0,-450.0,7979300,220114525000,11420,195.2,27350,100,27325,13400,1129925000,1129925000,377507943,2355900,3472700,500,14037500,1
2026-04-01,ITMG,Indo Tambangraya Megah Tbk.,--MO1H3EU63200A121------------,29725.0,29150.0,29400.0,27650.0,27775.0,-1950.0,7678700,217389610000,13279,198.4,27775,24300,27750,85100,1129925000,1129925000,377507943,3534200,1427800,115,3292125,2
