Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,98.0,98.0,100.0,95.0,98.0,0.0,7213300,701973700,2025,39.8,99,201300,98,250000,1082575738,1082575738,381174917,862400,202700,0,0,0
2026-03-11,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,100.0,100.0,102.0,97.0,98.0,-2.0,8602800,854363300,866,39.8,98,267300,97,50100,1082575738,1082575738,381174917,3468600,144900,0,0,0
2026-03-10,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,98.0,99.0,103.0,97.0,100.0,2.0,6241400,623428900,546,40.7,100,568300,99,614500,1082575738,1082575738,381174917,1691800,15200,0,0,0
2026-03-09,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,101.0,98.0,100.0,95.0,98.0,-3.0,12798100,1242332700,658,39.8,99,51900,98,345500,1082575738,1082575738,381174917,1069100,1939500,0,0,0
2026-03-06,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,103.0,103.0,105.0,100.0,101.0,-2.0,6169900,624094000,517,41.1,102,324700,101,140100,1082575738,1082575738,381174917,1130400,458300,0,0,0
2026-03-05,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,102.0,102.0,107.0,102.0,103.0,1.0,11475100,1198715900,663,41.9,105,175200,103,1966000,1082575738,1082575738,381174917,680000,3190300,0,0,0
2026-03-04,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,109.0,109.0,110.0,100.0,102.0,-7.0,17642900,1826334300,1153,41.5,102,10000,101,260500,1082575738,1082575738,381174917,885300,4323800,0,0,0
2026-03-03,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,100.0,100.0,110.0,99.0,109.0,9.0,29902300,3173891100,1705,44.3,109,14100,108,59400,1082575738,1082575738,381174917,5357700,18850500,0,0,0
2026-03-02,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,105.0,100.0,105.0,95.0,100.0,-5.0,24608700,2466421700,1343,40.7,101,60200,100,1065200,1082575738,1082575738,381174917,199100,6171700,0,0,0
2026-02-27,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,106.0,105.0,116.0,102.0,105.0,-1.0,42436400,4630012300,2878,42.7,106,24500,105,1059800,1082575738,1082575738,381174917,4128800,3580800,0,0,0
2026-02-26,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,107.0,108.0,109.0,103.0,106.0,-1.0,22301700,2356644100,1628,43.1,107,47800,106,2059400,1082575738,1082575738,381174917,1559600,3181700,0,0,0
2026-02-25,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,107.0,108.0,110.0,106.0,107.0,0.0,14875700,1601085300,1573,43.5,108,759600,107,15000,1082575738,1082575738,381174917,644400,1207600,0,0,0
2026-02-24,JAST,Jasnita Telekomindo Tbk.,--UO2130000000J311------------,114.0,114.0,117.0,105.0,107.0,-7.0,45450100,4996992300,4068,43.5,108,78100,107,1864900,1082575738,1082575738,381174917,3334400,5663900,0,0,0
