Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,70.0,69.0,70.0,66.0,68.0,-2.0,6042600,408556100,326,56.3,69,26600,68,87700,16308519860,16308519860,4638143048,176500,897300,0,0,0
2026-03-13,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,71.0,71.0,71.0,69.0,70.0,-1.0,2563100,178192100,254,57.9,70,509000,69,834800,16308519860,16308519860,4638143048,22800,12500,0,0,0
2026-03-12,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,71.0,72.0,72.0,70.0,71.0,0.0,1864200,131877100,158,58.8,71,605000,70,936600,16308519860,16308519860,4638143048,298600,6400,0,0,0
2026-03-11,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,72.0,72.0,73.0,71.0,71.0,-1.0,1243900,89500000,188,58.8,72,648200,71,956000,16308519860,16308519860,4638143048,19300,642800,0,0,0
2026-03-10,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,69.0,70.0,72.0,70.0,72.0,3.0,2455300,173774800,220,59.6,72,552700,71,3500,16308519860,16308519860,4638143048,90700,3000,0,0,0
2026-03-09,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,75.0,74.0,75.0,68.0,69.0,-6.0,14474700,1016002400,838,57.1,70,45000,69,35100,16308519860,16308519860,4638143048,1691000,926300,0,0,0
2026-03-06,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,75.0,75.0,76.0,73.0,75.0,0.0,6199700,460340000,329,62.1,75,651400,74,3030000,16308519860,16308519860,4638143048,27900,560600,0,0,0
2026-03-05,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,73.0,74.0,76.0,74.0,75.0,2.0,2016500,151344000,223,62.1,76,579700,75,2210600,16308519860,16308519860,4638143048,8500,294800,0,0,0
2026-03-04,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,75.0,75.0,75.0,72.0,73.0,-2.0,11409600,836973100,491,60.4,74,324500,73,2096700,16308519860,16308519860,4638143048,1098800,1761400,0,0,0
2026-03-03,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,77.0,76.0,79.0,70.0,75.0,-2.0,16479100,1233066100,818,62.1,75,1077700,74,727000,16308519860,16308519860,4638143048,407400,1299400,0,0,0
2026-03-02,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,80.0,77.0,78.0,76.0,77.0,-3.0,10923500,841432200,534,63.7,77,4583200,76,2735500,16308519860,16308519860,4638143048,231800,223100,0,0,0
2026-02-27,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,80.0,80.0,80.0,78.0,80.0,0.0,4841000,381625400,403,66.2,80,1608800,79,586500,16308519860,16308519860,4638143048,224300,154200,0,0,0
2026-02-26,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,82.0,83.0,83.0,78.0,80.0,-2.0,10701400,857242200,629,66.2,81,1444700,80,1873200,16308519860,16308519860,4638143048,955700,183900,0,0,0
2026-02-25,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,82.0,83.0,84.0,82.0,82.0,0.0,6431400,533882500,370,67.9,83,725900,82,503500,16308519860,16308519860,4638143048,146200,9500,0,0,0
2026-02-24,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,81.0,81.0,84.0,80.0,82.0,1.0,24019800,1977013100,874,67.9,83,784700,82,124300,16308519860,16308519860,4638143048,1745500,43800,0,0,0
2026-02-23,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,81.0,81.0,81.0,79.0,81.0,0.0,6299200,504522200,416,67.0,81,1202500,80,886200,16308519860,16308519860,4638143048,70200,21000,0,0,0
2026-02-20,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,82.0,82.0,82.0,80.0,81.0,-1.0,4478300,362814800,283,67.0,82,4699200,81,286300,16308519860,16308519860,4638143048,203100,16500,0,0,0
2026-02-19,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,81.0,81.0,82.0,80.0,82.0,1.0,4173700,338284900,267,67.9,82,1493900,81,107000,16308519860,16308519860,4638143048,36500,35800,0,0,0
2026-02-18,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,81.0,81.0,82.0,80.0,81.0,0.0,4868000,392310600,403,67.0,82,1092400,81,46900,16308519860,16308519860,4638143048,20000,1484600,0,0,0
2026-02-13,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,83.0,83.0,83.0,81.0,81.0,-2.0,5672900,464391400,349,67.0,82,31300,81,1605200,16308519860,16308519860,4638143048,2059900,21800,0,0,0
2026-02-12,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,82.0,82.0,84.0,81.0,83.0,1.0,5633800,464402400,546,68.7,83,113100,82,614800,16308519860,16308519860,4638143048,199400,215400,0,0,0
2026-02-11,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,80.0,81.0,82.0,79.0,82.0,2.0,6334400,512385400,448,67.9,82,832300,81,333400,16308519860,16308519860,4638143048,60500,2014000,0,0,0
2026-02-10,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,80.0,79.0,81.0,79.0,80.0,0.0,7438900,595506500,372,66.2,81,1269700,79,1289600,16308519860,16308519860,4638143048,93300,2370300,0,0,0
2026-02-09,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,79.0,79.0,81.0,77.0,80.0,1.0,5489600,434597600,411,66.2,80,1789400,79,9127900,16308519860,16308519860,4638143048,833000,81400,0,0,0
2026-02-06,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,80.0,79.0,81.0,77.0,79.0,-1.0,8787600,691984200,522,65.4,80,1560100,78,1275800,16308519860,16308519860,4638143048,2357600,3163800,0,0,0
2026-02-05,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,78.0,79.0,81.0,77.0,80.0,2.0,10098400,797616000,732,66.2,81,1203500,80,1704100,16308519860,16308519860,4638143048,154500,3021200,0,0,0
2026-02-04,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,79.0,79.0,79.0,76.0,78.0,-1.0,6174700,478928700,451,64.6,79,383700,78,1500,16308519860,16308519860,4638143048,280800,84600,0,0,0
2026-02-03,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,76.0,77.0,79.0,75.0,79.0,3.0,10196900,787851000,699,65.4,79,167200,78,49400,16308519860,16308519860,4638143048,179500,2015200,0,0,0
2026-02-02,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,79.0,80.0,81.0,75.0,76.0,-3.0,22971700,1763804400,857,62.9,78,2270500,76,1251400,16308519860,16308519860,4638143048,163200,5284100,0,0,0
2026-01-30,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--MO1135050000J211------------,78.0,79.0,84.0,76.0,79.0,1.0,103510500,8272897900,1842,65.4,80,1915100,79,582200,16308519860,16308519860,4638143048,5822800,4768300,0,0,0
