Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-31,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,575.0,575.0,620.0,575.0,600.0,25.0,6770300,4067738500,1065,5322.5,600,653700,595,107400,6852050000,6852050000,1427282015,573900,874800,0,0,0
2026-03-27,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,580.0,580.0,585.0,565.0,575.0,-5.0,566600,326338500,95,5100.7,575,109900,570,2800,6852050000,6852050000,1427282015,211200,3200,0,0,0
2026-03-26,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,560.0,560.0,580.0,560.0,580.0,20.0,1011600,575717500,247,5145.0,580,276100,570,63000,6852050000,6852050000,1427282015,95500,17600,0,0,0
2026-03-25,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,575.0,570.0,585.0,560.0,560.0,-15.0,2296800,1309059500,263,4967.6,580,2000,560,3000,6852050000,6852050000,1427282015,1508300,291400,0,0,0
2026-03-17,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,565.0,565.0,575.0,560.0,575.0,10.0,615400,349622500,171,5100.7,575,77400,570,2500,6852050000,6852050000,1427282015,136300,26900,0,0,0
2026-03-16,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,580.0,575.0,580.0,565.0,565.0,-15.0,471200,269375000,103,5012.0,565,57500,560,118700,6852050000,6852050000,1427282015,169400,72600,0,0,0
2026-03-13,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,590.0,590.0,590.0,570.0,580.0,-10.0,552100,321718500,108,5145.0,580,41600,575,23300,6852050000,6852050000,1427282015,198300,4000,0,0,0
2026-03-12,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,590.0,590.0,590.0,575.0,590.0,0.0,664400,389024000,125,5233.7,590,119600,575,107500,6852050000,6852050000,1427282015,197400,13200,0,0,0
2026-03-11,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,580.0,580.0,590.0,570.0,590.0,10.0,1203700,697519500,176,5233.7,590,61800,580,41000,6852050000,6852050000,1427282015,176500,163600,0,0,0
2026-03-10,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,570.0,570.0,585.0,570.0,580.0,10.0,1004800,578563500,204,5145.0,580,58200,570,79400,6852050000,6852050000,1427282015,293000,158600,0,0,0
2026-03-09,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,580.0,580.0,580.0,555.0,570.0,-10.0,1397400,789746000,205,5056.3,570,82900,560,1000,6852050000,6852050000,1427282015,427300,200800,0,0,0
2026-03-06,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,590.0,590.0,600.0,570.0,580.0,-10.0,2438300,1415812000,275,5145.0,580,244800,570,213400,6852050000,6852050000,1427282015,620100,347900,0,0,0
2026-03-05,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,585.0,0.0,600.0,580.0,590.0,5.0,5736700,3344208000,398,5233.7,590,229900,585,34400,6852050000,6852050000,1427282015,647000,459800,0,0,0
2026-03-04,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,595.0,595.0,595.0,565.0,585.0,-10.0,4558300,2608267500,183,5189.4,585,265400,570,56600,6852050000,6852050000,1427282015,857300,363400,0,0,0
2026-03-03,JTPE,Jasuindo Tiga Perkasa Tbk.,--MO1135000000C221------------,570.0,570.0,595.0,560.0,595.0,25.0,5848800,3333196500,426,5278.1,595,334200,590,250000,6852050000,6852050000,1427282015,1452100,338000,0,0,0
