Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-15,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,885.0,895.0,905.0,865.0,875.0,-10.0,9180300,8116209000,1160,221.0,875,193900,870,26400,3666312500,3651279900,622539863,1402700,424200,0,0,0
2026-04-14,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,845.0,850.0,885.0,850.0,885.0,40.0,12543400,10762220500,1080,223.5,890,54600,880,106100,3666312500,3651279900,622539863,725200,815600,0,0,0
2026-04-13,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,845.0,850.0,850.0,825.0,845.0,0.0,8531900,7156448000,771,213.4,845,138200,840,24800,3666312500,3651279900,622539863,394000,245000,0,0,0
2026-04-10,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,840.0,840.0,850.0,840.0,845.0,5.0,10064100,8517425000,1034,213.4,845,1000,840,67300,3666312500,3651279900,622539863,484400,383800,0,0,0
2026-04-09,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,860.0,860.0,860.0,830.0,840.0,-20.0,9827400,8238884000,759,212.1,850,10800,835,39500,3666312500,3651279900,622539863,1074300,205600,0,0,0
2026-04-08,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,825.0,825.0,865.0,825.0,860.0,35.0,3963700,3364155500,527,217.2,860,6900,855,166300,3666312500,3651279900,622539863,80100,1105800,0,0,0
2026-04-07,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,845.0,845.0,860.0,825.0,825.0,-20.0,15802300,13336923500,847,208.3,825,12500,820,26500,3666312500,3651279900,622539863,418300,632000,0,0,0
2026-04-06,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,855.0,855.0,855.0,845.0,845.0,-10.0,1603700,1359068500,392,213.4,850,400,845,400,3666312500,3651279900,622539863,363400,346100,0,0,0
2026-04-02,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,885.0,885.0,890.0,845.0,855.0,-30.0,17213400,14705549000,762,215.9,855,26900,850,83400,3666312500,3651279900,622539863,3946700,78000,0,0,0
2026-04-01,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,875.0,875.0,890.0,870.0,885.0,10.0,6653600,5871102500,650,223.5,890,164900,880,35200,3666312500,3651279900,622539863,158800,704300,0,0,0
2026-03-31,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,870.0,870.0,890.0,870.0,875.0,5.0,15893300,13947837500,580,221.0,875,77400,870,33300,3666312500,3651279900,622539863,615300,397700,0,0,0
2026-03-30,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,880.0,880.0,880.0,855.0,870.0,-10.0,9638900,8402908000,968,219.7,870,20200,865,276900,3666312500,3651279900,622539863,593600,346800,0,0,0
2026-03-27,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,875.0,880.0,885.0,855.0,880.0,5.0,13563100,11856076500,393,222.2,880,22500,875,64300,3666312500,3651279900,622539863,795500,401900,0,0,0
2026-03-26,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,895.0,900.0,905.0,870.0,875.0,-20.0,4113400,3674460000,662,221.0,875,57600,870,322700,3666312500,3651279900,622539863,755500,216800,0,0,0
2026-03-25,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,840.0,840.0,895.0,830.0,895.0,55.0,18521700,16151262500,981,226.0,895,10100,890,600,3666312500,3651279900,622539863,501100,1856500,0,0,0
2026-03-17,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,840.0,840.0,855.0,830.0,840.0,0.0,4190100,3507991500,582,212.1,840,51700,835,500,3666312500,3651279900,622539863,306000,705000,0,0,0
2026-03-16,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,880.0,880.0,885.0,820.0,840.0,-40.0,18051000,15211324500,846,212.1,840,204900,835,500,3666312500,3651279900,622539863,1185800,2223400,0,0,0
2026-03-13,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,890.0,890.0,920.0,870.0,880.0,-10.0,6862000,6080434000,720,222.2,880,823200,875,162300,3666312500,3651279900,622539863,1222600,590200,0,0,0
2026-03-12,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,880.0,885.0,905.0,870.0,890.0,10.0,15028500,13315807000,854,224.7,900,42900,890,1500,3666312500,3651279900,622539863,628100,1066200,0,0,0
2026-03-11,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,910.0,915.0,920.0,875.0,880.0,-30.0,6430800,5740596000,1079,222.2,885,6800,880,60300,3666312500,3651279900,622539863,691500,330000,0,0,0
2026-03-10,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,880.0,885.0,910.0,885.0,910.0,30.0,7661500,6883386000,869,229.8,910,266300,900,58500,3666312500,3651279900,622539863,438000,801000,0,0,0
2026-03-09,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,965.0,945.0,950.0,855.0,880.0,-85.0,20250300,18003137500,1753,222.2,880,21700,875,32000,3666312500,3651279900,622539863,1453500,5252900,0,0,0
2026-03-06,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1005.0,1005.0,1015.0,965.0,965.0,-40.0,4315300,4258425000,1041,243.7,970,93000,965,200,3666312500,3651279900,622539863,1283300,554400,0,0,0
2026-03-05,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1000.0,995.0,1015.0,995.0,1005.0,5.0,11937900,11970665500,1046,253.8,1005,19400,1000,1300,3666312500,3651279900,622539863,301300,806900,0,0,0
2026-03-04,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1010.0,1010.0,1020.0,985.0,1000.0,-10.0,8102300,8123888500,1079,252.5,1000,12100,995,19200,3666312500,3651279900,622539863,1813100,1926500,0,0,0
2026-03-03,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1015.0,1015.0,1030.0,1005.0,1010.0,-5.0,10079000,10191861000,788,255.1,1015,37500,1010,300,3666312500,3651279900,622539863,680000,1090800,0,0,0
2026-03-02,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1065.0,1060.0,1060.0,1010.0,1015.0,-50.0,8573400,8833904500,1383,256.3,1020,246900,1015,38100,3666312500,3651279900,622539863,785500,869000,0,0,0
2026-02-27,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1065.0,1065.0,1070.0,1045.0,1065.0,0.0,7831200,8208365500,727,268.9,1065,23000,1060,1200,3666312500,3651279900,622539863,563100,646300,0,0,0
2026-02-26,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1080.0,1085.0,1095.0,1055.0,1065.0,-15.0,6702100,7186440000,1042,268.9,1065,200900,1060,1000,3666312500,3651279900,622539863,582800,569000,0,0,0
2026-02-25,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1075.0,1075.0,1095.0,1075.0,1080.0,5.0,11131600,12049617000,1432,272.7,1080,20000,1075,42800,3666312500,3651279900,622539863,308100,201000,0,0,0
2026-02-24,KEEN,Kencana Energi Lestari Tbk.,--MO1135000000J411------------,1100.0,1105.0,1115.0,1065.0,1075.0,-25.0,6400300,6991839500,1281,271.5,1075,439300,1070,58000,3666312500,3651279900,622539863,1089900,401800,0,0,0
