Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,545.0,565.0,565.0,505.0,535.0,-10.0,288300,152116000,287,266.7,540,5100,535,8500,5624999999,5624999999,581625000,7600,1800,0,0,0
2026-03-13,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,525.0,0.0,605.0,525.0,545.0,20.0,718200,402742500,390,271.7,545,2200,540,9200,5624999999,5624999999,581625000,172400,1300,0,0,0
2026-03-12,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,550.0,550.0,550.0,525.0,525.0,-25.0,452800,241049000,1760,261.7,535,1100,525,100800,5624999999,5624999999,581625000,2300,700,0,0,0
2026-03-11,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,535.0,0.0,550.0,535.0,550.0,15.0,50700,27407500,34,274.2,550,35000,545,14400,5624999999,5624999999,581625000,300,0,0,0,0
2026-03-10,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,535.0,535.0,550.0,535.0,535.0,0.0,66300,35618000,48,266.7,540,25000,535,55500,5624999999,5624999999,581625000,0,0,0,0,0
2026-03-09,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,555.0,555.0,555.0,525.0,535.0,-20.0,141400,75369500,126,266.7,540,42200,535,3700,5624999999,5624999999,581625000,4000,600,0,0,0
2026-03-06,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,555.0,550.0,560.0,535.0,555.0,0.0,233800,127952500,94,276.6,560,3800,555,43300,5624999999,5624999999,581625000,19900,17800,0,0,0
2026-03-05,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,550.0,550.0,560.0,515.0,555.0,5.0,145200,78455500,111,276.6,560,66200,555,11600,5624999999,5624999999,581625000,1700,900,0,0,0
2026-03-04,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,560.0,560.0,565.0,500.0,550.0,-10.0,1876100,997061000,358,274.2,550,245500,545,26100,5624999999,5624999999,581625000,13100,299700,0,0,0
2026-03-03,KEJU,Mulia Boga Raya Tbk.,--MO1135000000D221------------,570.0,0.0,580.0,550.0,560.0,-10.0,555100,311802000,206,279.1,565,9800,560,11500,5624999999,5624999999,581625000,700,142100,0,0,0
