Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-02,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,615.0,0.0,630.0,600.0,610.0,-5.0,37200,22779500,28,203.3,615,6700,610,20900,800000000,800000000,130560000,1800,0,0,0,0
2026-04-01,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,585.0,0.0,625.0,590.0,615.0,30.0,193900,118165000,68,205.0,615,8000,600,20900,800000000,800000000,130560000,2000,0,0,0,0
2026-03-31,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,0.0,595.0,585.0,585.0,-15.0,40400,23803000,38,195.0,590,47100,585,31100,800000000,800000000,147840000,0,0,0,0,0
2026-03-30,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,595.0,0.0,600.0,590.0,600.0,5.0,49400,29363500,36,200.0,600,72500,595,7200,800000000,800000000,147840000,0,0,0,0,0
2026-03-27,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,595.0,600.0,590.0,595.0,-5.0,79500,47139500,46,198.3,595,300,590,34900,800000000,800000000,147840000,0,0,0,0,0
2026-03-26,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,605.0,605.0,625.0,600.0,600.0,-5.0,111500,67127000,38,200.0,600,30700,595,8400,800000000,800000000,147840000,0,0,0,0,0
2026-03-25,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,630.0,0.0,630.0,595.0,605.0,-25.0,98500,59363000,59,201.7,610,2000,605,7400,800000000,800000000,147840000,200,0,0,0,0
2026-03-17,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,0.0,630.0,600.0,630.0,30.0,139200,87010000,32,210.0,630,35700,610,11500,800000000,800000000,147840000,0,0,0,0,0
2026-03-16,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,610.0,600.0,620.0,590.0,600.0,-10.0,62500,38199000,47,200.0,620,20000,600,19800,800000000,800000000,147840000,0,0,0,0,0
2026-03-13,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,620.0,625.0,625.0,605.0,610.0,-10.0,134300,81930500,37,203.3,610,4700,600,43000,800000000,800000000,147840000,14200,8500,0,0,0
2026-03-12,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,615.0,0.0,625.0,615.0,620.0,5.0,40200,24893000,24,206.7,625,5400,620,16300,800000000,800000000,147840000,0,0,0,0,0
2026-03-11,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,610.0,610.0,635.0,610.0,615.0,5.0,75700,47300000,44,205.0,615,10900,610,9000,800000000,800000000,147840000,0,0,0,0,0
2026-03-10,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,605.0,0.0,610.0,605.0,610.0,5.0,26300,16042500,20,203.3,610,2600,605,9100,800000000,800000000,147840000,0,0,0,0,0
2026-03-09,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,610.0,595.0,610.0,585.0,605.0,-5.0,250600,149635500,66,201.7,605,20300,595,4600,800000000,800000000,147840000,28300,37600,0,0,0
2026-03-06,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,615.0,0.0,615.0,600.0,610.0,-5.0,191500,115695000,42,203.3,610,1500,600,81800,800000000,800000000,147840000,29100,0,0,0,0
2026-03-05,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,605.0,0.0,620.0,605.0,615.0,10.0,16500,10185000,26,205.0,615,17100,610,1500,800000000,800000000,147840000,0,0,0,0,0
2026-03-04,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,615.0,0.0,620.0,590.0,605.0,-10.0,785900,471643500,91,201.7,615,28900,595,9800,800000000,800000000,147840000,0,0,0,0,0
2026-03-03,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,630.0,605.0,625.0,605.0,615.0,-15.0,139300,85487500,42,205.0,620,9800,615,45800,800000000,800000000,147840000,0,0,0,0,0
2026-03-02,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,640.0,620.0,640.0,610.0,630.0,-10.0,139400,86916500,76,210.0,630,2400,615,2100,800000000,800000000,147840000,0,0,0,0,0
2026-02-27,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,620.0,620.0,650.0,620.0,640.0,20.0,143000,90746500,79,213.3,640,21000,630,15000,800000000,800000000,147840000,0,0,0,0,0
2026-02-26,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,610.0,615.0,625.0,605.0,620.0,10.0,65300,40167000,65,206.7,620,1400,605,106300,800000000,800000000,147840000,16100,0,0,0,0
2026-02-25,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,635.0,635.0,640.0,605.0,610.0,-25.0,491500,300248000,120,203.3,610,17500,605,6700,800000000,800000000,147840000,0,0,0,0,0
2026-02-24,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,660.0,655.0,660.0,630.0,635.0,-25.0,438200,276947500,68,211.7,640,66700,630,1400,800000000,800000000,147840000,0,0,0,0,0
2026-02-23,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,635.0,635.0,660.0,635.0,660.0,25.0,246200,159150500,97,220.0,650,100,640,42300,800000000,800000000,147840000,0,104400,0,0,0
2026-02-20,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,635.0,635.0,645.0,630.0,635.0,0.0,96600,61319000,54,211.7,640,19300,635,100,800000000,800000000,147840000,0,0,0,0,0
2026-02-19,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,625.0,625.0,650.0,615.0,635.0,10.0,275800,174710000,128,211.7,645,10900,635,132700,800000000,800000000,147840000,0,73700,0,0,0
2026-02-18,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,605.0,630.0,605.0,625.0,25.0,120100,73843000,106,208.3,630,11900,625,3100,800000000,800000000,147840000,0,20900,0,0,0
2026-02-13,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,580.0,575.0,605.0,570.0,600.0,20.0,1229400,720964500,162,200.0,605,12100,595,51000,800000000,800000000,147840000,10000,0,0,0,0
2026-02-12,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,590.0,595.0,600.0,580.0,580.0,-10.0,418900,245759500,167,193.3,580,130500,575,44500,800000000,800000000,147840000,0,30100,0,0,0
2026-02-11,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,600.0,600.0,585.0,590.0,-10.0,603600,360110500,128,196.7,590,88500,585,8900,800000000,800000000,147840000,0,23100,0,0,0
2026-02-10,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,600.0,0.0,605.0,585.0,600.0,0.0,479800,284634500,132,200.0,600,102200,595,700,800000000,800000000,147840000,0,8000,0,0,0
2026-02-09,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,595.0,595.0,600.0,590.0,600.0,5.0,137200,81689500,46,200.0,600,124200,595,300,800000000,800000000,147840000,8400,0,0,0,0
2026-02-06,KMDS,Kurniamitra Duta Sentosa Tbk.,--UO2130000000D112------------,595.0,605.0,605.0,550.0,595.0,0.0,1429200,829857000,187,198.3,595,177900,575,3700,800000000,800000000,147840000,10500,18900,0,0,0
