Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,57.0,56.0,57.0,54.0,56.0,-1.0,50122000,2793337900,1206,28.0,56,13600,55,10834100,10546185701,10546185701,6345639936,1997500,11586300,0,0,0
2026-03-13,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,58.0,59.0,59.0,56.0,57.0,-1.0,44751100,2560327800,1362,28.5,57,784900,56,5400,10546185701,10546185701,6345639936,2302600,1936100,0,0,0
2026-03-12,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,58.0,57.0,59.0,56.0,58.0,0.0,58867500,3367283000,1627,29.0,58,2272000,57,821300,10546185701,10546185701,6345639936,2323100,4961100,0,0,0
2026-03-11,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,58.0,58.0,63.0,57.0,58.0,0.0,128378500,7652404100,3903,29.0,58,1164200,57,542800,10546185701,10546185701,6345639936,14752500,17715800,0,0,0
2026-03-10,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,59.0,61.0,63.0,57.0,58.0,-1.0,98729800,5896250500,4268,29.0,59,1489500,57,4307700,10546185701,10546185701,6345639936,20794100,9341800,739800,41428800,1
2026-03-09,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,63.0,57.0,61.0,55.0,59.0,-4.0,182505300,10446335600,7235,29.5,59,942900,58,13200,10546185701,10546185701,6345639936,11855400,48754600,0,0,0
2026-03-06,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,74.0,69.0,76.0,63.0,63.0,-11.0,749132100,50855579800,28086,31.5,63,3591800,0,0,10546185701,10546185701,6345639936,5987100,2798800,232400,17197600,2
2026-03-05,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,56.0,60.0,74.0,55.0,74.0,18.0,1045499600,69771202500,31785,37.0,75,46375000,74,53897100,10546185701,10546185701,6345639936,5825300,5206800,0,0,0
2026-03-04,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,64.0,63.0,63.0,55.0,56.0,-8.0,184256100,10681027600,3939,28.0,57,885000,56,183700,10546185701,10546185701,6345639936,1509400,1272800,291381434,18065648908,1
2026-03-03,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,62.0,59.0,70.0,58.0,64.0,2.0,354743500,22714722700,12591,32.0,64,3626700,63,70000,10546185701,10546185701,6345639936,2151700,4324500,0,0,0
2026-03-02,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,72.0,65.0,68.0,62.0,62.0,-10.0,207053200,13307819800,6710,31.0,62,21142000,0,0,10546185701,10546185701,6345639936,1527300,4429400,0,0,0
2026-02-27,KOTA,DMS Propertindo Tbk.,--UO1130000000E512------------,84.0,79.0,90.0,72.0,72.0,-12.0,1027235200,79767996600,31157,36.0,72,5029900,0,0,10546185701,10546185701,6345639936,1608100,5682400,0,0,0
2026-02-26,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,78.0,0.0,84.0,79.0,84.0,6.0,91685400,7494537900,2050,42.0,84,4639500,83,5200,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-25,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,79.0,0.0,78.0,77.0,78.0,-1.0,51760400,4024341300,1068,39.0,79,1944700,78,100014300,10546185701,10546185701,6345639936,0,0,44042800,3442381200,3
2026-02-24,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,78.0,0.0,79.0,79.0,79.0,1.0,33607800,2655016200,957,39.5,79,6428700,78,20863300,10546185701,10546185701,6345639936,0,0,7043000,549354000,2
2026-02-23,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,73.0,0.0,78.0,73.0,78.0,5.0,37721700,2837066800,1212,39.0,79,2356000,78,32748800,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-20,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,71.0,0.0,73.0,71.0,73.0,2.0,29272000,2095815200,789,36.5,74,1409100,73,333200,10546185701,10546185701,6345639936,0,0,55000000,3905000000,1
2026-02-19,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,70.0,0.0,74.0,71.0,71.0,1.0,57280200,4138108200,1491,35.5,71,5345000,70,9974400,10546185701,10546185701,6345639936,2666900,0,0,0,0
2026-02-18,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,64.0,0.0,70.0,69.0,70.0,6.0,74963900,5238434700,957,35.0,0,0,70,25023400,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-13,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,61.0,0.0,64.0,62.0,64.0,3.0,13985400,889691400,454,32.0,64,2351500,63,10165100,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-12,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,61.0,0.0,61.0,59.0,61.0,0.0,9164900,547891200,369,30.5,61,3937600,60,3200,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-11,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,60.0,0.0,61.0,60.0,61.0,1.0,21101500,1268527600,541,30.5,61,2532100,60,6040400,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-10,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,55.0,0.0,60.0,56.0,60.0,5.0,40413000,2410939700,673,30.0,0,0,60,37123500,10546185701,10546185701,6345639936,0,0,315900,17374500,2
2026-02-09,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,53.0,0.0,55.0,52.0,55.0,2.0,11174100,607053400,440,27.5,55,1690700,54,130600,10546185701,10546185701,6345639936,0,0,271810906,15765032548,3
2026-02-06,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,54.0,0.0,53.0,51.0,53.0,-1.0,21941500,1140657200,406,26.5,53,862900,52,1453100,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-05,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,56.0,0.0,55.0,54.0,54.0,-2.0,13354700,728276500,438,27.0,55,4408900,54,1290300,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-04,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,55.0,0.0,57.0,55.0,56.0,1.0,42377700,2354548300,717,28.0,57,1074500,56,104000,10546185701,10546185701,6345639936,0,0,0,0,0
2026-02-03,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,53.0,0.0,55.0,53.0,55.0,2.0,44464500,2433338700,619,27.5,55,15407000,54,477100,10546185701,10546185701,6345639936,975000,1000000,734571767,42605162486,7
2026-02-02,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,58.0,0.0,55.0,53.0,53.0,-5.0,21949600,1175592200,485,26.5,53,3696500,0,0,10546185701,10546185701,6345639936,0,0,54002139,3132124062,3
2026-01-30,KOTA,DMS Propertindo Tbk.,--U-4130000000E512-----------X,53.0,0.0,58.0,54.0,58.0,5.0,27647700,1538738300,573,29.0,0,0,57,330800,10546185701,10546185701,6345639936,0,0,0,0,0
