Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,103.0,91.0,102.0,88.0,88.0,-15.0,205717300,19375715700,11917,45.1,88,207200,0,0,1292808150,1292808150,371294501,13076600,5880900,0,0,0
2026-03-26,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,79.0,79.0,103.0,78.0,103.0,24.0,395143300,37452542400,18652,52.8,103,8200,102,600700,1292808150,1292808150,371294501,13652000,16532100,0,0,0
2026-03-25,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,73.0,75.0,87.0,75.0,79.0,6.0,102598800,8370273200,5741,40.5,80,200200,79,192400,1292808150,1292808150,371294501,7076700,6074200,0,0,0
2026-03-17,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,83.0,76.0,79.0,73.0,73.0,-10.0,74073900,5561097000,4933,37.4,74,107000,73,2605400,1292808150,1292808150,371294501,510400,4529800,0,0,0
2026-03-16,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,97.0,87.0,90.0,83.0,83.0,-14.0,66310700,5568952200,3967,42.6,83,15210800,0,0,1292808150,1292808150,371294501,2007300,3284100,0,0,0
2026-03-13,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,113.0,119.0,137.0,97.0,97.0,-16.0,1031123800,120847969400,56259,49.7,97,22879500,0,0,1292808150,1292808150,371294501,18391000,19239100,0,0,0
2026-03-12,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,87.0,96.0,113.0,90.0,113.0,26.0,716623200,72154924200,33900,57.9,114,572700,113,37315900,1292808150,1292808150,371294501,15176800,15131100,0,0,0
2026-03-11,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,72.0,72.0,92.0,71.0,87.0,15.0,237508600,19788497300,10921,44.6,88,511500,87,26150000,1292808150,1292808150,371294501,7331400,6847600,0,0,0
2026-03-10,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,71.0,73.0,74.0,71.0,72.0,1.0,6576900,473191500,603,36.9,73,959300,72,119100,1292808150,1292808150,371294501,759800,340200,0,0,0
2026-03-09,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,77.0,77.0,77.0,68.0,71.0,-6.0,18552000,1326503600,1282,36.4,72,129900,71,8200,1292808150,1292808150,371294501,701900,2313600,0,0,0
2026-03-06,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,82.0,82.0,87.0,75.0,77.0,-5.0,35940000,2925367100,1943,39.5,78,12500,77,12300,1292808150,1292808150,371294501,1286600,2376100,0,0,0
2026-03-05,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,83.0,82.0,85.0,77.0,82.0,-1.0,36141100,2910906100,2625,42.1,83,427600,82,57300,1292808150,1292808150,371294501,2525200,658000,0,0,0
2026-03-04,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,77.0,77.0,94.0,74.0,83.0,6.0,140047200,11903342000,9232,42.6,83,498300,82,3300,1292808150,1292808150,371294501,9483500,5434000,0,0,0
2026-03-03,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,78.0,76.0,78.0,74.0,77.0,-1.0,9532800,731614200,755,39.5,78,509300,77,1210200,1292808150,1292808150,371294501,1425800,1281600,0,0,0
2026-03-02,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,87.0,80.0,83.0,77.0,78.0,-9.0,18354400,1463872900,1252,40.0,79,300,78,217000,1292808150,1292808150,371294501,413800,1600700,0,0,0
2026-02-27,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,89.0,89.0,89.0,85.0,87.0,-2.0,10550900,913828800,959,44.6,87,152200,86,567900,1292808150,1292808150,371294501,754600,12000,0,0,0
2026-02-26,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,94.0,94.0,85.0,89.0,-4.0,27568800,2494799700,1708,45.6,89,59300,88,2178500,1292808150,1292808150,371294501,1892700,2178900,0,0,0
2026-02-25,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,94.0,99.0,92.0,93.0,0.0,38864200,3701377300,1991,47.7,94,771200,93,1072600,1292808150,1292808150,371294501,2600300,1382400,0,0,0
2026-02-24,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,94.0,98.0,92.0,93.0,0.0,29809900,2816544500,2487,47.7,93,719000,92,960600,1292808150,1292808150,371294501,2480600,932900,0,0,0
2026-02-23,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,93.0,94.0,91.0,93.0,0.0,12378900,1139425100,988,47.7,93,1034400,92,344500,1292808150,1292808150,371294501,36500,847200,0,0,0
2026-02-20,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,93.0,96.0,92.0,93.0,0.0,16539900,1551490600,1426,47.7,94,260800,93,2000,1292808150,1292808150,371294501,2270000,916400,0,0,0
2026-02-19,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,90.0,91.0,98.0,90.0,93.0,3.0,39861100,3737100400,3445,47.7,93,816400,92,544700,1292808150,1292808150,371294501,5013300,2384600,0,0,0
2026-02-18,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,93.0,94.0,90.0,90.0,-3.0,19307200,1749804800,1671,46.2,91,179500,90,929900,1292808150,1292808150,371294501,982100,398900,0,0,0
2026-02-13,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,93.0,94.0,98.0,92.0,93.0,0.0,37555200,3561641600,3100,47.7,94,649600,93,785900,1292808150,1292808150,371294501,2728700,1353200,0,0,0
2026-02-12,KUAS,Ace Oldfields Tbk.,--UO2130000000C121------------,91.0,92.0,94.0,90.0,93.0,2.0,13778300,1263355700,1317,47.7,94,2006200,93,50300,1292808150,1292808150,371294501,294100,2765600,0,0,0
