Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213---L--------,230.0,0.0,234.0,224.0,232.0,2.0,523800,120606800,97,156.8,232,10200,224,2000,4593005014,4593005014,958100846,4500,2500,0,0,0
2026-05-05,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213---L--------,218.0,0.0,246.0,216.0,230.0,12.0,775800,178046600,220,155.4,230,43900,224,56000,4593005014,4593005014,958100846,31000,5700,0,0,0
2026-05-04,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,226.0,226.0,226.0,218.0,218.0,-8.0,137900,30348200,72,147.3,224,24400,218,284900,4593005014,4593005014,958100846,6000,600,6529100,1305820000,1
2026-04-30,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,234.0,230.0,234.0,220.0,226.0,-8.0,650000,146400200,127,152.7,226,11900,224,4300,4593005014,4593005014,958100846,700,110900,0,0,0
2026-04-29,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,218.0,224.0,234.0,220.0,234.0,16.0,379500,86741400,109,158.1,234,175100,228,5000,4593005014,4593005014,958100846,1900,1100,0,0,0
2026-04-28,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,228.0,0.0,230.0,218.0,218.0,-10.0,219800,48396400,35,147.3,224,42800,218,75100,4593005014,4593005014,958100846,0,0,0,0,0
2026-04-27,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,232.0,232.0,232.0,216.0,228.0,-4.0,633600,141193800,126,154.1,228,32400,218,10800,4593005014,4593005014,958100846,1500,105800,0,0,0
2026-04-24,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,230.0,230.0,232.0,216.0,232.0,2.0,695900,154540200,179,156.8,232,6500,226,2400,4593005014,4593005014,958100846,20900,5000,0,0,0
2026-04-23,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,226.0,0.0,246.0,226.0,230.0,4.0,3145900,743837000,595,155.4,232,500,230,214700,4593005014,4593005014,958100846,358200,543500,0,0,0
2026-04-22,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,230.0,230.0,236.0,222.0,226.0,-4.0,827700,189292000,213,152.7,228,30800,226,7700,4593005014,4593005014,958100846,11800,119800,0,0,0
2026-04-21,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,230.0,230.0,232.0,218.0,230.0,0.0,1569800,351163800,259,155.4,230,131100,226,10000,4593005014,4593005014,958100846,46300,244000,0,0,0
2026-04-20,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,218.0,226.0,234.0,214.0,230.0,12.0,3636600,824490200,761,155.4,230,187300,224,10000,4593005014,4593005014,958100846,651600,20200,0,0,0
2026-04-17,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,212.0,214.0,218.0,206.0,218.0,6.0,875600,186176200,172,147.3,218,17200,208,2500,4593005014,4593005014,958100846,133100,258800,0,0,0
2026-04-16,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,218.0,0.0,224.0,208.0,212.0,-6.0,1731600,375204600,235,143.2,212,9400,210,49000,4593005014,4593005014,958100846,127900,24800,0,0,0
2026-04-15,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,216.0,218.0,222.0,214.0,218.0,2.0,553100,120418400,147,147.3,220,13800,216,23800,4593005014,4593005014,958100846,73500,99000,0,0,0
2026-04-14,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,220.0,220.0,222.0,212.0,216.0,-4.0,1139000,247346600,166,145.9,218,9100,216,22500,4593005014,4593005014,958100846,195200,370700,0,0,0
2026-04-13,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,216.0,0.0,222.0,218.0,220.0,4.0,363500,79738200,62,148.6,220,33600,218,16000,4593005014,4593005014,958100846,63500,153000,0,0,0
2026-04-10,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,218.0,216.0,224.0,214.0,216.0,-2.0,535800,116920800,155,145.9,220,600,216,12900,4593005014,4593005014,958100846,109500,27300,0,0,0
2026-04-09,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,226.0,224.0,228.0,214.0,218.0,-8.0,866300,188879000,192,147.3,220,200,218,27600,4593005014,4593005014,958100846,214500,318900,0,0,0
2026-04-08,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,199.0,199.0,240.0,196.0,226.0,27.0,11475200,2595216500,1501,152.7,226,33700,224,200,4593005014,4593005014,958100846,1239700,1120400,0,0,0
2026-04-07,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,199.0,202.0,202.0,198.0,199.0,0.0,455700,90603700,70,134.5,199,7200,198,91200,4593005014,4593005014,958100846,73500,49400,0,0,0
2026-04-06,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,210.0,206.0,212.0,198.0,199.0,-11.0,1136900,228026200,232,134.5,199,5000,198,186000,4593005014,4593005014,958100846,135800,112400,0,0,0
2026-04-02,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,204.0,206.0,214.0,200.0,210.0,6.0,772200,160595200,263,141.9,210,96700,208,66500,4593005014,4593005014,958100846,171400,27200,0,0,0
2026-04-01,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,197.0,0.0,242.0,196.0,204.0,7.0,3448900,731235000,617,137.8,204,400,202,20900,4593005014,4593005014,958100846,430600,240100,0,0,0
2026-03-31,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,198.0,199.0,199.0,196.0,197.0,-1.0,229600,45217100,52,133.1,200,1000,197,8200,4593005014,4593005014,958100846,71200,2300,0,0,0
2026-03-30,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,202.0,206.0,206.0,198.0,198.0,-4.0,339500,67478500,79,133.8,199,1800,198,65400,4593005014,4593005014,958100846,70900,11600,0,0,0
2026-03-27,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,204.0,0.0,208.0,200.0,202.0,-2.0,348500,70720800,57,136.5,206,20000,202,200,4593005014,4593005014,958100846,56300,58700,0,0,0
2026-03-26,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,206.0,206.0,210.0,200.0,204.0,-2.0,765600,155857600,79,137.8,204,31200,202,152000,4593005014,4593005014,958100846,26600,100300,0,0,0
2026-03-25,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,200.0,210.0,214.0,195.0,206.0,6.0,1708500,343956300,233,139.2,206,500,202,132900,4593005014,4593005014,958100846,239900,276600,0,0,0
2026-03-17,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,195.0,0.0,200.0,195.0,200.0,5.0,475100,93455400,115,135.1,200,39800,196,15200,4593005014,4593005014,958100846,33600,5700,0,0,0
2026-03-16,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,197.0,200.0,200.0,191.0,195.0,-2.0,2244000,438026200,172,131.8,196,10000,195,3800,4593005014,4593005014,958100846,268800,218800,0,0,0
2026-03-13,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,204.0,0.0,202.0,196.0,197.0,-7.0,1145700,227238800,105,133.1,202,10400,197,238800,4593005014,4593005014,958100846,157300,161800,0,0,0
2026-03-12,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,208.0,206.0,206.0,196.0,204.0,-4.0,5803300,1167254600,182,137.8,204,285100,197,1000,4593005014,4593005014,958100846,267900,100300,0,0,0
2026-03-11,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,202.0,202.0,212.0,200.0,208.0,6.0,6952400,1429892000,294,140.5,208,222000,204,42400,4593005014,4593005014,958100846,1129100,61700,0,0,0
2026-03-10,LIVE,Homeco Victoria Makmur Tbk.,--MO2135000000E213------------,200.0,206.0,210.0,200.0,202.0,2.0,5860400,1207624000,162,136.5,206,5300,202,37500,4593005014,4593005014,958100846,512100,79600,0,0,0
