Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-18,LTLS,Lautan Luas Tbk.,CDUO1135000000B111------------,815.0,805.0,805.0,785.0,800.0,-15.0,96000,76072000,68,282.8,805,200,800,600,1560000000,1560000000,557544000,0,0,0,0,0
2026-05-13,LTLS,Lautan Luas Tbk.,CDUO1135000000B111------------,820.0,820.0,835.0,815.0,815.0,-5.0,49400,40439500,51,288.1,815,5000,810,69400,1560000000,1560000000,557544000,0,0,0,0,0
2026-05-12,LTLS,Lautan Luas Tbk.,CDUO1135000000B111------------,830.0,830.0,830.0,805.0,820.0,-10.0,36800,30119500,57,289.9,820,6100,815,100,1560000000,1560000000,557544000,10400,0,0,0,0
2026-05-11,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,815.0,850.0,850.0,815.0,830.0,15.0,33000,27434500,52,293.4,830,9900,820,24500,1560000000,1560000000,557544000,3100,0,0,0,0
2026-05-08,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,820.0,820.0,820.0,805.0,815.0,-5.0,46100,37349000,55,288.1,815,14300,805,500,1560000000,1560000000,557544000,0,0,0,0,0
2026-05-07,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,850.0,0.0,855.0,820.0,820.0,-30.0,55500,45962500,74,289.9,820,3900,815,80500,1560000000,1560000000,557544000,0,3700,0,0,0
2026-05-06,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,830.0,0.0,865.0,835.0,850.0,20.0,186500,158434000,128,300.5,850,20000,835,6100,1560000000,1560000000,557544000,1500,0,0,0,0
2026-05-05,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,840.0,840.0,855.0,800.0,830.0,-10.0,1091600,897978000,145,293.4,835,3200,830,50500,1560000000,1560000000,557544000,800000,34700,0,0,0
2026-05-04,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,780.0,790.0,850.0,785.0,840.0,60.0,2092000,1700952500,212,296.9,840,7100,820,9100,1560000000,1560000000,557544000,1941000,8500,0,0,0
2026-04-30,LTLS,Lautan Luas Tbk.,--UO1135000000B111------------,810.0,0.0,815.0,775.0,780.0,-30.0,63100,49611500,73,275.7,780,3700,775,7200,1560000000,1560000000,557544000,3800,7100,0,0,0
