Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2025-07-18,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-17,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-16,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-15,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-14,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-11,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-10,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-09,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-08,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-07,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-04,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-03,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-02,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-07-01,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-30,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-26,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-25,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-24,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-23,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-20,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-19,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-18,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-17,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-16,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-13,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-12,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-11,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-10,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-05,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-04,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-03,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-06-02,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-05-28,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-05-27,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-05-26,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-05-23,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
2025-05-22,MAMI,Mas Murni Indonesia Tbk,--U-4100000000E512B--L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,8110170019,0,0,0,0,0
