Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-27,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,61.0,57.0,60.0,52.0,56.0,-5.0,825482500,46070253900,26720,56.0,56,850200,55,54130500,9610099981,9610099981,2001783826,14296200,19454000,60000100,3300006200,4
2026-04-24,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,71.0,71.0,71.0,61.0,61.0,-10.0,1506060400,96793024200,46090,61.0,61,27310400,0,0,9610099981,9610099981,2001783826,22465700,17758100,10000000,610000000,1
2026-04-23,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,53.0,52.0,71.0,50.0,71.0,18.0,2853742500,184100769100,68877,71.0,0,0,71,76471000,9610099981,9610099981,2001783826,51640100,43827900,10000000,500000000,1
2026-04-22,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,54.0,50.0,53.0,3.0,210340200,10801300700,14351,53.0,53,12167600,52,6183100,9610099981,9610099981,2001783826,147600,0,0,0,0
2026-04-21,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,50.0,50.0,50.0,0.0,4629100,231455000,299,50.0,50,24780700,0,0,9610099981,9610099981,2001783826,0,0,0,0,0
2026-04-20,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,50.0,50.0,50.0,0.0,12296900,614845000,432,50.0,50,12154200,0,0,9610099981,9610099981,2001783826,0,0,10000000,500000000,1
2026-04-17,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,52.0,50.0,50.0,0.0,82414400,4143820200,1357,50.0,50,34971800,0,0,9610099981,9610099981,2001783826,0,0,0,0,0
2026-04-16,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,50.0,50.0,50.0,0.0,1126200,56310000,85,50.0,50,26814600,0,0,9610099981,9610099981,2001783826,0,0,0,0,0
2026-04-15,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,50.0,50.0,50.0,0.0,555200,27760000,122,50.0,50,26089900,0,0,9610099981,9610099981,2001783826,0,0,0,0,0
2026-04-14,MAXI,Maxindo Karya Anugerah Tbk.,--UO2130000000D222------------,50.0,50.0,50.0,50.0,50.0,0.0,3032200,151610000,133,50.0,50,33565400,0,0,9610099981,9610099981,2001783826,0,0,10000000,490000000,1
