Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3190.0,3080.0,3100.0,2970.0,3060.0,-130.0,99499400,302321983000,12099,816.4,3070,71300,3060,2634400,24472983771,24472983771,11666271364,38226400,57020600,28290552,92569429620,16
2026-03-13,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3370.0,3350.0,3350.0,3140.0,3190.0,-180.0,66141600,212306221000,11226,851.1,3200,17800,3190,868200,24472983771,24472983771,11666271364,31183300,27113000,1169590,3760275200,5
2026-03-12,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3370.0,3370.0,3390.0,3230.0,3370.0,0.0,43996100,145644425000,13309,899.1,3380,105700,3370,1209000,24472983771,24472983771,11666271364,15579300,24184300,0,0,0
2026-03-11,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3500.0,3500.0,3540.0,3360.0,3370.0,-130.0,42587600,145685430000,13492,899.1,3380,1269200,3370,66200,24472983771,24472983771,11666271364,17611400,22247200,615490,2095580400,8
2026-03-10,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3330.0,3450.0,3510.0,3340.0,3500.0,170.0,64342500,221871821000,16506,933.8,3500,577300,3490,148900,24472983771,24472983771,11666271364,29909900,13433000,27745289,90943930992,33
2026-03-09,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3480.0,3300.0,3370.0,3000.0,3330.0,-150.0,132816900,424368110000,23844,888.4,3330,27400,3320,61500,24472983771,24472983771,11666271364,27932500,65709100,0,0,0
2026-03-06,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3620.0,3620.0,3620.0,3400.0,3480.0,-140.0,51959700,180520307000,11903,928.5,3480,466200,3470,143600,24472983771,24472983771,11666271364,21461200,21675400,144300,506493000,1
2026-03-05,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3430.0,3550.0,3650.0,3510.0,3620.0,190.0,39733000,142967291000,11887,965.8,3620,22200,3610,80600,24472983771,24472983771,11666271364,13030600,6885300,25789767,95507333324,6
2026-03-04,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3660.0,3530.0,3590.0,3400.0,3430.0,-230.0,114676300,397403156000,25515,915.1,3440,304600,3430,371600,24472983771,24472983771,11666271364,29255900,43926700,990000,3415500000,2
2026-03-03,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3940.0,3940.0,3940.0,3590.0,3660.0,-280.0,87425600,325578508000,25249,976.5,3670,71600,3660,613400,24472983771,24472983771,11666271364,43797100,10553200,3561541,9275637228,5
2026-03-02,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3750.0,3800.0,3950.0,3760.0,3940.0,190.0,90636200,349833963000,25724,1051.2,3940,376200,3930,416000,24472983771,24472983771,11666271364,27912300,24329400,22784550,84269308500,2
2026-02-27,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3640.0,3630.0,3790.0,3570.0,3750.0,110.0,83375700,309796882000,14242,1000.5,3750,1857600,3740,17100,24472983771,24472983771,11666271364,25258500,31304800,1008587,3405291250,5
2026-02-26,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3820.0,3840.0,3850.0,3520.0,3640.0,-180.0,136401700,494299329000,27981,971.1,3640,1726600,3630,2948500,24472983771,24472983771,11666271364,19001300,54777500,800006,2904021720,2
2026-02-25,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3790.0,3810.0,3960.0,3780.0,3820.0,30.0,90104000,347390573000,20481,1019.2,3820,74700,3810,599100,24472983771,24472983771,11666271364,23377800,24912800,18344867,66434945990,9
2026-02-24,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3740.0,3750.0,3900.0,3750.0,3790.0,50.0,92209500,352229118000,26160,1011.2,3790,92200,3780,14000,24472983771,24472983771,11666271364,21661600,39424600,20799167,75875887560,31
2026-02-23,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3590.0,3620.0,3750.0,3610.0,3740.0,150.0,65802300,243492035000,18851,997.8,3750,744200,3740,111100,24472983771,24472983771,11666271364,13946200,20518500,9725329,32057057836,8
2026-02-20,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3530.0,3600.0,3680.0,3530.0,3590.0,60.0,70740400,254294857000,16316,957.8,3590,278600,3580,14600,24472983771,24472983771,11666271364,21488900,28084100,41475318,139281634840,6
2026-02-19,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3290.0,3300.0,3680.0,3290.0,3530.0,240.0,144237200,509266258000,32817,941.8,3540,108300,3530,80700,24472983771,24472983771,11666271364,25536100,46806800,321386,1060375420,3
2026-02-18,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3220.0,3200.0,3300.0,3160.0,3290.0,70.0,51711000,167566402000,10756,877.8,3300,2640800,3290,4925300,24472983771,24472983771,11666271364,15427900,15019600,33187952,107240001210,6
2026-02-13,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3190.0,3170.0,3250.0,3110.0,3220.0,30.0,49113000,156589655000,10190,859.1,3230,314300,3220,56100,24472983771,24472983771,11666271364,14717100,18759200,8,25280,1
2026-02-12,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3160.0,3180.0,3280.0,3180.0,3190.0,30.0,66660600,215107864000,15159,851.1,3200,21400,3190,703500,24472983771,24472983771,11666271364,28169900,23442100,4,12880,1
2026-02-11,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3090.0,3100.0,3220.0,3090.0,3160.0,70.0,61619200,195057252000,15216,843.1,3160,693400,3150,211200,24472983771,24472983771,11666271364,9755000,20673200,6537856,20478389684,12
2026-02-10,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3040.0,3060.0,3180.0,3020.0,3090.0,50.0,70308100,217936439000,16517,824.4,3100,605600,3090,205600,24472983771,24472983771,11666271364,20466500,23166400,16084392,46662350580,3
2026-02-09,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,2850.0,2900.0,3070.0,2900.0,3040.0,190.0,67790000,203136147000,14379,811.1,3040,179200,3030,131900,24472983771,24472983771,11666271364,20793900,30948200,630000,1827700000,6
2026-02-06,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3060.0,2940.0,2990.0,2810.0,2850.0,-210.0,107512500,309792903000,25409,760.4,2860,41300,2850,1643700,24472983771,24472983771,11666271364,38811000,17560200,38428155,115467478810,6
2026-02-05,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,3030.0,3050.0,3130.0,2840.0,3060.0,30.0,148922200,444432879000,28450,816.4,3060,956100,3050,36300,24472983771,24472983771,11666271364,64982300,26362100,141,431610,3
2026-02-04,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF04100B146------------,2950.0,3010.0,3110.0,2990.0,3030.0,80.0,97456600,297296637000,24969,808.4,3040,10200,3030,10500,24472983771,24472983771,11666271364,48724800,24225300,17522888,50591445240,6
2026-02-03,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF00100B146------------,2730.0,2900.0,2950.0,2620.0,2950.0,220.0,112002800,320011688000,27126,787.1,2960,355100,2950,151900,24472983771,24472983771,11666271364,47162800,27109800,36425472,101092924332,11
2026-02-02,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF00100B146------------,3210.0,2960.0,3020.0,2730.0,2730.0,-480.0,115937900,321855238000,20755,728.4,2730,13495600,0,0,24472983771,24472983771,11666271364,34357100,24544400,6500690,20744545000,5
2026-01-30,MDKA,Merdeka Copper Gold Tbk.,--MO1SDBF00100B146------------,3170.0,3200.0,3350.0,3110.0,3210.0,40.0,147285200,477182002000,26472,856.4,3210,1024300,3200,28700,24472983771,24472983771,11666271364,56511900,48032900,12411056,37648444560,6
