Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-16,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1700.0,1700.0,1750.0,1635.0,1750.0,50.0,109700800,187203548500,14158,3634.1,1755,552600,1750,478500,25136231252,25136231252,5879364490,23532400,33204600,50,87500,1
2026-03-13,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1730.0,1740.0,1745.0,1675.0,1700.0,-30.0,127437700,217466005000,14506,3530.3,1700,1340000,1695,709400,25136231252,25136231252,5879364490,39686600,54286800,0,0,0
2026-03-12,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1665.0,1705.0,1750.0,1700.0,1730.0,65.0,154755000,267403646000,20340,3592.6,1735,620500,1730,210400,25136231252,25136231252,5879364490,33175500,78122800,106283100,177108162300,11
2026-03-11,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1725.0,1715.0,1745.0,1630.0,1665.0,-60.0,149980300,252658964500,23975,3457.6,1670,205400,1665,4885700,25136231252,25136231252,5879364490,33430600,38961800,200000000,345000000000,1
2026-03-10,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1690.0,1630.0,1745.0,1590.0,1725.0,35.0,259946200,437590415500,49071,3582.2,1730,681700,1725,410100,25136231252,25136231252,5879364490,52424200,95880900,2255,3834875,2
2026-03-09,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1765.0,1860.0,1895.0,1680.0,1690.0,-75.0,428307900,768449482500,68402,3509.5,1690,272500,1685,679300,25136231252,25136231252,5879364490,78115900,79294800,500200,985359000,2
2026-03-06,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1820.0,1830.0,1910.0,1745.0,1765.0,-55.0,345228400,629172629000,49448,3665.2,1770,105400,1765,1991600,25136231252,25136231252,5879364490,75821900,41111200,3959800,7024685200,4
2026-03-05,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1820.0,1855.0,1885.0,1805.0,1820.0,0.0,231303600,424739067500,32416,3779.5,1820,151900,1815,889900,25136231252,25136231252,5879364490,51963900,50528100,49,89687,2
2026-03-04,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1900.0,1880.0,1985.0,1770.0,1820.0,-80.0,723313800,1359714062000,88574,3779.5,1825,113100,1820,441800,25136231252,25136231252,5879364490,165739800,188005000,3488700,6395764500,2
2026-03-03,MEDC,Medco Energi Internasional Tbk.,--MO1XDMM6S200A111------------,1995.0,1990.0,2000.0,1870.0,1900.0,-95.0,532197800,1028620738000,90006,3945.6,1905,754600,1900,12155300,25136231252,25136231252,5879364490,118090900,61108400,0,0,0
