Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-11,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8250.0,0.0,8250.0,7725.0,8250.0,0.0,217000,1733127500,207,6111.1,8250,19200,8125,1000,1904883411,1904883411,0,71700,22500,0,0,0
2026-05-08,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8450.0,0.0,8425.0,7950.0,8250.0,-200.0,222900,1814905000,243,6111.1,8250,12200,8125,1300,1904883411,1904883411,0,31500,55300,0,0,0
2026-05-07,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8750.0,0.0,8750.0,8200.0,8450.0,-300.0,211700,1785065000,270,6259.3,8450,19100,8425,3700,1904883411,1904883411,0,56300,34900,0,0,0
2026-05-06,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8575.0,0.0,8800.0,8575.0,8750.0,175.0,226600,1970540000,183,6481.5,8750,25400,8600,1000,1904883411,1904883411,0,114700,116900,0,0,0
2026-05-05,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8550.0,0.0,8650.0,8350.0,8575.0,25.0,155000,1319117500,182,6351.9,8575,6400,8550,100,1904883411,1904883411,0,18700,60100,0,0,0
2026-05-04,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8500.0,0.0,8625.0,8200.0,8550.0,50.0,315800,2645280000,427,6333.3,8550,9700,8475,3600,1904883411,1904883411,0,27600,36300,0,0,0
2026-04-30,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8675.0,0.0,8900.0,7825.0,8500.0,-175.0,575900,4673542500,716,6296.3,8500,34000,8400,20000,1904883411,1904883411,0,65500,33000,0,0,0
2026-04-29,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,8350.0,0.0,9175.0,8325.0,8675.0,325.0,573700,5046492500,871,6425.9,8675,15800,8550,500,1904883411,1904883411,0,149000,48800,0,0,0
2026-04-28,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,7600.0,0.0,8350.0,7600.0,8350.0,750.0,342900,2736255000,486,6185.2,0,0,8350,11600,1904883411,1904883411,0,61900,105900,0,0,0
2026-04-27,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6975.0,0.0,7650.0,6550.0,7600.0,625.0,634200,4577745000,580,5629.6,7600,3000,7475,400,1904883411,1904883411,0,96900,107100,0,0,0
2026-04-24,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,7000.0,0.0,6975.0,6350.0,6975.0,-25.0,270600,1831510000,319,5166.7,6975,28300,6500,3200,1904883411,1904883411,0,37000,8600,13500,91800000,1
2026-04-23,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6425.0,0.0,7000.0,5800.0,7000.0,575.0,804000,4890840000,532,5185.2,7000,216300,6200,7200,1904883411,1904883411,0,97000,31800,0,0,0
2026-04-22,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,7000.0,0.0,6975.0,6425.0,6425.0,-575.0,190500,1265145000,267,4759.3,6425,400,6400,102500,1904883411,1904883411,0,14100,19200,0,0,0
2026-04-21,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6975.0,0.0,7000.0,6550.0,7000.0,25.0,101400,697762500,147,5185.2,7000,47500,6600,100,1904883411,1904883411,0,16800,7100,0,0,0
2026-04-20,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,7000.0,0.0,7000.0,6300.0,6975.0,-25.0,271000,1788187500,398,5166.7,6975,18500,6725,3200,1904883411,1904883411,0,6300,24900,0,0,0
2026-04-17,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6950.0,0.0,7300.0,6300.0,7000.0,50.0,320300,2128860000,437,5185.2,7000,6200,6350,400,1904883411,1904883411,0,79000,23300,0,0,0
2026-04-16,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6700.0,0.0,7350.0,6725.0,6950.0,250.0,392200,2749690000,384,5148.1,7000,500,6950,700,1904883411,1904883411,0,166600,13400,0,0,0
2026-04-15,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,6500.0,0.0,7150.0,6050.0,6700.0,200.0,300800,1953517500,448,4963.0,6725,5000,6700,300,1904883411,1904883411,0,131900,500,0,0,0
2026-04-14,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,6000.0,0.0,6500.0,6000.0,6500.0,500.0,422400,2623115000,170,4814.8,6575,100,6500,76700,1904883411,1904883411,0,0,0,5000,23250000,1
2026-04-13,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,5500.0,0.0,6050.0,5500.0,6000.0,500.0,216200,1286705000,155,4444.4,6000,19800,5550,400,1904883411,1904883411,0,25000,0,0,0,0
2026-04-10,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,5000.0,0.0,5500.0,5425.0,5500.0,500.0,113700,623580000,124,4074.1,0,0,5500,257400,1904883411,1904883411,0,0,0,0,0,0
2026-04-09,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,4710.0,0.0,5000.0,4620.0,5000.0,290.0,273700,1328880000,117,3703.7,5100,100,5000,300,1904883411,1904883411,0,0,0,0,0,0
2026-04-08,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,4710.0,0.0,4710.0,4600.0,4710.0,0.0,261400,1227511000,82,3488.9,4710,28200,4600,15500,1904883411,1904883411,0,0,4500,0,0,0
2026-04-07,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,4670.0,0.0,4710.0,4610.0,4710.0,40.0,312600,1469061000,91,3488.9,4670,137900,4610,200,1904883411,1904883411,0,79000,0,0,0,0
2026-04-06,MGLV,Panca Anugrah Wisesa Tbk.,--U-4000000000E211-----------X,4700.0,0.0,4670.0,4230.0,4670.0,-30.0,488400,2162996000,216,3459.3,4700,110300,4670,38800,1904883411,1904883411,0,0,0,0,0,0
2026-04-02,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-04-01,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-31,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-30,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-27,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-26,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-25,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4700.0,0.0,0.0,0.0,4700.0,0.0,0,0,0,3481.5,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-03-17,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4350.0,0.0,4780.0,4000.0,4700.0,350.0,791200,3745093000,446,3481.5,4700,5300,4670,5700,1904883411,1904883411,0,13200,143300,0,0,0
2026-03-16,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3990.0,0.0,4380.0,3800.0,4350.0,360.0,583700,2430592000,483,3222.2,4370,800,4290,1900,1904883411,1904883411,0,31600,102600,0,0,0
2026-03-13,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3680.0,0.0,4040.0,3610.0,3990.0,310.0,547500,2144072000,467,2955.6,4000,25500,3990,1200,1904883411,1904883411,0,54800,174000,0,0,0
2026-03-12,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3800.0,0.0,3800.0,3470.0,3680.0,-120.0,177400,640434000,288,2725.9,3690,100,3680,3200,1904883411,1904883411,0,33200,34200,0,0,0
2026-03-11,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3860.0,0.0,4240.0,3490.0,3800.0,-60.0,339100,1345410000,382,2814.8,3800,500,3700,100,1904883411,1904883411,0,71500,9800,0,0,0
2026-03-10,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3530.0,0.0,3880.0,3600.0,3860.0,330.0,572200,2194187000,297,2859.3,3860,600,3790,100,1904883411,1904883411,0,31200,12400,0,0,0
2026-03-09,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3610.0,0.0,3700.0,3250.0,3530.0,-80.0,591800,1954904000,289,2614.8,3520,2900,3400,100,1904883411,1904883411,0,10100,52500,0,0,0
2026-03-06,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3930.0,0.0,4020.0,3600.0,3610.0,-320.0,373300,1437303000,310,2674.1,3620,100,3610,1200,1904883411,1904883411,0,52500,59500,0,0,0
2026-03-05,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3580.0,0.0,3930.0,3230.0,3930.0,350.0,577800,2183329000,345,2911.1,0,0,3930,115500,1904883411,1904883411,0,111200,161600,0,0,0
2026-03-04,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3920.0,0.0,4120.0,3530.0,3580.0,-340.0,795700,2840978000,406,2651.9,3630,10000,3580,10100,1904883411,1904883411,0,87600,64700,0,0,0
2026-03-03,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3960.0,0.0,4300.0,3840.0,3920.0,-40.0,201700,811064000,235,2903.7,4020,2500,3920,200,1904883411,1904883411,0,5500,61700,0,0,0
2026-03-02,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4400.0,0.0,4400.0,3960.0,3960.0,-440.0,1009700,4010642000,505,2933.3,3960,21500,0,0,1904883411,1904883411,0,24400,91100,0,0,0
2026-02-27,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4040.0,0.0,4440.0,3710.0,4400.0,360.0,708500,2976311000,833,3259.3,4410,100,4400,2400,1904883411,1904883411,0,94400,110600,0,0,0
2026-02-26,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3680.0,0.0,4040.0,3320.0,4040.0,360.0,2586200,9933961000,848,2992.6,0,0,4040,34000,1904883411,1904883411,0,96900,117600,0,0,0
2026-02-25,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4080.0,0.0,4130.0,3680.0,3680.0,-400.0,1518700,5616365000,472,2725.9,3680,1598900,0,0,1904883411,1904883411,0,18200,28100,100000,368000000,1
2026-02-24,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4530.0,0.0,4980.0,4080.0,4080.0,-450.0,1866000,8937403000,853,3022.2,4080,973300,0,0,1904883411,1904883411,0,163000,23900,0,0,0
2026-02-23,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,4120.0,0.0,4530.0,4530.0,4530.0,410.0,384100,1739973000,114,3355.6,0,0,4530,878500,1904883411,1904883411,0,50000,0,0,0,0
2026-02-20,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3750.0,0.0,4120.0,3750.0,4120.0,370.0,1844900,7590224000,413,3051.9,0,0,4120,968000,1904883411,1904883411,0,100700,6700,0,0,0
2026-02-19,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3410.0,0.0,3750.0,3420.0,3750.0,340.0,1905900,7145341000,345,2777.8,0,0,3750,579500,1904883411,1904883411,0,0,1000,0,0,0
2026-02-18,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3410.0,0.0,0.0,0.0,3410.0,0.0,0,0,0,2525.9,0,0,0,0,1904883411,1904883411,0,0,0,0,0,0
2026-02-13,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,3100.0,0.0,3410.0,3410.0,3410.0,310.0,467600,1594516000,52,2525.9,0,0,3410,1746400,1904883411,1904883411,0,135000,0,0,0,0
2026-02-12,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2820.0,0.0,3100.0,3100.0,3100.0,280.0,151700,470270000,41,2296.3,0,0,3100,2175500,1904883411,1904883411,0,0,0,0,0,0
2026-02-11,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2570.0,0.0,2820.0,2820.0,2820.0,250.0,64300,181326000,31,2088.9,0,0,2820,2780800,1904883411,1904883411,0,0,0,0,0,0
2026-02-10,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2340.0,0.0,2570.0,2360.0,2570.0,230.0,730700,1877348000,191,1903.7,0,0,2570,129800,1904883411,1904883411,0,12500,100,0,0,0
2026-02-09,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2130.0,0.0,2340.0,2170.0,2340.0,210.0,404000,945303000,58,1733.3,0,0,2340,377100,1904883411,1904883411,0,1500,0,1715500000,148143477500,9
2026-02-06,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,1940.0,0.0,2130.0,1920.0,2130.0,190.0,719700,1500506000,192,1577.8,0,0,2130,63400,1904883411,1904883411,0,21900,100500,72309200,4483170400,5
2026-02-05,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,1895.0,0.0,2080.0,1890.0,1940.0,45.0,150300,297823000,132,1437.0,1940,1300,1900,400,1904883411,1904883411,0,22800,21300,33500000,2077000000,4
2026-02-04,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2100.0,0.0,2100.0,1890.0,1895.0,-205.0,517500,985230500,124,1403.7,2070,100,1895,11100,1904883411,1904883411,0,2400,6700,39050100,2421106200,4
2026-02-03,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,2080.0,0.0,2270.0,1875.0,2100.0,20.0,4230300,7965730500,202,1555.6,2070,300,1950,5000,1904883411,1904883411,0,6400,165600,0,0,0
