Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-08,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,170.0,171.0,171.0,168.0,170.0,0.0,623200,105714000,46,161.9,171,55000,170,44800,3411043426,3411043426,733361630,0,0,0,0,0
2026-05-07,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,165.0,167.0,170.0,165.0,170.0,5.0,970000,162536500,94,161.9,171,3000,168,100000,3411042726,3411042726,733361630,0,0,0,0,0
2026-05-06,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,165.0,0.0,173.0,161.0,165.0,0.0,2156600,357511200,224,157.1,167,7900,165,111000,3411042726,3411042726,733361630,361600,4100,0,0,0
2026-05-05,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,179.0,0.0,177.0,164.0,165.0,-14.0,2412100,407398400,241,157.1,165,141200,164,15700,3411040626,3411040626,733361630,1500,0,0,0,0
2026-05-04,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,184.0,183.0,184.0,175.0,179.0,-5.0,336300,59779700,84,170.5,179,17300,177,41000,3411038626,3411038626,733361630,2400,0,0,0,0
2026-04-30,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,184.0,186.0,186.0,177.0,184.0,0.0,406300,72411400,53,175.2,183,2500,178,16200,3411036126,3411036126,733361630,2800,0,0,0,0
2026-04-29,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,183.0,183.0,186.0,179.0,184.0,1.0,126300,23235400,38,175.2,186,213200,184,27200,3411029126,3411029126,733361630,0,0,0,0,0
2026-04-28,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,184.0,0.0,186.0,178.0,183.0,-1.0,95500,17434700,25,174.3,183,43800,180,36600,3411019126,3411019126,733361630,0,0,0,0,0
2026-04-27,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,180.0,188.0,188.0,178.0,184.0,4.0,150100,27230900,40,175.2,184,9700,180,28000,3411019126,3411019126,733361630,5900,0,0,0,0
2026-04-24,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,187.0,0.0,188.0,178.0,180.0,-7.0,247500,45241300,46,171.4,186,54200,179,4800,3411019126,3411019126,733361630,0,0,0,0,0
2026-04-23,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,188.0,0.0,188.0,184.0,187.0,-1.0,70900,13135100,45,178.1,187,7200,185,11300,3411018526,3411018526,733361630,0,0,0,0,0
2026-04-22,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,188.0,188.0,190.0,186.0,188.0,0.0,510700,95938500,47,179.0,188,11600,186,391800,3411017526,3411017526,733361630,0,107400,0,0,0
2026-04-21,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,185.0,185.0,190.0,183.0,188.0,3.0,453700,85110000,84,179.0,188,6500,185,35000,3411017426,3411017426,733361630,0,0,0,0,0
2026-04-20,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,186.0,0.0,186.0,184.0,185.0,-1.0,121900,22552900,28,176.2,186,10000,185,154800,3411009626,3411009626,733361630,0,0,0,0,0
2026-04-17,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,189.0,190.0,190.0,179.0,186.0,-3.0,124000,22859400,61,177.1,185,7000,184,500,3411009526,3411009526,733361630,0,0,0,0,0
2026-04-16,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,181.0,181.0,189.0,181.0,189.0,8.0,260200,48107200,64,180.0,190,115400,189,10900,3411009526,3411009526,733361630,0,0,0,0,0
2026-04-15,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,182.0,182.0,198.0,175.0,181.0,-1.0,2871600,534504100,271,172.4,187,800,182,1000,3411009526,3411009526,733361630,79700,0,0,0,0
2026-04-14,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,183.0,183.0,183.0,178.0,182.0,-1.0,717200,129134100,90,173.3,182,16900,180,17700,3411009526,3411009526,733361630,18700,0,0,0,0
2026-04-13,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,180.0,180.0,188.0,175.0,183.0,3.0,1045000,188962600,71,174.3,183,36800,176,51900,3411009526,3411009526,733361630,66100,0,0,0,0
2026-04-10,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,182.0,183.0,185.0,180.0,180.0,-2.0,648800,118235600,59,171.4,180,500,179,10100,3411009526,3411009526,733361630,200,0,0,0,0
2026-04-09,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,184.0,184.0,185.0,182.0,182.0,-2.0,122000,22246200,28,173.3,183,28500,182,18600,3411009526,3411009526,733361630,0,0,0,0,0
2026-04-08,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,183.0,190.0,190.0,181.0,184.0,1.0,374100,68799900,81,175.2,184,676200,183,7700,3411009526,3411009526,733361630,28700,0,0,0,0
2026-04-07,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,186.0,188.0,188.0,183.0,183.0,-3.0,85300,15754100,31,174.3,185,5000,183,26900,3411009526,3411009526,733361630,0,0,0,0,0
2026-04-06,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,189.0,186.0,186.0,183.0,186.0,-3.0,72400,13352500,35,177.1,186,700,185,60000,3411009526,3411009526,733361630,0,25500,0,0,0
2026-04-02,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,183.0,188.0,189.0,181.0,189.0,6.0,350000,64641600,76,180.0,190,45300,189,24600,3411009526,3411009526,733361630,0,155600,0,0,0
2026-04-01,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,185.0,182.0,189.0,182.0,183.0,-2.0,462900,85094600,66,174.3,184,10000,183,57800,3411002026,3411002026,733361630,0,0,0,0,0
2026-03-31,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,188.0,0.0,186.0,182.0,185.0,-3.0,177000,32586400,46,176.2,185,62700,184,100,3410997026,3410997026,836263368,0,0,0,0,0
2026-03-30,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,192.0,190.0,191.0,182.0,188.0,-4.0,1259800,234865900,115,179.0,188,60500,187,10000,3410997025,3410997025,836263368,10000,0,0,0,0
2026-03-27,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,187.0,0.0,192.0,185.0,192.0,5.0,794400,148464200,51,182.9,192,200500,190,200,3410996625,3410996625,836263368,0,53000,0,0,0
2026-03-26,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,190.0,190.0,195.0,186.0,187.0,-3.0,1264000,236181600,57,178.1,187,9400,186,5600,3410994425,3410994425,836263368,0,0,0,0,0
2026-03-25,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,190.0,185.0,190.0,185.0,190.0,0.0,870300,164284600,57,181.0,190,98000,186,54000,3410994325,3410994325,836263368,10000,0,0,0,0
2026-03-17,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,185.0,185.0,190.0,184.0,190.0,5.0,368500,68428300,50,181.0,190,152300,185,80100,3410992325,3410992325,836263368,0,0,0,0,0
2026-03-16,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,182.0,0.0,191.0,182.0,185.0,3.0,2429600,451102400,146,176.2,185,22900,182,169300,3410984325,3410984325,836263368,0,147000,0,0,0
2026-03-13,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,190.0,0.0,191.0,182.0,182.0,-8.0,1425200,267744200,70,173.3,185,3500,182,207100,3410979825,3410979825,836263368,0,136200,0,0,0
2026-03-12,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,186.0,0.0,194.0,184.0,190.0,4.0,1191400,223526000,70,181.0,190,280700,186,80300,3410974825,3410974825,836263368,0,110100,0,0,0
2026-03-11,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,186.0,0.0,198.0,186.0,186.0,0.0,1634000,314716400,130,177.1,191,500,186,523300,3410972325,3410972325,836263368,106400,398400,0,0,0
2026-03-10,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,185.0,183.0,194.0,183.0,186.0,1.0,1250300,237505800,183,177.1,192,5500,186,500,3410972325,3410972325,836263368,0,293400,0,0,0
2026-03-09,MGNA,Magna Investama Mandiri Tbk.,--UO2130000000E512------------,198.0,199.0,199.0,183.0,185.0,-13.0,2799000,520760300,119,176.2,185,5200,183,172600,3410972325,3410972325,836263368,0,718000,0,0,0
