Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23450.0,0.0,23425.0,23400.0,23425.0,-25.0,6000,140475000,60,1115.5,23425,100,22475,100,948194000,948194000,72062744,6000,0,274400,6173680000,4
2026-03-10,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23475.0,0.0,23450.0,23400.0,23450.0,-25.0,6000,140587500,60,1116.7,23450,300,22575,100,948194000,948194000,72062744,0,6000,338700,8109850000,5
2026-03-09,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23500.0,0.0,23475.0,23300.0,23475.0,-25.0,6100,142955000,61,1117.9,23450,200,22575,200,948194000,948194000,72062744,6000,0,139800,3113070000,3
2026-03-06,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23525.0,0.0,23500.0,22100.0,23500.0,-25.0,7300,170465000,71,1119.0,23500,300,22475,200,948194000,948194000,72062744,0,6600,16000,428800000,1
2026-03-05,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23575.0,0.0,23550.0,23500.0,23525.0,-50.0,6700,157667500,63,1120.2,23525,200,23400,100,948194000,948194000,72062744,6000,200,200000,4245000000,1
2026-03-04,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23675.0,0.0,23625.0,23575.0,23575.0,-100.0,6100,144032500,61,1122.6,23550,400,22550,300,948194000,948194000,72062744,0,6000,881500,23629450000,6
2026-03-03,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23600.0,0.0,23675.0,23600.0,23675.0,75.0,6000,141825000,60,1127.4,23650,400,22400,300,948194000,948194000,72062744,6000,0,115000,2543000000,2
2026-03-02,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23600.0,0.0,23600.0,23500.0,23600.0,0.0,6200,145945000,61,1123.8,23575,100,23100,100,948194000,948194000,72062744,0,6000,44200,1012180000,1
2026-02-27,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23625.0,0.0,23600.0,23550.0,23600.0,-25.0,6000,141487500,60,1123.8,23625,100,22775,300,948194000,948194000,72062744,6000,0,39200,946680000,1
2026-02-26,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23625.0,0.0,23625.0,23600.0,23625.0,0.0,6100,144037500,61,1125.0,23650,300,23350,100,948194000,948194000,72062744,0,6000,175100,4189730000,3
2026-02-25,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23650.0,0.0,23625.0,23600.0,23625.0,-25.0,6100,144037500,61,1125.0,23625,200,23600,400,948194000,948194000,72062744,0,6100,779500,17562350000,7
2026-02-24,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23700.0,0.0,23650.0,23375.0,23650.0,-50.0,8000,188577500,69,1126.2,23675,200,23400,100,948194000,948194000,72062744,6300,0,250000,6950000000,1
2026-02-23,MKPI,Metropolitan Kentjana Tbk.,--UO2135000000H111------------,23675.0,0.0,23725.0,23700.0,23700.0,25.0,6200,147052500,62,1128.6,23725,1400,23425,100,948194000,948194000,72062744,100,6000,189000,4082700000,3
