Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-26,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,6050.0,6050.0,6150.0,6050.0,6075.0,25.0,30800,187075000,51,38694.3,6075,6800,6050,11900,2107000000,2107000000,201639900,7800,2800,252900,1530045000,1
2026-05-22,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5975.0,5975.0,6150.0,5925.0,6150.0,175.0,81400,492875000,137,39172.0,6150,14500,6025,200,2107000000,2107000000,201639900,11400,40500,0,0,0
2026-05-21,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,6025.0,6025.0,6050.0,5925.0,5975.0,-50.0,31000,184802500,103,38057.3,5975,5500,5950,400,2107000000,2107000000,201639900,7200,7600,0,0,0
2026-05-20,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5925.0,0.0,6050.0,5925.0,6025.0,100.0,55400,332050000,90,38375.8,6025,5000,6000,11000,2107000000,2107000000,201639900,8700,22100,0,0,0
2026-05-19,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5925.0,5900.0,6125.0,5900.0,5925.0,0.0,180200,1082772500,130,37738.9,6000,100,5925,600,2107000000,2107000000,201639900,81100,122000,0,0,0
2026-05-18,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,6125.0,6025.0,6025.0,5875.0,5925.0,-200.0,194800,1151457500,160,37738.9,5925,7600,5875,5900,2107000000,2107000000,201639900,31200,134300,0,0,0
2026-05-13,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,6275.0,6200.0,6300.0,6000.0,6125.0,-150.0,85600,524392500,157,39012.7,6150,1000,6125,3600,2107000000,2107000000,201639900,16900,21900,0,0,0
2026-05-12,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,6050.0,6075.0,6400.0,6075.0,6275.0,225.0,466900,2925125000,414,39968.2,6300,23400,6275,400,2107000000,2107000000,201639900,57500,137300,0,0,0
2026-05-11,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5900.0,5900.0,6125.0,5900.0,6050.0,150.0,189600,1146932500,224,38535.0,6075,19900,6050,8700,2107000000,2107000000,201639900,6000,48800,0,0,0
2026-05-08,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5875.0,5900.0,6025.0,5900.0,5900.0,25.0,184400,1101325000,147,37579.6,5950,2600,5900,2100,2107000000,2107000000,201639900,1600,66300,0,0,0
2026-05-07,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5875.0,5900.0,5925.0,5850.0,5875.0,0.0,108500,639225000,109,37420.4,5925,11600,5875,2600,2107000000,2107000000,201639900,9000,24900,0,0,0
2026-05-06,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5900.0,5900.0,5950.0,5825.0,5875.0,-25.0,5101300,29843377500,290,37420.4,5875,800,5850,50000,2107000000,2107000000,201639900,5100,5011200,0,0,0
2026-05-05,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5850.0,5850.0,5900.0,5850.0,5900.0,50.0,64800,380877500,70,37579.6,5900,25700,5875,100,2107000000,2107000000,201639900,7400,25300,0,0,0
2026-05-04,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5825.0,5850.0,5875.0,5775.0,5850.0,25.0,145100,847067500,124,37261.1,5875,10300,5850,100,2107000000,2107000000,201639900,100,118200,0,0,0
2026-04-30,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5800.0,5800.0,5825.0,5750.0,5825.0,25.0,1593900,9241235000,140,37101.9,5825,9300,5800,500,2107000000,2107000000,201639900,1457800,1409000,0,0,0
2026-04-29,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5750.0,0.0,5800.0,5725.0,5800.0,50.0,334700,1923507500,52,36942.7,5800,25400,5775,7200,2107000000,2107000000,201639900,34200,222800,0,0,0
2026-04-28,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5750.0,5775.0,5775.0,5750.0,5750.0,0.0,81200,467842500,55,36624.2,5800,29500,5750,500,2107000000,2107000000,201639900,100,27600,0,0,0
2026-04-27,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5750.0,5750.0,5800.0,5725.0,5750.0,0.0,50800,292767500,53,36624.2,5775,36000,5750,100,2107000000,2107000000,201639900,30700,27800,0,0,0
2026-04-24,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5775.0,0.0,5775.0,5725.0,5750.0,-25.0,291500,1674707500,91,36624.2,5775,92400,5725,44100,2107000000,2107000000,201639900,200,246300,0,0,0
2026-04-23,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5775.0,0.0,5800.0,5750.0,5775.0,0.0,16000,92290000,47,36783.4,5775,800,5750,11900,2107000000,2107000000,201639900,1200,1000,0,0,0
2026-04-22,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5750.0,0.0,5775.0,5725.0,5775.0,25.0,133700,768897500,37,36783.4,5775,600,5750,7000,2107000000,2107000000,201639900,800,53300,0,0,0
2026-04-21,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5775.0,0.0,5775.0,5750.0,5750.0,-25.0,9400,54052500,24,36624.2,5750,4000,5725,6000,2107000000,2107000000,201639900,4900,0,0,0,0
2026-04-20,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5750.0,0.0,5775.0,5725.0,5775.0,25.0,90200,518530000,58,36783.4,5775,4200,5750,400,2107000000,2107000000,201639900,0,22100,0,0,0
2026-04-17,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5725.0,0.0,5775.0,5725.0,5750.0,25.0,99900,573362500,34,36624.2,5750,4200,5725,300,2107000000,2107000000,201639900,0,48500,0,0,0
2026-04-16,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5725.0,0.0,5775.0,5725.0,5725.0,0.0,92400,530145000,52,36465.0,5750,6500,5725,400,2107000000,2107000000,201639900,0,56600,300000,1717500000,1
2026-04-15,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5725.0,5750.0,5750.0,5725.0,5725.0,0.0,247800,1421675000,124,36465.0,5750,35400,5725,45000,2107000000,2107000000,201639900,99200,115000,0,0,0
2026-04-14,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5700.0,0.0,5750.0,5675.0,5725.0,25.0,24100,137800000,49,36465.0,5750,12300,5700,4900,2107000000,2107000000,201639900,200,20500,0,0,0
2026-04-13,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5700.0,5700.0,5700.0,5675.0,5700.0,0.0,26700,151737500,46,36305.7,5700,5800,5675,100,2107000000,2107000000,201639900,16700,22200,0,0,0
2026-04-10,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,0.0,5700.0,5575.0,5700.0,25.0,58000,328712500,77,36305.7,5700,29000,5600,500,2107000000,2107000000,201639900,9400,20500,0,0,0
2026-04-09,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,5725.0,5725.0,5575.0,5675.0,50.0,15000,85625000,41,36146.5,5675,6300,5625,500,2107000000,2107000000,201639900,400,2300,0,0,0
2026-04-08,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5550.0,5550.0,5625.0,5550.0,5625.0,75.0,7300,40695000,13,35828.0,5650,1600,5625,100,2107000000,2107000000,201639900,0,0,0,0,0
2026-04-07,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,5550.0,5600.0,5525.0,5550.0,-50.0,9400,52172500,25,35350.3,5575,600,5525,5600,2107000000,2107000000,201639900,0,0,0,0,0
2026-04-06,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5575.0,5600.0,5600.0,5500.0,5600.0,25.0,24800,137850000,58,35668.8,5600,3200,5525,200,2107000000,2107000000,201639900,11200,5600,0,0,0
2026-04-02,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5525.0,0.0,5750.0,5550.0,5575.0,50.0,184300,1041777500,120,35509.6,5625,100,5575,3400,2107000000,2107000000,201639900,15000,28800,0,0,0
2026-04-01,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,5500.0,5650.0,5500.0,5525.0,-100.0,131600,733595000,283,35191.1,5600,300,5525,12400,2107000000,2107000000,201639900,8900,36400,0,0,0
2026-03-31,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5550.0,0.0,5625.0,5525.0,5625.0,75.0,14200,79572500,40,35828.0,5625,52700,5575,100,2107000000,2107000000,201639900,200,2300,0,0,0
2026-03-30,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5550.0,5550.0,5650.0,5500.0,5550.0,0.0,64500,359380000,159,35350.3,5575,25300,5500,10600,2107000000,2107000000,201639900,6200,46700,0,0,0
2026-03-27,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,5600.0,5625.0,5550.0,5550.0,-75.0,181500,1013675000,156,35350.3,5650,62300,5550,451200,2107000000,2107000000,201639900,76600,99200,0,0,0
2026-03-26,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,5575.0,5675.0,5575.0,5625.0,-25.0,94900,534912500,135,35828.0,5625,500,5575,3500,2107000000,2107000000,201639900,9400,8200,0,0,0
2026-03-25,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5525.0,0.0,5650.0,5550.0,5650.0,125.0,288700,1615602500,205,35987.3,5650,106700,5625,24500,2107000000,2107000000,201639900,163400,205100,0,0,0
2026-03-17,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5425.0,0.0,5525.0,5450.0,5525.0,100.0,312100,1721127500,115,35191.1,5550,81800,5500,7200,2107000000,2107000000,201639900,99500,225000,0,0,0
2026-03-16,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5400.0,5475.0,5550.0,5375.0,5425.0,25.0,297700,1614900000,212,34554.1,5425,2600,5375,15100,2107000000,2107000000,201639900,234900,106400,0,0,0
2026-03-13,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5450.0,0.0,5500.0,5375.0,5400.0,-50.0,67300,365500000,67,34394.9,5425,50000,5400,10000,2107000000,2107000000,201639900,0,30200,0,0,0
2026-03-12,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5350.0,5350.0,5450.0,5350.0,5450.0,100.0,121100,653872500,68,34713.4,5450,26100,5400,1200,2107000000,2107000000,201639900,100000,96000,0,0,0
2026-03-11,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5475.0,5475.0,5500.0,5350.0,5350.0,-125.0,312600,1681920000,819,34076.4,5375,200,5350,1100,2107000000,2107000000,201639900,0,143900,0,0,0
2026-03-10,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5450.0,5425.0,5475.0,5400.0,5475.0,25.0,458400,2493505000,277,34872.6,5475,55000,5450,1000,2107000000,2107000000,201639900,313100,400100,0,0,0
2026-03-09,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5450.0,5450.0,5475.0,5400.0,5450.0,0.0,917600,4990565000,169,34713.4,5450,1900,5425,6800,2107000000,2107000000,201639900,239900,678600,0,0,0
2026-03-06,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5550.0,5550.0,5550.0,5450.0,5450.0,-100.0,182300,1001317500,547,34713.4,5500,19700,5450,363900,2107000000,2107000000,201639900,71000,108500,0,0,0
2026-03-05,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5500.0,0.0,5575.0,5475.0,5550.0,50.0,119400,657162500,476,35350.3,5550,38800,5475,10400,2107000000,2107000000,201639900,800,51000,0,0,0
2026-03-04,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,0.0,5600.0,5450.0,5500.0,-100.0,486000,2673202500,342,35031.8,5500,4600,5475,3400,2107000000,2107000000,201639900,22000,268400,0,0,0
2026-03-03,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,0.0,5650.0,5550.0,5600.0,0.0,147200,821997500,88,35668.8,5600,190900,5575,10000,2107000000,2107000000,201639900,72200,105700,0,0,0
2026-03-02,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,5625.0,5675.0,5525.0,5600.0,-25.0,325200,1818325000,131,35668.8,5625,62400,5600,36200,2107000000,2107000000,201639900,250000,83600,0,0,0
2026-02-27,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,0.0,5675.0,5575.0,5625.0,-25.0,128300,718777500,52,35828.0,5625,47200,5600,25000,2107000000,2107000000,201639900,56500,76900,0,0,0
2026-02-26,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,5675.0,5675.0,5625.0,5650.0,-25.0,62400,352467500,38,35987.3,5650,56400,5625,300,2107000000,2107000000,201639900,43800,50200,0,0,0
2026-02-25,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,0.0,5700.0,5650.0,5675.0,0.0,11400,64487500,18,36146.5,5675,22500,5650,10600,2107000000,2107000000,201639900,3100,900,0,0,0
2026-02-24,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,0.0,5700.0,5650.0,5675.0,0.0,5200,29452500,22,36146.5,5675,8500,5650,6100,2107000000,2107000000,201639900,1100,900,0,0,0
2026-02-23,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5700.0,5700.0,5750.0,5600.0,5675.0,-25.0,86900,489247500,48,36146.5,5675,7700,5650,6300,2107000000,2107000000,201639900,75900,9000,0,0,0
2026-02-20,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5700.0,5750.0,5750.0,5675.0,5700.0,0.0,20800,118617500,60,36305.7,5700,90900,5675,1600,2107000000,2107000000,201639900,16600,600,0,0,0
2026-02-19,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5700.0,5700.0,5750.0,5675.0,5700.0,0.0,25800,147390000,51,36305.7,5725,200,5675,5300,2107000000,2107000000,201639900,3400,16600,0,0,0
2026-02-18,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,0.0,5725.0,5625.0,5700.0,75.0,29900,169630000,30,36305.7,5700,7000,5675,4800,2107000000,2107000000,201639900,5100,23500,0,0,0
2026-02-13,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,0.0,5725.0,5600.0,5625.0,-25.0,19400,109460000,47,35828.0,5650,3800,5625,9000,2107000000,2107000000,201639900,900,700,0,0,0
2026-02-12,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5550.0,5650.0,5700.0,5600.0,5650.0,100.0,60500,342385000,39,35987.3,5700,2800,5650,300,2107000000,2107000000,201639900,0,0,0,0,0
2026-02-11,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,0.0,5675.0,5550.0,5550.0,-50.0,75600,422352500,197,35350.3,5650,1300,5575,600,2107000000,2107000000,201639900,500,4800,0,0,0
2026-02-10,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,0.0,5700.0,5575.0,5600.0,0.0,64000,362595000,46,35668.8,5650,1500,5600,900,2107000000,2107000000,201639900,48600,0,0,0,0
2026-02-09,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,0.0,5650.0,5550.0,5600.0,-25.0,38900,216507500,59,35668.8,5625,200,5550,30800,2107000000,2107000000,201639900,1600,4500,0,0,0
2026-02-06,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,5600.0,5675.0,5600.0,5625.0,25.0,73300,411215000,135,35828.0,5650,40500,5625,2000,2107000000,2107000000,201639900,42300,100,0,0,0
2026-02-05,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5575.0,5625.0,5625.0,5575.0,5600.0,25.0,27800,155640000,38,35668.8,5625,7100,5600,4400,2107000000,2107000000,201639900,3500,0,0,0,0
2026-02-04,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,0.0,5625.0,5550.0,5575.0,-25.0,33700,187412500,51,35509.6,5600,9800,5575,7400,2107000000,2107000000,201639900,1600,600,0,0,0
2026-02-03,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5525.0,5525.0,5600.0,5525.0,5600.0,75.0,92200,513420000,92,35668.8,5600,3900,5575,200,2107000000,2107000000,201639900,2500,49000,0,0,0
2026-02-02,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5575.0,5600.0,5600.0,5475.0,5525.0,-50.0,226100,1249710000,150,35191.1,5550,75100,5525,42100,2107000000,2107000000,201639900,13400,115900,0,0,0
2026-01-30,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,5600.0,5725.0,5550.0,5575.0,-25.0,111200,624600000,75,35509.6,5625,10000,5575,3600,2107000000,2107000000,201639900,24600,86900,0,0,0
2026-01-29,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5600.0,5575.0,5600.0,5000.0,5600.0,0.0,396800,2160567500,341,35668.8,5600,1900,5475,5800,2107000000,2107000000,201639900,199400,153200,0,0,0
2026-01-28,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,5600.0,5675.0,5575.0,5600.0,-25.0,632900,3543655000,221,35668.8,5625,31900,5600,2600,2107000000,2107000000,201639900,13100,519100,0,0,0
2026-01-27,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5625.0,0.0,5825.0,5575.0,5625.0,0.0,915000,5144970000,499,35828.0,5625,15400,5600,21500,2107000000,2107000000,201639900,39800,563100,10000,41500000,1
2026-01-26,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,5650.0,5675.0,5600.0,5625.0,-25.0,135500,761925000,90,35828.0,5625,3000,5600,238000,2107000000,2107000000,201639900,1000,54800,0,0,0
2026-01-23,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,5675.0,5675.0,5625.0,5650.0,-25.0,59900,338465000,47,35987.3,5650,5500,5625,27400,2107000000,2107000000,201639900,200,0,0,0,0
2026-01-22,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,0.0,5675.0,5625.0,5675.0,25.0,54600,308155000,48,36146.5,5675,64600,5625,31000,2107000000,2107000000,201639900,0,1700,0,0,0
2026-01-21,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,0.0,5675.0,5600.0,5650.0,0.0,172200,969835000,125,35987.3,5650,16500,5625,16300,2107000000,2107000000,201639900,0,49700,0,0,0
2026-01-20,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,5650.0,5700.0,5600.0,5650.0,0.0,164400,927865000,142,35987.3,5650,8100,5625,34400,2107000000,2107000000,201639900,60000,28600,0,0,0
2026-01-19,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,0.0,5700.0,5650.0,5650.0,-25.0,94600,536502500,280,35987.3,5700,20100,5650,77000,2107000000,2107000000,201639900,0,41100,0,0,0
2026-01-15,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,0.0,5700.0,5650.0,5675.0,25.0,110700,628085000,82,36146.5,5700,6900,5675,21800,2107000000,2107000000,201639900,100,100,0,0,0
2026-01-14,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5650.0,5725.0,5725.0,5650.0,5650.0,0.0,89700,510035000,46,35987.3,5700,23300,5650,21400,2107000000,2107000000,201639900,28200,30800,0,0,0
2026-01-13,MLBI,Multi Bintang Indonesia Tbk.,--UO1105000000D211------------,5675.0,5675.0,5725.0,5650.0,5650.0,-25.0,71600,405455000,68,35987.3,5650,2000,5625,17000,2107000000,2107000000,201639900,100,5000,0,0,0
