Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-26,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,220.0,224.0,230.0,218.0,226.0,6.0,4334400,969881000,516,45.3,228,9100,226,58100,2724036581,2724036581,223643403,655400,977300,0,0,0
2026-05-22,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,222.0,222.0,238.0,220.0,230.0,8.0,4143700,933362600,584,46.1,230,127700,226,76900,2724036581,2724036581,223643403,1068300,767700,0,0,0
2026-05-21,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,236.0,238.0,240.0,220.0,222.0,-14.0,3667800,828358800,522,44.5,222,243300,220,420200,2724036581,2724036581,223643403,802200,799800,0,0,0
2026-05-20,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,234.0,234.0,244.0,218.0,236.0,2.0,7255200,1664187200,715,47.3,240,143500,236,14400,2724036581,2724036581,223643403,1649700,2119600,0,0,0
2026-05-19,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,262.0,0.0,268.0,230.0,234.0,-28.0,12516400,3046640400,1177,46.9,234,16600,232,3600,2724036581,2724036581,223643403,1163900,3191400,0,0,0
2026-05-18,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,274.0,258.0,268.0,256.0,262.0,-12.0,5339200,1393423800,647,52.5,266,200,262,28500,2724036581,2724036581,223643403,1007200,1000200,0,0,0
2026-05-13,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,270.0,268.0,284.0,258.0,274.0,4.0,12484900,3377625000,1109,55.0,276,19000,274,66100,2724036581,2724036581,223643403,2472400,2480200,0,0,0
2026-05-12,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,276.0,276.0,280.0,264.0,270.0,-6.0,7621200,2064300800,778,54.2,270,43200,268,39100,2724036581,2724036581,223643403,1554300,950900,0,0,0
2026-05-11,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,272.0,272.0,284.0,266.0,276.0,4.0,9257900,2538841000,1084,55.4,276,36700,274,75000,2724036581,2724036581,223643403,619700,2740300,0,0,0
2026-05-08,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,292.0,292.0,292.0,264.0,272.0,-20.0,18419800,5131617800,1703,54.6,272,94500,270,7463000,2724036581,2724036581,223643403,335400,3036700,0,0,0
2026-05-07,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,302.0,302.0,306.0,286.0,292.0,-10.0,13416000,3934579800,1500,58.6,292,1131100,290,4887800,2724036581,2724036581,223643403,272400,1140500,0,0,0
2026-05-06,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,292.0,292.0,318.0,284.0,302.0,10.0,28582900,8701123800,3182,60.6,304,118400,302,59500,2724036581,2724036581,223643403,2620400,4151300,0,0,0
2026-05-05,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,292.0,292.0,296.0,286.0,292.0,0.0,5032100,1455647200,929,58.6,292,103600,290,4035400,2724036581,2724036581,223643403,203800,945500,0,0,0
2026-05-04,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,294.0,294.0,306.0,284.0,292.0,-2.0,13032500,3823471800,1986,58.6,292,98200,290,3982100,2724036581,2724036581,223643403,1835700,571900,0,0,0
2026-04-30,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,284.0,288.0,308.0,276.0,294.0,10.0,36621100,10760359000,3725,59.0,294,200600,292,5570200,2724036581,2724036581,223643403,3953000,4664400,0,0,0
2026-04-29,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,262.0,262.0,290.0,260.0,284.0,22.0,18020500,5001373200,2017,57.0,284,275000,282,3949200,2724036581,2724036581,223643403,283300,1801700,0,0,0
2026-04-28,MOLI,Madusari Murni Indah Tbk.,--MO2100000000B111------------,262.0,262.0,264.0,256.0,262.0,0.0,2667100,692942600,267,52.5,262,252500,260,104000,2724036581,2724036581,223643403,32900,298600,0,0,0
