Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-11,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,83.0,84.0,91.0,84.0,88.0,5.0,26739100,2372957000,1907,32.8,89,38700,88,734400,1562574308,1562574308,487523184,42400,279400,0,0,0
2026-05-08,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,87.0,91.0,83.0,83.0,-4.0,15479300,1344313900,1238,31.0,84,57500,83,376100,1562574308,1562574308,487523184,31500,6700,15,1200,1
2026-05-07,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,85.0,86.0,93.0,85.0,87.0,2.0,25752100,2263357300,1916,32.5,87,850100,86,83400,1562574308,1562574308,487523184,78700,55400,0,0,0
2026-05-06,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,84.0,86.0,83.0,85.0,1.0,3631000,306709000,441,31.7,86,531500,85,73700,1562574308,1562574308,487523184,10800,4400,0,0,0
2026-05-05,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,84.0,86.0,84.0,84.0,0.0,4474600,378479600,429,31.3,84,700,83,819400,1562574308,1562574308,487523184,41000,20700,0,0,0
2026-05-04,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,83.0,85.0,86.0,83.0,84.0,1.0,3238100,274327800,408,31.3,85,22100,84,357300,1562574308,1562574308,487523184,40800,95700,0,0,0
2026-04-30,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,87.0,87.0,83.0,83.0,-4.0,5603300,474459800,585,31.0,85,390400,83,450300,1562574308,1562574308,487523184,30500,19900,0,0,0
2026-04-29,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,87.0,88.0,84.0,87.0,0.0,7326400,629676000,885,32.5,87,487400,86,1200,1562574308,1562574308,487523184,0,10000,0,0,0
2026-04-28,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,92.0,92.0,98.0,85.0,87.0,-5.0,37000100,3355462300,3068,32.5,87,594700,86,150500,1562574308,1562574308,487523184,1700,5000,0,0,0
2026-04-27,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,79.0,79.0,100.0,79.0,92.0,13.0,110440900,10180932600,7895,34.3,92,59500,91,559200,1562574308,1562574308,487523184,205900,11000,100,8700,1
2026-04-24,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,85.0,86.0,87.0,78.0,79.0,-6.0,14678800,1186938400,1123,29.5,80,254300,79,264300,1562574308,1562574308,487523184,105200,39000,0,0,0
2026-04-23,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,88.0,89.0,90.0,85.0,85.0,-3.0,4910700,426648200,634,31.7,87,207300,85,406200,1562574308,1562574308,487523184,384000,70100,0,0,0
2026-04-22,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,88.0,91.0,87.0,88.0,1.0,14379800,1273733900,1019,32.8,89,139100,88,699900,1562574308,1562574308,487523184,0,148700,0,0,0
2026-04-21,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,89.0,90.0,86.0,87.0,0.0,5265600,458560700,584,32.5,88,154300,87,387500,1562574308,1562574308,487523184,141000,0,0,0,0
2026-04-20,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,86.0,86.0,93.0,85.0,87.0,1.0,11093500,986735500,1103,32.5,88,363400,87,26800,1562574308,1562574308,487523184,434800,43000,0,0,0
2026-04-17,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,85.0,86.0,87.0,85.0,86.0,1.0,5222300,449289700,560,32.1,87,124700,86,62300,1562574308,1562574308,487523184,9900,210100,0,0,0
2026-04-16,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,88.0,89.0,85.0,85.0,-2.0,6131200,530384800,625,31.7,86,587300,85,1164300,1562574308,1562574308,487523184,113900,0,0,0,0
2026-04-15,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,86.0,93.0,84.0,87.0,3.0,21542200,1897583900,1612,32.5,88,430400,87,516300,1562574308,1562574308,487523184,341400,38700,0,0,0
2026-04-14,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,83.0,83.0,86.0,81.0,84.0,1.0,9342200,780141300,861,31.3,85,419700,84,733800,1562574308,1562574308,487523184,47700,9200,0,0,0
2026-04-13,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,80.0,80.0,84.0,80.0,83.0,3.0,6504800,533360600,619,31.0,83,33300,82,630900,1562574308,1562574308,487523184,1300,3200,0,0,0
2026-04-10,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,80.0,80.0,83.0,78.0,80.0,0.0,11683800,936763600,808,29.9,81,77000,80,181200,1562574308,1562574308,487523184,283400,0,0,0,0
2026-04-09,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,80.0,80.0,81.0,78.0,80.0,0.0,3866900,306149200,404,29.9,80,585500,79,5000,1562574308,1562574308,487523184,1700,0,0,0,0
2026-04-08,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,77.0,78.0,80.0,77.0,80.0,3.0,4326300,340289600,437,29.9,80,176500,79,319100,1562574308,1562574308,487523184,0,97400,0,0,0
2026-04-07,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,83.0,84.0,77.0,77.0,-4.0,5668500,451614300,551,28.7,80,332900,77,1317200,1562574308,1562574308,487523184,231400,105100,0,0,0
2026-04-06,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,80.0,79.0,82.0,75.0,81.0,1.0,9905800,783996700,685,30.2,81,162800,80,492500,1562574308,1562574308,487523184,210800,251100,0,0,0
2026-04-02,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,83.0,83.0,86.0,79.0,80.0,-3.0,5829600,475669500,707,29.9,81,80500,80,45900,1562574308,1562574308,487523184,98100,197300,0,0,0
2026-04-01,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,83.0,86.0,82.0,83.0,-1.0,3272300,274569100,443,31.0,84,295300,83,122300,1562574308,1562574308,487523184,21300,138700,0,0,0
2026-03-31,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,86.0,87.0,87.0,83.0,84.0,-2.0,4026300,342169400,326,31.3,85,85700,84,105000,1562574308,1562574308,487520513,87100,468500,0,0,0
2026-03-30,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,86.0,84.0,87.0,82.0,86.0,0.0,2251600,190451700,367,32.1,87,199800,86,83800,1562574308,1562574308,487520513,119200,0,0,0,0
2026-03-27,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,85.0,89.0,84.0,86.0,2.0,7946800,686648000,631,32.1,86,772500,85,1000,1562574308,1562574308,487520513,770100,325500,0,0,0
2026-03-26,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,87.0,88.0,89.0,84.0,84.0,-3.0,5548700,480533500,599,31.3,85,31500,84,210300,1562574308,1562574308,487520513,1712500,325600,0,0,0
2026-03-25,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,84.0,81.0,87.0,81.0,87.0,3.0,5437400,464818300,495,32.5,87,231500,86,60400,1562574308,1562574308,487520513,21900,2490600,800000,76800000,1
2026-03-17,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,81.0,86.0,81.0,84.0,3.0,3552200,296306600,372,31.3,84,7500,83,402600,1562574308,1562574308,487520513,171900,83200,0,0,0
2026-03-16,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,83.0,84.0,85.0,79.0,81.0,-2.0,9414300,772363800,718,30.2,82,300600,81,159700,1562574308,1562574308,487520513,1724700,704500,0,0,0
2026-03-13,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,89.0,88.0,92.0,83.0,83.0,-6.0,11967600,1017900200,917,31.0,84,165000,83,522300,1562574308,1562574308,487520513,2529900,913800,0,0,0
2026-03-12,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,89.0,89.0,103.0,87.0,89.0,0.0,43400000,4105149000,2962,33.2,89,269900,88,103600,1562574308,1562574308,487520513,6060800,6108500,0,0,0
2026-03-11,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,88.0,88.0,93.0,88.0,89.0,1.0,8057200,730262500,702,33.2,90,111100,89,795100,1562574308,1562574308,487520513,453100,2040000,0,0,0
2026-03-10,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,86.0,89.0,92.0,85.0,88.0,2.0,21081800,1869528000,1410,32.8,88,58600,87,531800,1562574308,1562574308,487520513,4781900,2278900,0,0,0
2026-03-09,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,97.0,87.0,90.0,83.0,86.0,-11.0,29670100,2525390900,1671,32.1,86,357900,84,500100,1562574308,1562574308,487520513,6839200,4087000,0,0,0
2026-03-06,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,94.0,93.0,100.0,93.0,97.0,3.0,14971900,1452746500,1331,36.2,98,886300,97,10100,1562574308,1562574308,487520513,1172600,2769300,0,0,0
2026-03-05,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,93.0,96.0,99.0,93.0,94.0,1.0,11393400,1085344600,987,35.1,95,172300,94,178200,1562574308,1562574308,487520513,99800,2499700,0,0,0
2026-03-04,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,97.0,120.0,120.0,93.0,93.0,-4.0,64739200,6636033600,4082,34.7,94,141800,93,483100,1562574308,1562574308,487520513,5780200,3772600,0,0,0
2026-03-03,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,92.0,94.0,100.0,94.0,97.0,5.0,16445500,1604459500,1317,36.2,97,230900,96,1111500,1562574308,1562574308,487520513,525200,2546800,0,0,0
2026-03-02,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,98.0,92.0,108.0,87.0,92.0,-6.0,58504800,5756003000,3931,34.3,93,5600,92,360300,1562574308,1562574308,487520513,3493000,3959500,0,0,0
2026-02-27,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,99.0,100.0,100.0,95.0,98.0,-1.0,18159000,1750574400,1220,36.6,98,90300,97,25100,1562574308,1562574308,487520513,145800,661300,0,0,0
2026-02-26,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,104.0,105.0,105.0,95.0,99.0,-5.0,40830900,4055957800,3256,36.9,99,20900,98,51400,1562574308,1562574308,487520513,999500,754200,0,0,0
2026-02-25,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,94.0,94.0,114.0,94.0,104.0,10.0,258193400,27175520200,14701,38.8,105,1473500,104,35900,1562574308,1562574308,487520513,8942700,5940900,0,0,0
2026-02-24,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,101.0,101.0,102.0,92.0,94.0,-7.0,53789300,5201624100,3445,35.1,94,120800,93,725500,1562574308,1562574308,487520513,1376600,2889600,0,0,0
2026-02-23,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,97.0,100.0,108.0,97.0,101.0,4.0,117607100,12189652200,7240,37.7,101,1466700,100,1280100,1562574308,1562574308,487520513,4109300,5239000,0,0,0
2026-02-20,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,92.0,91.0,103.0,91.0,97.0,5.0,92827100,9050995300,6648,36.2,98,209700,96,131000,1562574308,1562574308,487520513,3524700,5416600,0,0,0
2026-02-19,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,91.0,91.0,99.0,87.0,92.0,1.0,117157100,10861514100,7433,34.3,92,2386200,91,1240000,1562574308,1562574308,487520513,4196500,3082200,0,0,0
2026-02-18,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,82.0,106.0,80.0,91.0,10.0,323646200,31632828000,20165,34.0,91,1557600,90,299000,1562574308,1562574308,487520513,9231400,8935100,0,0,0
2026-02-13,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,82.0,85.0,85.0,78.0,81.0,-1.0,22481500,1830235900,1619,30.2,82,348500,81,708300,1562574308,1562574308,487520513,58600,53800,0,0,0
2026-02-12,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,82.0,85.0,79.0,82.0,1.0,34726500,2851733700,2578,30.6,82,1396500,81,19600,1562574308,1562574308,487520513,347700,1473800,0,0,0
2026-02-11,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,80.0,80.0,82.0,78.0,81.0,1.0,26217900,2100001900,1916,30.2,81,918900,80,841600,1562574308,1562574308,487520513,167500,547800,0,0,0
2026-02-10,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,81.0,85.0,77.0,80.0,-1.0,40175900,3259130600,3265,29.9,80,982100,79,1364700,1562573929,1562573929,487520513,848500,0,0,0,0
2026-02-09,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,76.0,76.0,96.0,71.0,81.0,5.0,207931400,17912384100,13156,30.2,82,363800,81,622800,1562573147,1562573147,487520513,66600,985900,0,0,0
2026-02-06,MPIX,Mitra Pedagang Indonesia Tbk.,--UO2130000000I111------------,81.0,80.0,80.0,75.0,76.0,-5.0,16559600,1282398700,1294,28.4,76,296800,75,947200,1562572940,1562572940,487520513,329300,74300,0,0,0
