Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,442.0,442.0,450.0,430.0,450.0,8.0,404700,176967800,162,69.2,450,59200,436,3100,428000000,428000000,120139600,11900,0,0,0,0
2026-05-26,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,440.0,440.0,450.0,440.0,442.0,2.0,415200,184514800,173,68.0,442,5800,440,22400,428000000,428000000,120139600,0,0,0,0,0
2026-05-25,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,416.0,416.0,440.0,410.0,440.0,24.0,404000,171291400,110,67.7,440,24300,438,2900,428000000,428000000,120139600,0,0,0,0,0
2026-05-22,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,430.0,0.0,430.0,416.0,416.0,-14.0,252600,106178400,45,64.0,420,35700,416,64100,428000000,428000000,120139600,40600,0,0,0,0
2026-05-21,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,438.0,438.0,448.0,430.0,430.0,-8.0,432000,189822000,95,66.2,434,125100,430,14800,428000000,428000000,120139600,1000,0,0,0,0
2026-05-20,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,438.0,440.0,442.0,428.0,438.0,0.0,192100,83768000,106,67.4,438,80500,436,1000,428000000,428000000,120139600,2200,0,0,0,0
2026-05-19,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,438.0,0.0,440.0,428.0,438.0,0.0,243400,105838800,98,67.4,438,4600,430,5500,428000000,428000000,120139600,0,0,0,0,0
2026-05-18,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,440.0,440.0,440.0,422.0,438.0,-2.0,268000,114548800,103,67.4,438,15100,436,200,428000000,428000000,120139600,4700,0,0,0,0
2026-05-13,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,434.0,434.0,442.0,432.0,440.0,6.0,378800,165651200,124,67.7,440,21700,438,100,428000000,428000000,120139600,0,0,0,0,0
2026-05-12,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,434.0,0.0,434.0,428.0,434.0,0.0,236000,101501200,78,66.8,434,40900,432,2600,428000000,428000000,120139600,0,0,0,0,0
2026-05-11,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,436.0,436.0,436.0,428.0,434.0,-2.0,234300,101190600,101,66.8,434,1700,432,19100,428000000,428000000,120139600,0,0,0,0,0
2026-05-08,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,440.0,440.0,440.0,434.0,436.0,-4.0,269700,117637800,73,67.1,438,20700,436,11500,428000000,428000000,120139600,0,0,0,0,0
2026-05-07,MRAT,Mustika Ratu Tbk.,--UO2130000000D421---L--------,428.0,422.0,440.0,416.0,440.0,12.0,639500,275442000,153,67.7,440,26200,432,500,428000000,428000000,120139600,0,0,0,0,0
