Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO2100000000G414---L--------,985.0,985.0,985.0,970.0,985.0,0.0,51400,50242500,36,89.3,985,108100,980,100,517791681,517791681,276811433,0,19100,0,0,0
2026-05-26,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,985.0,1000.0,1000.0,985.0,985.0,0.0,8800,8722500,18,89.3,990,100,985,7000,517791681,517791681,276811433,2300,0,0,0,0
2026-05-25,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,975.0,1015.0,1015.0,985.0,985.0,10.0,15900,15871000,28,89.3,1000,34900,985,1000,517791681,517791681,276811433,4200,0,0,0,0
2026-05-22,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,980.0,1005.0,1005.0,965.0,975.0,-5.0,88500,85745000,33,88.4,985,900,970,23400,517791681,517791681,276811433,62500,0,0,0,0
2026-05-21,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,975.0,1000.0,1005.0,970.0,980.0,5.0,54900,53757500,43,88.9,985,1800,980,200,517791681,517791681,276811433,300,29800,0,0,0
2026-05-20,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,995.0,0.0,995.0,965.0,975.0,-20.0,99000,96659500,43,88.4,985,64200,975,5000,517791681,517791681,276811433,22800,20000,0,0,0
2026-05-19,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,995.0,1020.0,1020.0,985.0,995.0,0.0,78800,79223500,62,90.3,995,26300,990,200,517791681,517791681,276811433,5100,15000,0,0,0
2026-05-18,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1015.0,0.0,1015.0,980.0,995.0,-20.0,45700,45060000,26,90.3,995,14500,990,3400,517791681,517791681,276811433,400,0,0,0,0
2026-05-13,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1010.0,1005.0,1015.0,980.0,1015.0,5.0,59300,58501000,28,92.1,1000,100,985,1000,517791681,517791681,276811433,0,20000,0,0,0
2026-05-12,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1000.0,1000.0,1030.0,1000.0,1010.0,10.0,76900,77196000,28,91.6,1010,47500,1000,2100,517791681,517791681,276811433,19000,20000,0,0,0
2026-05-11,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1000.0,1000.0,1000.0,975.0,1000.0,0.0,114700,113177500,52,90.7,1000,51600,985,13700,517791681,517791681,276811433,0,20000,0,0,0
2026-05-08,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1020.0,0.0,1045.0,985.0,1000.0,-20.0,67000,67518000,61,90.7,1000,72000,995,100,517791681,517791681,276811433,0,15000,0,0,0
2026-05-07,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1060.0,1060.0,1060.0,1020.0,1020.0,-40.0,43400,44822500,43,92.5,1040,1900,1020,27000,517791681,517791681,276811433,12300,15000,0,0,0
2026-05-06,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1060.0,1055.0,1060.0,1030.0,1060.0,0.0,34100,35658000,42,96.1,1055,15200,1035,100,517791681,517791681,276811433,0,20000,0,0,0
2026-05-05,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1040.0,1045.0,1060.0,1030.0,1060.0,20.0,54300,56499500,33,96.1,1040,800,1030,2200,517791681,517791681,276811433,0,20000,0,0,0
2026-05-04,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1060.0,1060.0,1070.0,1010.0,1040.0,-20.0,131700,135065500,57,94.3,1055,500,1040,900,517791681,517791681,276811433,0,19200,0,0,0
2026-04-30,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1045.0,1040.0,1060.0,1000.0,1060.0,15.0,174800,179214000,92,96.1,1060,10200,1025,100,517791681,517791681,276811433,0,15000,0,0,0
2026-04-29,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1035.0,0.0,1045.0,960.0,1045.0,10.0,237100,239145500,131,94.8,1045,600,1020,100,517791681,517791681,276811433,0,0,0,0,0
2026-04-28,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1015.0,1055.0,1085.0,1030.0,1035.0,20.0,50700,52783000,53,93.9,1035,200,1030,32500,517791681,517791681,276811433,1600,15000,0,0,0
2026-04-27,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1085.0,1050.0,1100.0,980.0,1015.0,-70.0,140800,143204000,187,92.1,1040,100,1015,10400,517791681,517791681,276811433,600,0,0,0,0
2026-04-24,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1075.0,1075.0,1090.0,1025.0,1085.0,10.0,88200,94296000,54,98.4,1080,4100,1055,200,517791681,517791681,276811433,57000,70000,0,0,0
2026-04-23,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1085.0,1095.0,1095.0,1000.0,1075.0,-10.0,64900,67510500,68,97.5,1065,900,1035,100,517791681,517791681,276811433,1500,20000,0,0,0
2026-04-22,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1070.0,0.0,1100.0,1035.0,1085.0,15.0,36100,38486500,62,98.4,1085,5200,1065,200,517791681,517791681,276811433,4800,0,0,0,0
2026-04-21,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1070.0,1100.0,1100.0,1035.0,1070.0,0.0,62600,65720500,52,97.1,1070,8400,1050,100,517791681,517791681,276811433,2000,0,0,0,0
2026-04-20,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1060.0,1105.0,1105.0,1030.0,1070.0,10.0,101500,107890000,51,97.1,1095,4000,1070,29600,517791681,517791681,276811433,2200,68100,0,0,0
2026-04-17,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1055.0,0.0,1075.0,1045.0,1060.0,5.0,24200,25539500,26,96.1,1060,7100,1040,200,517791681,517791681,276811433,2400,15000,0,0,0
2026-04-16,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1060.0,1085.0,1100.0,1020.0,1055.0,-5.0,26500,28250000,44,95.7,1075,4800,1055,100,517791681,517791681,276811433,10000,2000,0,0,0
2026-04-15,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1040.0,1050.0,1095.0,1010.0,1060.0,20.0,303300,319532500,132,96.1,1060,9000,1020,100,517791681,517791681,276811433,10700,200100,0,0,0
2026-04-14,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1005.0,1050.0,1050.0,1005.0,1040.0,35.0,100600,102715000,32,94.3,1035,5300,1020,500,517791681,517791681,276811433,0,0,0,0,0
2026-04-13,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1025.0,1050.0,1050.0,995.0,1005.0,-20.0,16500,16990000,24,91.2,1020,56200,1000,16100,517791681,517791681,276811433,300,0,0,0,0
2026-04-10,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,995.0,0.0,1050.0,990.0,1025.0,30.0,10400,10600500,14,93.0,1025,83900,1000,1500,517791681,517791681,276811433,0,0,0,0,0
2026-04-09,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1020.0,0.0,1025.0,980.0,995.0,-25.0,49700,50319000,17,90.3,1020,1500,990,200,517791681,517791681,276811433,300,20000,0,0,0
2026-04-08,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1020.0,0.0,1020.0,990.0,1020.0,0.0,59800,60740000,18,92.5,1020,34800,995,5300,517791681,517791681,276811433,0,600,0,0,0
2026-04-07,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1020.0,1025.0,1025.0,980.0,1020.0,0.0,2700,2750500,6,92.5,1015,600,980,4100,517791681,517791681,276811433,0,0,0,0,0
2026-04-06,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,1000.0,0.0,1025.0,970.0,1020.0,20.0,181000,178198500,45,92.5,1015,300,980,2600,517791681,517791681,276811433,200,0,0,0,0
2026-04-02,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414---L--------,995.0,0.0,1050.0,985.0,1000.0,5.0,79300,79273000,38,90.7,1000,41000,985,16200,517791681,517791681,276811433,0,20300,0,0,0
2026-04-01,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,995.0,0.0,1050.0,995.0,995.0,0.0,20700,20760500,27,90.3,995,800,990,2000,517791681,517791681,276811433,0,0,0,0,0
2026-03-31,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,1020.0,0.0,1050.0,995.0,995.0,-25.0,16700,17189000,12,90.3,1020,4600,995,12600,517791681,517791681,277173887,0,0,0,0,0
2026-03-30,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,1040.0,1005.0,1050.0,1000.0,1020.0,-20.0,16700,16956000,28,92.5,1020,17000,1005,2500,517791681,517791681,277173887,0,5200,0,0,0
2026-03-27,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,1020.0,0.0,1050.0,1000.0,1040.0,20.0,1600,1643500,8,94.3,1030,2000,1005,500,517791681,517791681,277173887,0,0,0,0,0
2026-03-26,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,1015.0,0.0,1050.0,1005.0,1020.0,5.0,19300,19732000,30,92.5,1020,400,1015,600,517791681,517791681,277173887,0,0,0,0,0
2026-03-25,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,985.0,0.0,1020.0,960.0,1015.0,30.0,19500,19418000,29,92.1,1015,24100,980,1000,517791681,517791681,277173887,0,0,0,0,0
2026-03-17,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,985.0,0.0,1000.0,980.0,985.0,0.0,28000,27591500,26,89.3,990,2000,980,22500,517791681,517791681,277173887,0,0,0,0,0
2026-03-16,MREI,Maskapai Reasuransi Indonesia Tbk.,--UO1100000000G414------------,990.0,0.0,1025.0,970.0,985.0,-5.0,157400,155247000,33,89.3,980,12300,970,20000,517791681,517791681,277173887,0,20000,0,0,0
