Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,420.0,416.0,515.0,402.0,410.0,-10.0,187190300,79250690300,24854,820.0,420,1000,410,1100,60676178205,60676178205,16916518484,151771400,130814300,73009705,30588741050,6
2026-05-26,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,494.0,494.0,505.0,420.0,420.0,-74.0,47827400,21687265300,10132,840.0,420,1346000,0,0,60676178205,60676178205,16916518484,30849600,23853900,264000,130416000,1
2026-05-22,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,530.0,535.0,540.0,498.0,540.0,10.0,10484400,5516614100,3255,1080.0,540,211500,535,40000,60676178205,60676178205,16916518484,5925300,8363700,0,0,0
2026-05-21,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,600.0,610.0,610.0,520.0,530.0,-70.0,18492600,10172171500,3453,1060.0,530,1585800,525,85000,60676178205,60676178205,16916518484,11724700,9340500,0,0,0
2026-05-20,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,645.0,650.0,650.0,570.0,600.0,-45.0,9888300,6129647000,3765,1200.0,600,208800,595,56900,60676178205,60676178205,16916518484,5837500,6324200,0,0,0
2026-05-19,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,630.0,635.0,680.0,620.0,645.0,15.0,26926200,17402609000,5746,1290.0,645,118600,640,61000,60676178205,60676178205,16916518484,15872000,17097100,1199400,629454200,2
2026-05-18,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,645.0,640.0,640.0,550.0,630.0,-15.0,12335300,7314355500,4522,1260.0,630,647800,625,9000,60676178205,60676178205,16916518484,4938500,7929200,53,33660,2
2026-05-13,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,675.0,655.0,655.0,575.0,645.0,-30.0,40028400,23537112500,8186,1290.0,645,168700,640,1500,60676178205,60676178205,16916518484,22318900,21766600,72900,60476700,2
2026-05-12,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,700.0,705.0,705.0,640.0,675.0,-25.0,12485100,8345569000,3413,1350.0,675,308800,670,1100,60676178205,60676178205,16916518484,7681000,8026800,6126550,4127728950,4
2026-05-11,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,720.0,720.0,725.0,640.0,700.0,-20.0,17851100,12277386500,4429,1400.0,700,139900,680,700,60676178205,60676178205,16916518484,9761600,13515200,694160,499794000,2
2026-05-08,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,810.0,810.0,815.0,710.0,720.0,-90.0,16010200,12170827500,4788,1440.0,720,10100,715,1100,60676178205,60676178205,16916518484,6917600,7439300,44,33660,2
2026-05-07,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,815.0,820.0,820.0,780.0,810.0,-5.0,15396500,12358989500,6081,1620.0,810,754800,800,6200,60676178205,60676178205,16916518484,9129900,7177300,1523000,839268900,2
2026-05-06,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,810.0,815.0,835.0,800.0,815.0,5.0,16141600,13203545000,3780,1630.0,820,1900,815,13700,60676178205,60676178205,16916518484,9436800,9860400,0,0,0
2026-05-05,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,795.0,800.0,820.0,790.0,810.0,15.0,14098600,11342155000,6996,1620.0,810,248800,805,2800,60676178205,60676178205,16916518484,6279000,7877900,86600,68847000,1
2026-05-04,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,800.0,800.0,800.0,765.0,795.0,-5.0,13021100,10147133500,3956,1590.0,795,706900,790,1000,60676178205,60676178205,16916518484,5290200,6676400,53970100,44208985400,8
2026-04-30,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,830.0,835.0,900.0,775.0,800.0,-30.0,49587600,41686091500,11134,1600.0,810,42500,800,125900,60676178205,60676178205,16916518484,19224900,13158800,3449700,3025461000,2
2026-04-29,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,800.0,810.0,835.0,780.0,830.0,30.0,14792700,12054670500,3464,1660.0,830,299300,825,48700,60676178205,60676178205,16916518484,4749900,7456200,777222,629769360,3
2026-04-28,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,830.0,835.0,860.0,755.0,800.0,-30.0,25351700,20510219000,4956,1600.0,800,109800,795,2600,60676178205,60676178205,16916518484,10311400,11826400,0,0,0
2026-04-27,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,815.0,820.0,860.0,815.0,830.0,15.0,17370600,14555440500,5672,1660.0,835,61700,830,13200,60676178205,60676178205,16916518484,8143300,7417000,0,0,0
2026-04-24,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,835.0,835.0,845.0,785.0,815.0,-20.0,12207200,9926404000,3585,1630.0,815,465400,810,1100,60676178205,60676178205,16916518484,3672600,9067000,3294100,2424396700,2
2026-04-23,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,935.0,935.0,935.0,795.0,835.0,-100.0,51750400,43230167000,9558,1670.0,835,469900,830,7600,60676178205,60676178205,16916518484,12177500,12628600,0,0,0
2026-04-22,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,905.0,905.0,940.0,855.0,935.0,30.0,24384800,21972811000,5404,1870.0,935,304000,930,58800,60676178205,60676178205,16916518484,8007500,10273600,1000,905000,1
2026-04-21,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,905.0,910.0,935.0,865.0,905.0,0.0,24439800,22064578000,5048,1810.0,905,577300,900,36100,60676178205,60676178205,16916518484,7755800,8520000,0,0,0
2026-04-20,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,930.0,935.0,950.0,890.0,905.0,-25.0,23726400,21854686500,4759,1810.0,905,383000,900,69900,60676178205,60676178205,16916518484,8870600,8062600,66,59730,1
2026-04-17,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,960.0,965.0,985.0,865.0,930.0,-30.0,36772300,33674939500,8153,1860.0,930,838500,925,1100,60676178205,60676178205,16916518484,9266500,12897500,1389588,1335761340,3
2026-04-16,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,960.0,960.0,1070.0,880.0,960.0,0.0,84082300,82919858500,17892,1920.0,960,318400,950,200,60676178205,60676178205,16916518484,32109500,20196900,0,0,0
2026-04-15,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,1125.0,1090.0,1115.0,960.0,960.0,-165.0,56346200,57367916500,11425,1920.0,960,3794500,0,0,60676178205,60676178205,16916518484,20387400,11732700,27278900,30419244000,3
2026-04-14,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,1320.0,1325.0,1330.0,1125.0,1125.0,-195.0,33742900,40948303000,11351,2250.0,1125,2973700,0,0,60676178205,60676178205,16916518484,14113700,7289200,0,0,0
2026-04-13,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,1320.0,0.0,0.0,0.0,1320.0,0.0,0,0,0,2640.0,0,0,0,0,60676178205,60676178205,16916518484,0,0,0,0,0
2026-04-10,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,1185.0,1185.0,1450.0,1155.0,1320.0,135.0,76785800,101828700000,19194,2640.0,1320,923400,1315,6600,60676178205,60676178205,16916518484,27983900,27073400,21187544,25001308080,4
2026-04-09,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,950.0,955.0,1185.0,935.0,1185.0,235.0,77789600,83577380500,18892,2370.0,0,0,1185,381800,60676178205,60676178205,16916518484,32760100,36282400,97863000,93179250000,10
2026-04-08,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,950.0,945.0,1030.0,905.0,950.0,0.0,39217700,37772012000,9664,1900.0,950,365600,945,48400,60676178205,60676178205,16916518484,24113100,21129700,0,0,0
2026-04-07,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,970.0,975.0,995.0,880.0,950.0,-20.0,33043900,31398169000,7489,1900.0,950,367000,945,5200,60676178205,60676178205,16916518484,12294200,17162800,198400,192767000,2
2026-04-06,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,835.0,845.0,1000.0,840.0,970.0,135.0,66797000,61221824500,15097,1940.0,975,4200,970,67700,60676178205,60676178205,16916518484,26222400,24462400,9680600,8129346500,4
2026-04-02,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,670.0,670.0,835.0,650.0,835.0,165.0,52616000,41048856500,8087,1670.0,0,0,835,1451000,60676178205,60676178205,16916518484,19841100,23907900,138077,112115295,4
2026-04-01,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,630.0,600.0,675.0,560.0,670.0,40.0,32879800,20952684000,4979,1340.0,670,409300,665,20500,60676178205,60676178205,16916518484,16797100,21023700,29200,18412600,2
2026-03-31,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,585.0,590.0,655.0,570.0,630.0,45.0,46221400,28572317500,7133,1260.0,630,295900,625,741300,60676178205,60676178205,16795166127,23269200,28576100,8544177,4998347010,2
2026-03-30,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,520.0,520.0,615.0,505.0,585.0,65.0,39592000,22284645500,5185,1170.0,585,88900,580,76600,60676178205,60676178205,16795166127,14724500,17376900,361700000,169999000000,1
2026-03-27,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,520.0,525.0,525.0,500.0,520.0,0.0,12843300,6518296500,1644,1040.0,520,250400,515,10600,60676178205,60676178205,16795166127,2603400,10389300,9027600,5211381400,6
2026-03-26,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,525.0,525.0,530.0,500.0,520.0,-5.0,13482500,6898530000,1922,1040.0,520,169200,515,1500,60676178205,60676178205,16795166127,7996800,7209600,77,40040,1
2026-03-25,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,496.0,498.0,530.0,492.0,525.0,29.0,15681800,8094800500,1882,1050.0,525,18700,520,10600,60676178205,60676178205,16795166127,7416000,12009200,0,0,0
2026-03-17,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,498.0,500.0,500.0,486.0,496.0,-2.0,8368300,4134909200,1985,992.0,496,279900,492,300,60676178205,60676178205,16795166127,3248200,5699800,17409100,10630692900,15
2026-03-16,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,490.0,492.0,520.0,470.0,498.0,8.0,14574400,7317049500,2147,996.0,498,3400,496,18800,60676178205,60676178205,16795166127,8300400,8384500,154,75922,2
2026-03-13,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,525.0,530.0,530.0,482.0,490.0,-35.0,14389400,7168530300,2989,980.0,490,316400,488,10500,60676178205,60676178205,16795166127,5777100,5560700,0,0,0
2026-03-12,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,486.0,496.0,555.0,484.0,525.0,39.0,37238000,19500080500,5990,1050.0,525,394100,520,16600,60676178205,60676178205,16795166127,11050400,16424000,8,4200,1
2026-03-11,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,494.0,496.0,496.0,462.0,486.0,-8.0,20467900,9858358600,2127,972.0,486,62300,484,16000,60676178205,60676178205,16795166127,8049300,14829300,0,0,0
2026-03-10,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,496.0,498.0,515.0,484.0,494.0,-2.0,17859700,8925537700,2377,988.0,494,81300,490,6800,60676178205,60676178205,16795166127,9128500,7487800,4299293,2141047542,3
2026-03-09,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,535.0,498.0,505.0,476.0,496.0,-39.0,11596100,5690591100,2386,992.0,496,83200,492,800,60676178205,60676178205,16795166127,3435100,5469700,10471593,7044117928,4
2026-03-06,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,535.0,535.0,540.0,505.0,535.0,0.0,40474200,21181359000,3055,1070.0,535,633900,530,4300,60676178205,60676178205,16795166127,18845200,30743700,12301543,6396803005,3
2026-03-05,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,490.0,490.0,535.0,490.0,535.0,45.0,33234200,16940846400,2371,1070.0,535,866200,530,62400,60676178205,60676178205,16795166127,11715500,17730300,701400,419743700,2
2026-03-04,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,575.0,580.0,580.0,490.0,490.0,-85.0,23930000,12357003200,3094,980.0,490,1134700,0,0,60676178205,60676178205,16795166127,8764100,9275200,94943,54538570,3
2026-03-03,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,575.0,580.0,580.0,520.0,575.0,0.0,24525800,13741601500,2668,1150.0,575,345200,570,400,60676178205,60676178205,16795166127,7981700,15099000,0,0,0
2026-03-02,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,640.0,555.0,625.0,550.0,575.0,-65.0,41282000,23969080000,4847,1150.0,575,2196600,570,159400,60676178205,60676178205,16795166127,8368700,21595700,882743,513774725,5
2026-02-27,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,525.0,530.0,650.0,510.0,640.0,115.0,80157900,46550771500,8310,1280.0,640,1449600,635,113700,60676178205,60676178205,16795166127,26122400,44380800,26392414,13857154760,5
2026-02-26,MSIN,MNC Digital Entertainment Tbk.,--UO113C000000E621------------,515.0,520.0,525.0,498.0,525.0,10.0,33569000,17178989700,3009,1050.0,525,2554100,520,68700,60676178205,60676178205,16795166127,6467300,22032500,122,60021,2
