Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-06,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,605.0,635.0,635.0,595.0,615.0,10.0,35400,21405500,28,258.6,620,1500,615,3600,7655126330,7655126330,1572362948,0,0,83900,43208500,1
2026-04-02,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,640.0,640.0,640.0,605.0,605.0,-35.0,33500,20870000,26,254.4,635,6400,605,9200,7655126330,7655126330,1572362948,10000,0,0,0,0
2026-04-01,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,645.0,655.0,655.0,600.0,640.0,-5.0,132000,83795000,67,269.1,645,12400,610,2000,7655126330,7655126330,1572362948,16400,0,657500,361625000,1
2026-03-31,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,625.0,615.0,645.0,595.0,645.0,20.0,625900,400261000,100,271.2,645,14000,600,308600,7655126330,7655126330,1167406765,20000,900,100900,53981500,1
2026-03-30,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,575.0,575.0,635.0,525.0,625.0,50.0,401000,242974500,201,262.8,630,3500,600,200,7655126330,7655126330,1167406765,14800,10800,0,0,0
2026-03-27,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,510.0,0.0,585.0,510.0,575.0,65.0,58300,32654500,75,241.7,580,3100,570,500,7655126330,7655126330,1167406765,6800,0,0,0,0
2026-03-26,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,510.0,0.0,510.0,494.0,510.0,0.0,3600,1834400,4,214.4,510,2100,505,2500,7655126330,7655126330,1167406765,0,0,0,0,0
2026-03-25,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,510.0,505.0,525.0,492.0,510.0,0.0,53900,27128500,31,214.4,510,5000,505,2500,7655126330,7655126330,1167406765,100,0,106700,52816500,1
2026-03-17,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,510.0,480.0,510.0,480.0,510.0,0.0,62800,31117000,54,214.4,510,4600,498,2000,7655126330,7655126330,1167406765,0,0,1000000,500000000,1
2026-03-16,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,525.0,0.0,525.0,505.0,510.0,-15.0,324600,165577000,40,214.4,520,800,505,15300,7655126330,7655126330,1167406765,0,0,0,0,0
2026-03-13,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,525.0,0.0,525.0,505.0,525.0,0.0,81700,41947000,36,220.7,545,200,525,2600,7655126330,7655126330,1167406765,500,0,87300,43213500,1
2026-03-12,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,530.0,525.0,525.0,505.0,525.0,-5.0,87400,44675000,48,220.7,525,32000,520,400,7655126330,7655126330,1167406765,1400,0,0,0,0
2026-03-11,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,530.0,550.0,550.0,505.0,530.0,0.0,36000,18718000,35,222.8,530,4700,525,100,7655126330,7655126330,1167406765,300,0,0,0,0
2026-03-10,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,530.0,0.0,530.0,510.0,530.0,0.0,33800,17498000,21,222.8,540,1300,525,2500,7655126330,7655126330,1167406765,0,0,0,0,0
2026-03-09,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,530.0,0.0,530.0,500.0,530.0,0.0,156100,80417500,47,222.8,565,100,510,3000,7655126330,7655126330,1167406765,1000,17100,0,0,0
2026-03-06,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,530.0,0.0,635.0,510.0,530.0,0.0,454900,257191000,212,222.8,565,200,530,1700,7655126330,7655126330,1167406765,116800,148100,0,0,0
2026-03-05,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,540.0,0.0,535.0,500.0,530.0,-10.0,201200,104032500,55,222.8,530,6600,525,1700,7655126330,7655126330,1167406765,1000,0,0,0,0
2026-03-04,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,545.0,0.0,540.0,520.0,540.0,-5.0,52600,27616000,18,227.0,540,2100,535,1000,7655126330,7655126330,1167406765,100,8700,0,0,0
2026-03-03,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,550.0,550.0,550.0,520.0,545.0,-5.0,49600,26419000,41,229.1,550,2500,545,600,7655126330,7655126330,1167406765,200,12200,427700,211711500,1
2026-03-02,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,550.0,505.0,550.0,500.0,550.0,0.0,63100,32775500,74,231.2,550,1900,545,2200,7655126330,7655126330,1167406765,0,0,35500000,20235000000,1
2026-02-27,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,550.0,0.0,555.0,550.0,550.0,0.0,1000,550500,6,231.2,550,100,545,600,7655126330,7655126330,1167406765,200,0,43500,21532500,1
2026-02-26,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,550.0,0.0,550.0,550.0,550.0,0.0,8100,4455000,8,231.2,555,100,550,4700,7655126330,7655126330,1167406765,0,0,35500000,20057500000,1
2026-02-25,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,555.0,555.0,555.0,535.0,550.0,-5.0,23900,13047500,33,231.2,550,5500,540,1500,7655126330,7655126330,1167406765,0,0,0,0,0
2026-02-24,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,580.0,590.0,590.0,500.0,555.0,-25.0,237600,126539000,87,233.3,555,15400,550,12600,7655126330,7655126330,1167406765,4700,0,223000,110385000,1
2026-02-23,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,590.0,590.0,590.0,580.0,580.0,-10.0,46700,27323000,47,243.9,590,14300,580,7900,7655126330,7655126330,1167406765,0,0,0,0,0
2026-02-20,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,590.0,0.0,590.0,585.0,590.0,0.0,24400,14332000,15,248.1,590,8300,585,2500,7655126330,7655126330,1167406765,0,0,0,0,0
2026-02-19,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,595.0,0.0,595.0,585.0,590.0,-5.0,32900,19406000,18,248.1,590,20300,585,1500,7655126330,7655126330,1167406765,0,0,0,0,0
2026-02-18,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,595.0,585.0,600.0,585.0,595.0,0.0,86400,51486500,36,250.2,595,100,590,400,7655126330,7655126330,1167406765,0,6700,0,0,0
2026-02-13,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,595.0,0.0,595.0,585.0,595.0,0.0,43600,25825000,18,250.2,595,23800,585,1000,7655126330,7655126330,1167406765,0,0,0,0,0
2026-02-12,MTLA,Metropolitan Land Tbk.,--UO1135000000H111------------,600.0,0.0,595.0,585.0,595.0,-5.0,111300,65900000,32,250.2,600,10900,590,13500,7655126330,7655126330,1167406765,0,0,0,0,0
