Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-27,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,38.0,0.0,39.0,37.0,37.0,-1.0,8101600,306430000,518,37.0,38,2058600,37,2980200,4285440269,4285440269,0,1105500,127700,0,0,0
2026-04-24,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,41.0,0.0,42.0,38.0,38.0,-3.0,14978300,583795600,539,38.0,39,1117100,38,3230800,4285440269,4285440269,0,500,1600,0,0,0
2026-04-23,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,40.0,0.0,43.0,40.0,41.0,1.0,22291000,909934300,917,41.0,41,3918600,40,2676700,4285440269,4285440269,0,423400,0,0,0,0
2026-04-22,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,40.0,0.0,41.0,39.0,40.0,0.0,22171600,882876800,767,40.0,41,7451400,40,335800,4285440269,4285440269,0,4000,72600,0,0,0
2026-04-21,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,39.0,0.0,40.0,38.0,40.0,1.0,12733400,497675000,548,40.0,40,3700700,39,991500,4285440269,4285440269,0,92200,0,0,0,0
2026-04-20,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,41.0,0.0,44.0,38.0,39.0,-2.0,39394700,1540736900,1209,39.0,39,493500,38,5567500,4285440269,4285440269,0,1154700,0,0,0,0
2026-04-17,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,38.0,0.0,41.0,37.0,41.0,3.0,60163700,2405631000,1922,41.0,0,0,41,15500,4285440269,4285440269,0,0,0,0,0,0
2026-04-16,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,36.0,0.0,38.0,35.0,38.0,2.0,25396100,952897400,861,38.0,39,15904100,38,4079000,4285440269,4285440269,0,0,270300,0,0,0
2026-04-15,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,35.0,0.0,37.0,34.0,36.0,1.0,26215400,929836500,810,36.0,37,4995100,36,1795400,4285440269,4285440269,0,0,0,0,0,0
2026-04-14,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,35.0,0.0,36.0,34.0,35.0,0.0,14740300,509873300,647,35.0,35,3834200,34,4794700,4285440269,4285440269,0,1612800,0,0,0,0
2026-04-13,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,35.0,0.0,35.0,33.0,35.0,0.0,5817200,199437500,479,35.0,35,4086100,34,1701400,4285440269,4285440269,0,70500,0,0,0,0
2026-04-10,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,36.0,0.0,36.0,33.0,35.0,-1.0,41854700,1424071200,963,35.0,35,3061200,34,119600,4285440269,4285440269,0,0,0,0,0,0
2026-04-09,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,35.0,0.0,36.0,34.0,36.0,1.0,5051200,177627300,326,36.0,36,2006000,35,817900,4285440269,4285440269,0,0,0,0,0,0
2026-04-08,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,36.0,0.0,37.0,33.0,35.0,-1.0,18942800,651349400,553,35.0,36,2069400,35,3426200,4285440269,4285440269,0,0,0,0,0,0
2026-04-07,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,38.0,0.0,38.0,35.0,36.0,-2.0,23526200,843257600,601,36.0,37,1390400,36,1490700,4285440269,4285440269,0,283600,0,0,0,0
2026-04-06,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,35.0,0.0,38.0,35.0,38.0,3.0,15321300,560643900,867,38.0,38,7830300,37,190200,4285440269,4285440269,0,32300,0,0,0,0
2026-04-02,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421---L--------,34.0,0.0,37.0,34.0,35.0,1.0,6376900,225495200,601,35.0,35,40800,34,1639500,4285440269,4285440269,0,0,0,0,0,0
2026-04-01,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,35.0,0.0,36.0,34.0,34.0,-1.0,5145200,180204200,360,34.0,35,401100,34,3551100,4285440269,4285440269,0,0,0,0,0,0
2026-03-31,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,36.0,0.0,37.0,33.0,35.0,-1.0,8147300,283323600,672,35.0,36,212100,35,281300,4285440269,4285440269,0,224300,0,0,0,0
2026-03-30,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,39.0,0.0,41.0,36.0,36.0,-3.0,53250000,1958256700,1674,36.0,37,1510100,36,812100,4285440269,4285440269,0,215500,0,0,0,0
2026-03-27,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,36.0,0.0,39.0,36.0,39.0,3.0,14175700,541658100,870,39.0,0,0,39,956400,4285440269,4285440269,0,12600,1000,0,0,0
2026-03-26,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,33.0,0.0,36.0,30.0,36.0,3.0,23398800,815946600,910,36.0,0,0,36,9645100,4285440269,4285440269,0,1498700,310500,0,0,0
2026-03-25,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,32.0,0.0,34.0,31.0,33.0,1.0,10184700,329533300,542,33.0,34,1678400,33,4844800,4285440269,4285440269,0,1200,0,0,0,0
2026-03-17,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,31.0,0.0,33.0,30.0,32.0,1.0,8707400,274614100,470,32.0,32,763700,31,1286800,4285440269,4285440269,0,1506400,1612800,0,0,0
2026-03-16,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,33.0,0.0,35.0,30.0,31.0,-2.0,33175300,1036022200,920,31.0,32,6000,31,172500,4285440269,4285440269,0,1618700,0,0,0,0
2026-03-13,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,36.0,0.0,36.0,33.0,33.0,-3.0,12720900,431427500,548,33.0,34,1217500,33,3907200,4285440269,4285440269,0,145900,0,0,0,0
2026-03-12,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,39.0,0.0,40.0,36.0,36.0,-3.0,49006600,1781428000,915,36.0,36,821100,0,0,4285440269,4285440269,0,11000,24400,0,0,0
2026-03-11,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,38.0,0.0,40.0,36.0,39.0,1.0,13549600,526988700,503,39.0,40,2187500,39,105900,4285440269,4285440269,0,65500,0,0,0,0
2026-03-10,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,38.0,0.0,40.0,35.0,38.0,0.0,32680200,1207891400,741,38.0,39,840300,38,1448800,4285440269,4285440269,0,1132900,59800,0,0,0
2026-03-09,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,42.0,0.0,43.0,38.0,38.0,-4.0,40498000,1545662700,1746,38.0,38,1073300,0,0,4285440269,4285440269,0,5870200,0,0,0,0
2026-03-06,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,39.0,0.0,42.0,38.0,42.0,3.0,39444400,1592675600,1348,42.0,42,1270400,41,248800,4285440269,4285440269,0,193900,454000,0,0,0
2026-03-05,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,36.0,0.0,39.0,35.0,39.0,3.0,19472400,748287300,554,39.0,0,0,39,6069100,4285440269,4285440269,0,78100,0,0,0,0
2026-03-04,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,39.0,0.0,41.0,36.0,36.0,-3.0,33332000,1247927900,1281,36.0,36,1501900,0,0,4285440269,4285440269,0,782700,278300,0,0,0
2026-03-03,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,40.0,0.0,41.0,38.0,39.0,-1.0,11753900,468312000,563,39.0,40,747500,39,2166300,4285440269,4285440269,0,38400,3542600,0,0,0
2026-03-02,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,44.0,0.0,43.0,40.0,40.0,-4.0,48960400,1991729900,1066,40.0,40,1074300,0,0,4285440269,4285440269,0,119900,5067300,0,0,0
2026-02-27,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,45.0,0.0,46.0,42.0,44.0,-1.0,67002600,2891822900,1334,44.0,44,2327200,43,1630100,4285440269,4285440269,0,2257200,2855800,0,0,0
2026-02-26,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,45.0,0.0,46.0,43.0,45.0,0.0,10134800,454079400,572,45.0,45,1869300,44,343800,4285440269,4285440269,0,4548900,188200,0,0,0
2026-02-25,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,44.0,0.0,47.0,43.0,45.0,1.0,29163000,1325893900,906,45.0,46,649200,45,172400,4285440269,4285440269,0,261100,2488400,0,0,0
