Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,615.0,0.0,635.0,600.0,615.0,0.0,60200,37027500,93,597.1,625,11300,615,1900,8001111504,8001111504,4997494245,7100,0,900000,553500000,1
2026-03-31,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,615.0,0.0,615.0,600.0,615.0,0.0,94800,57312500,74,597.1,615,15400,600,14600,8001111504,8001111504,3357266387,10500,0,12700000,7810500000,1
2026-03-27,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,620.0,0.0,635.0,605.0,635.0,15.0,26100,16183500,37,616.5,640,1000,605,7200,8001111504,8001111504,3357266387,9200,0,0,0,0
2026-03-26,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,625.0,635.0,665.0,620.0,620.0,-5.0,36000,22775000,70,601.9,630,100,625,1000,8001111504,8001111504,3357266387,7900,2300,0,0,0
2026-03-25,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,600.0,595.0,690.0,595.0,625.0,25.0,260800,166302000,160,606.8,630,1000,625,38400,8001111504,8001111504,3357266387,103700,45500,250000000,150000000000,1
2026-03-17,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,600.0,0.0,620.0,595.0,600.0,0.0,59700,36315500,42,582.5,615,1700,595,149100,8001111504,8001111504,3357266387,4400,17400,0,0,0
2026-03-16,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,595.0,595.0,605.0,570.0,600.0,5.0,205000,120183000,34,582.5,600,400,595,64000,8001111504,8001111504,3357266387,1500,0,0,0,0
2026-03-13,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,600.0,0.0,615.0,585.0,595.0,-5.0,68600,40707000,68,577.7,600,800,595,101100,8001111504,8001111504,3357266387,4600,0,2900000,1711000000,1
2026-03-12,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,620.0,0.0,635.0,590.0,600.0,-20.0,141800,86462000,98,582.5,625,1500,600,80600,8001111504,8001111504,3357266387,25300,0,33200000,20584000000,4
2026-03-11,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,640.0,0.0,670.0,600.0,620.0,-20.0,122900,77059000,111,601.9,635,2500,620,900,8001111504,8001111504,3357266387,11400,0,155400000,98679000000,13
2026-03-10,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,590.0,590.0,715.0,590.0,640.0,50.0,474300,308188500,378,621.4,645,9600,640,3600,8001111504,8001111504,3357266387,40000,46300,137600000,89440000000,13
2026-03-09,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,625.0,0.0,610.0,590.0,590.0,-35.0,1162700,697909500,73,572.8,610,11200,590,2300,8001111504,8001111504,3357266387,6400,36200,0,0,0
2026-03-06,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,625.0,0.0,660.0,600.0,625.0,0.0,1301300,787288500,131,606.8,625,10100,600,1035100,8001111504,8001111504,3357266387,33300,140300,0,0,0
2026-03-05,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,620.0,625.0,655.0,620.0,625.0,5.0,70400,44594500,93,606.8,625,1200,620,27200,8001111504,8001111504,3357266387,9300,2800,0,0,0
2026-03-04,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,645.0,655.0,715.0,620.0,620.0,-25.0,1715500,1097316500,266,601.9,645,5000,620,516900,8001111504,8001111504,3357266387,103200,136500,0,0,0
2026-03-03,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,635.0,635.0,775.0,635.0,645.0,10.0,1559300,1084327000,836,626.2,655,6600,645,4000,8001111504,8001111504,3357266387,254400,464100,0,0,0
2026-03-02,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655.0,650.0,660.0,590.0,635.0,-20.0,2050300,1306599500,183,616.5,650,21600,635,299800,8001111504,8001111504,3357266387,231400,112800,0,0,0
2026-02-27,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655.0,680.0,680.0,640.0,655.0,0.0,1169600,755220500,145,635.9,655,31900,650,1400,8001111504,8001111504,3357266387,105300,27000,0,0,0
2026-02-26,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655.0,650.0,700.0,650.0,655.0,0.0,364400,243848500,332,635.9,655,5800,650,79400,8001111504,8001111504,3357266387,103700,22200,0,0,0
2026-02-25,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,695.0,705.0,710.0,630.0,655.0,-40.0,1228600,820117500,313,635.9,655,10600,650,600,8001111504,8001111504,3357266387,132700,165800,0,0,0
2026-02-24,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,695.0,715.0,770.0,690.0,695.0,0.0,505500,365375000,538,674.8,695,1600,690,200,8001111504,8001111504,3357266387,108400,17000,0,0,0
2026-02-23,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,730.0,735.0,740.0,660.0,695.0,-35.0,1534100,1060908000,713,674.8,700,5800,695,12100,8001111504,8001111504,3357266387,180300,175100,0,0,0
