Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-05,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,160.0,0.0,164.0,144.0,147.0,-13.0,36367800,5446362600,3211,196.0,147,24900,146,4600,2157000000,2157000000,0,2615600,5336300,0,0,0
2026-05-04,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,146.0,0.0,160.0,146.0,160.0,14.0,49705300,7829630300,3623,213.3,160,3581200,159,35700,2157000000,2157000000,0,1873200,2988300,0,0,0
2026-04-30,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,133.0,0.0,146.0,135.0,146.0,13.0,60102300,8671565500,3139,194.7,0,0,146,12555800,2157000000,2157000000,0,2197100,1133300,0,0,0
2026-04-29,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,121.0,0.0,133.0,120.0,133.0,12.0,28231900,3666135100,1590,177.3,0,0,133,8592100,2157000000,2157000000,0,1445700,1616100,0,0,0
2026-04-28,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,119.0,0.0,130.0,115.0,121.0,2.0,18652100,2207825100,1307,161.3,121,281500,120,220600,2157000000,2157000000,0,211000,1354900,0,0,0
2026-04-27,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,126.0,0.0,132.0,119.0,119.0,-7.0,17826700,2184384800,1233,158.7,120,23100,119,287800,2157000000,2157000000,0,694700,600100,0,0,0
2026-04-24,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,133.0,0.0,134.0,122.0,126.0,-7.0,19689200,2492913600,1388,168.0,128,626800,126,106600,2157000000,2157000000,0,353900,1903100,0,0,0
2026-04-23,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,136.0,0.0,142.0,131.0,133.0,-3.0,22695300,3053030200,1345,177.3,134,211300,133,60300,2157000000,2157000000,0,5502500,1179500,0,0,0
2026-04-22,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,142.0,0.0,147.0,132.0,136.0,-6.0,44863200,6094092300,3330,181.3,136,778100,135,138700,2157000000,2157000000,0,5128700,1103200,0,0,0
2026-04-21,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,151.0,0.0,166.0,140.0,142.0,-9.0,163909400,24967484500,11434,189.3,143,44000,142,140800,2157000000,2157000000,0,18186000,9132800,0,0,0
2026-04-20,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,145.0,0.0,154.0,131.0,151.0,6.0,25459800,3786506300,3911,201.3,151,447000,150,357300,2157000000,2157000000,0,4633300,1186100,0,0,0
2026-04-17,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,146.0,0.0,148.0,137.0,145.0,-1.0,12482500,1763410200,1169,193.3,145,925900,143,10000,2157000000,2157000000,0,548600,674900,0,0,0
2026-04-16,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,154.0,0.0,169.0,139.0,146.0,-8.0,42292600,6135596900,2751,194.7,146,751600,143,95900,2157000000,2157000000,0,3720200,1561600,0,0,0
2026-04-15,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,140.0,0.0,154.0,139.0,154.0,14.0,36828500,5596144800,2178,205.3,0,0,154,230700,2157000000,2157000000,0,2345200,2483000,0,0,0
2026-04-14,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,134.0,0.0,143.0,131.0,140.0,6.0,14313500,1981283500,1078,186.7,141,253900,140,13300,2157000000,2157000000,0,1561200,1007900,0,0,0
2026-04-13,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,133.0,0.0,137.0,128.0,134.0,1.0,10444700,1379407700,834,178.7,134,335500,133,460800,2157000000,2157000000,0,297200,753000,0,0,0
2026-04-10,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,125.0,0.0,137.0,124.0,133.0,8.0,24887700,3334105200,1447,177.3,135,129600,133,54600,2157000000,2157000000,0,847400,3902500,0,0,0
2026-04-09,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,124.0,0.0,127.0,121.0,125.0,1.0,10371700,1279460400,476,166.7,126,1160400,125,547400,2157000000,2157000000,0,296900,2808500,0,0,0
2026-04-08,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,119.0,0.0,126.0,119.0,124.0,5.0,6568400,804103100,542,165.3,125,38000,124,81700,2157000000,2157000000,0,47900,2237500,0,0,0
2026-04-07,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,120.0,0.0,123.0,115.0,119.0,-1.0,4897400,585111800,401,158.7,119,30700,118,5900,2157000000,2157000000,0,460800,0,0,0,0
2026-04-06,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,122.0,0.0,125.0,118.0,120.0,-2.0,2750200,330889900,539,160.0,120,223000,119,343700,2157000000,2157000000,0,117000,175200,0,0,0
2026-04-02,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221---L--------,123.0,0.0,126.0,118.0,122.0,-1.0,3801700,466148200,407,162.7,123,4200,122,30900,2157000000,2157000000,0,150100,425400,0,0,0
2026-04-01,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,122.0,0.0,126.0,120.0,123.0,1.0,4419300,542162600,404,164.0,124,272800,123,17400,2157000000,2157000000,0,177800,235200,0,0,0
2026-03-31,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,123.0,0.0,128.0,121.0,122.0,-1.0,4077500,505829700,438,162.7,122,74900,121,43000,2157000000,2157000000,0,494800,126100,0,0,0
2026-03-30,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,124.0,0.0,130.0,117.0,123.0,-1.0,9321500,1143719400,765,164.0,125,187000,123,137600,2157000000,2157000000,0,892000,1227400,0,0,0
2026-03-27,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,123.0,0.0,125.0,118.0,124.0,1.0,5280000,643850700,398,165.3,124,219700,122,111000,2157000000,2157000000,0,740300,129800,0,0,0
2026-03-26,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,124.0,0.0,129.0,116.0,123.0,-1.0,9859600,1194358600,655,164.0,123,710200,119,30000,2157000000,2157000000,0,1834100,150300,0,0,0
2026-03-25,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,124.0,0.0,130.0,123.0,124.0,0.0,13333900,1667630100,617,165.3,125,75200,124,323100,2157000000,2157000000,0,652400,4033100,0,0,0
2026-03-17,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,123.0,0.0,129.0,123.0,124.0,1.0,4933000,616504500,469,165.3,126,88600,124,168800,2157000000,2157000000,0,557400,290200,0,0,0
2026-03-16,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,125.0,0.0,127.0,120.0,123.0,-2.0,11394400,1414428500,495,164.0,124,1000,123,52900,2157000000,2157000000,0,1720500,3454000,0,0,0
2026-03-13,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,129.0,0.0,141.0,124.0,125.0,-4.0,38940300,5227301100,1828,166.7,125,385600,124,163100,2157000000,2157000000,0,12605500,2836000,0,0,0
2026-03-12,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,118.0,0.0,129.0,112.0,129.0,11.0,29104600,3551184100,910,172.0,0,0,129,606000,2157000000,2157000000,0,4636700,6537400,0,0,0
2026-03-11,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,119.0,0.0,128.0,118.0,118.0,-1.0,8880300,1087592600,736,157.3,119,2000,118,117700,2157000000,2157000000,0,2894300,975300,0,0,0
2026-03-10,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,119.0,0.0,127.0,108.0,119.0,0.0,10839600,1274108400,770,158.7,120,97400,119,13400,2157000000,2157000000,0,2705200,1311500,0,0,0
2026-03-09,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,128.0,0.0,131.0,117.0,119.0,-9.0,17790300,2131101700,983,158.7,119,1000,117,312800,2157000000,2157000000,0,1006400,3919000,0,0,0
2026-03-06,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,135.0,0.0,139.0,125.0,128.0,-7.0,8166700,1049746800,891,170.7,130,142100,128,157100,2157000000,2157000000,0,679900,1352100,0,0,0
2026-03-05,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,131.0,0.0,140.0,131.0,135.0,4.0,6750900,921779900,611,180.0,137,217900,135,9900,2157000000,2157000000,0,2103600,856300,0,0,0
2026-03-04,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,138.0,0.0,151.0,125.0,131.0,-7.0,30591800,4100097000,1364,174.7,133,29400,131,1015800,2157000000,2157000000,0,3089800,8916500,0,0,0
2026-03-03,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,129.0,0.0,141.0,117.0,138.0,9.0,21495900,2976113700,1322,184.0,139,4100,138,219300,2157000000,2157000000,0,2351900,6734200,0,0,0
2026-03-02,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,143.0,0.0,141.0,129.0,129.0,-14.0,35901900,4690599900,1804,172.0,130,81900,129,12700,2157000000,2157000000,0,2922000,5737200,0,0,0
2026-02-27,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,142.0,0.0,146.0,135.0,143.0,1.0,11860200,1675768400,916,190.7,144,1000,143,154700,2157000000,2157000000,0,1451700,1131300,0,0,0
2026-02-26,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,150.0,0.0,152.0,136.0,142.0,-8.0,33047900,4686104600,2468,189.3,142,199100,141,100,2157000000,2157000000,0,4033700,2992100,0,0,0
