Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1295.0,1300.0,1305.0,1295.0,1295.0,0.0,3246200,4219653000,487,1569.2,1300,194500,1295,315200,22715776032,22715776032,3175665489,1382800,6600,0,0,0
2026-05-26,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1310.0,1310.0,1315.0,1295.0,1295.0,-15.0,1375000,1787564000,521,1569.2,1300,157900,1295,460400,22715776032,22715776032,3175665489,442600,8300,0,0,0
2026-05-25,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1300.0,1310.0,1325.0,1290.0,1310.0,10.0,5536500,7236498500,1092,1587.4,1320,136900,1310,81800,22715776032,22715776032,3175665489,1906900,2687500,0,0,0
2026-05-22,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1295.0,1290.0,1300.0,1280.0,1300.0,5.0,4234000,5464255500,536,1575.3,1300,317300,1295,130200,22715776032,22715776032,3175665489,303600,1924700,0,0,0
2026-05-21,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1305.0,1325.0,1325.0,1290.0,1295.0,-10.0,2361300,3070668500,531,1569.2,1300,23300,1295,700,22715776032,22715776032,3175665489,1012800,36700,0,0,0
2026-05-20,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1310.0,1310.0,1325.0,1295.0,1305.0,-5.0,2680800,3501020500,592,1581.4,1310,4200,1305,30800,22715776032,22715776032,3175665489,819400,288300,0,0,0
2026-05-19,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1300.0,1335.0,1335.0,1285.0,1310.0,10.0,4374500,5699281500,841,1587.4,1310,94200,1305,22000,22715776032,22715776032,3175665489,370300,936700,0,0,0
2026-05-18,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1335.0,1340.0,1340.0,1285.0,1300.0,-35.0,13681000,17793659000,2408,1575.3,1310,14100,1300,88500,22715776032,22715776032,3175665489,4119700,3334300,0,0,0
2026-05-13,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1335.0,1340.0,1345.0,1335.0,1335.0,0.0,1021000,1365708500,406,1617.7,1340,52900,1335,1050100,22715776032,22715776032,3175665489,467200,50300,0,0,0
2026-05-12,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1340.0,1340.0,1350.0,1335.0,1335.0,-5.0,3111900,4163131000,561,1617.7,1340,9200,1335,211000,22715776032,22715776032,3175665489,340900,515300,0,0,0
2026-05-11,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1350.0,1355.0,1355.0,1330.0,1340.0,-10.0,4315000,5786319000,866,1623.8,1345,80300,1340,85600,22715776032,22715776032,3175665489,1040400,1029600,0,0,0
2026-05-08,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1370.0,1360.0,1380.0,1345.0,1350.0,-20.0,5691800,7754183000,1292,1635.9,1355,53600,1350,424500,22715776032,22715776032,3175665489,1066900,796500,0,0,0
2026-05-07,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1340.0,1350.0,1370.0,1335.0,1370.0,30.0,6301900,8499838000,1064,1660.1,1370,15300,1365,5800,22715776032,22715776032,3175665489,1344300,1330100,0,0,0
2026-05-06,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1345.0,1345.0,1360.0,1335.0,1340.0,-5.0,3641800,4906637500,976,1623.8,1345,38900,1340,80200,22715776032,22715776032,3175665489,1242800,457900,0,0,0
2026-05-05,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1325.0,1400.0,1465.0,1340.0,1345.0,20.0,19744900,27461281500,4080,1629.8,1355,500,1345,440000,22715776032,22715776032,3175665489,5999700,2356500,0,0,0
2026-05-04,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1325.0,1325.0,1350.0,1325.0,1325.0,0.0,4205700,5584211500,898,1605.6,1330,15000,1325,337000,22715776032,22715776032,3175665489,1567700,322600,0,0,0
2026-04-30,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1340.0,1340.0,1355.0,1320.0,1325.0,-15.0,6482600,8621126000,1126,1605.6,1325,1700,1320,496600,22715776032,22715776032,3175665489,3460300,851000,0,0,0
2026-04-29,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1330.0,1350.0,1350.0,1330.0,1340.0,10.0,4626800,6190946000,947,1623.8,1340,422200,1335,11400,22715776032,22715776032,3175665489,1790500,77000,0,0,0
2026-04-28,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1345.0,1350.0,1355.0,1330.0,1330.0,-15.0,4490400,5993821500,1075,1611.7,1335,2500,1330,868100,22715776032,22715776032,3175665489,1301200,74300,0,0,0
2026-04-27,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1350.0,1350.0,1360.0,1335.0,1345.0,-5.0,4208600,5673246000,1007,1629.8,1355,22700,1345,52900,22715776032,22715776032,3175665489,979500,457900,0,0,0
2026-04-24,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1410.0,1410.0,1410.0,1350.0,1350.0,-60.0,7863100,10746454500,2020,1635.9,1355,1000,1350,372700,22715776032,22715776032,3175665489,2488200,866100,0,0,0
2026-04-23,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1410.0,1420.0,1425.0,1395.0,1410.0,0.0,5050900,7108058500,1257,1708.6,1410,561600,1400,1100,22715776032,22715776032,3175665489,1732900,218700,0,0,0
2026-04-22,NISP,Bank OCBC NISP Tbk.,XDMO1155006200G111------------,1360.0,1370.0,1445.0,1360.0,1410.0,50.0,12255000,17262388000,2318,1708.6,1415,57600,1410,42000,22715776032,22715776032,3175665489,2527100,1943800,0,0,0
2026-04-21,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1350.0,1350.0,1365.0,1345.0,1360.0,10.0,3024000,4105450500,729,1648.0,1365,196600,1360,8900,22715776032,22715776032,3175665489,589400,522800,0,0,0
2026-04-20,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1365.0,1350.0,1360.0,1345.0,1350.0,-15.0,5876900,7929911000,1627,1635.9,1350,79100,1345,329000,22715776032,22715776032,3175665489,583000,2143300,0,0,0
2026-04-17,NISP,Bank OCBC NISP Tbk.,CDMO1155006200G111------------,1355.0,1355.0,1370.0,1350.0,1365.0,10.0,8960300,12195695000,1359,1654.1,1370,344400,1365,102000,22715776032,22715776032,3175665489,399200,2001700,0,0,0
2026-04-16,NISP,Bank OCBC NISP Tbk.,CDMO1155006200G111------------,1365.0,1365.0,1370.0,1350.0,1355.0,-10.0,8757000,11903499500,1362,1641.9,1355,94100,1350,1711300,22715776032,22715776032,3175665489,1368200,664800,0,0,0
2026-04-15,NISP,Bank OCBC NISP Tbk.,CDMO1155006200G111------------,1360.0,1360.0,1370.0,1355.0,1365.0,5.0,6105500,8320733500,1162,1654.1,1365,793500,1360,851100,22715776032,22715776032,3175665489,947900,868900,0,0,0
2026-04-14,NISP,Bank OCBC NISP Tbk.,CDMO1155006200G111------------,1350.0,1350.0,1370.0,1350.0,1360.0,10.0,5168000,7034232000,1408,1648.0,1365,314100,1360,1802800,22715776032,22715776032,3175665489,1842500,463200,0,0,0
2026-04-13,NISP,Bank OCBC NISP Tbk.,--MO1155006200G111------------,1365.0,1365.0,1365.0,1340.0,1350.0,-15.0,8741300,11794303500,2364,1635.9,1350,77400,1345,546600,22715776032,22715776032,3175665489,1059000,1032900,700,980000,1
