Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,64.0,64.0,67.0,63.0,65.0,1.0,6331200,413769100,420,65.0,66,172100,65,196900,3240235840,3240235840,645130956,73500,40200,0,0,0
2026-03-31,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,64.0,64.0,65.0,62.0,64.0,0.0,1710600,107981600,200,64.0,64,409600,62,468500,3240235840,3240235840,645130956,85600,36600,0,0,0
2026-03-27,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,63.0,62.0,64.0,62.0,63.0,0.0,2044500,128581500,149,63.0,63,73500,62,277200,3240235840,3240235840,645130956,6500,794100,0,0,0
2026-03-26,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,64.0,66.0,66.0,63.0,63.0,-1.0,1750400,111725600,269,63.0,64,444700,63,63900,3240235840,3240235840,645130956,5300,81100,0,0,0
2026-03-25,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,61.0,61.0,66.0,61.0,64.0,3.0,6212100,394373900,473,64.0,64,51900,63,1167600,3240235840,3240235840,645130956,882100,1634000,0,0,0
2026-03-17,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,61.0,62.0,64.0,61.0,61.0,0.0,5700400,355343900,264,61.0,62,300,61,774900,3240235840,3240235840,645130956,1056800,1724900,0,0,0
2026-03-16,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,66.0,65.0,65.0,60.0,61.0,-5.0,6871900,425291800,454,61.0,62,16300,61,168300,3240235840,3240235840,645130956,317700,1871900,0,0,0
2026-03-13,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,68.0,68.0,69.0,65.0,66.0,-2.0,32738700,2205399500,1159,66.0,67,16000,66,405800,3240235840,3240235840,645130956,3145300,665300,0,0,0
2026-03-12,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,68.0,68.0,70.0,66.0,68.0,0.0,25771600,1750486300,1746,68.0,69,1842000,68,24579100,3240235840,3240235840,645130956,4553400,205600,0,0,0
2026-03-11,NPGF,Nusa Palapa Gemilang Tbk.,--UO2130000000B112------------,70.0,72.0,73.0,67.0,68.0,-2.0,51741600,3604344800,2276,68.0,69,710300,68,2191600,3240235840,3240235840,645130956,8267700,3549300,0,0,0
