Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-17,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-16,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-13,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-12,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-11,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-10,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-09,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-06,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-05,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-04,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-03,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-03-02,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-27,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-26,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-25,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-24,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-23,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-20,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-19,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-18,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-13,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-12,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-11,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-10,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-09,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,17900,71600,1
2026-02-06,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-05,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-04,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-02-03,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,50000,200000,1
2026-02-02,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-30,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-29,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-28,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-27,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-26,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-23,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-22,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-21,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-20,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-19,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-15,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-14,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-13,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-12,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-09,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-08,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-07,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-06,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-05,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
2026-01-02,NUSA,Sinergi Megah Internusa Tbk.,--U-4100000000E512---L---Y---X,50.0,0.0,0.0,0.0,50.0,0.0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,6214670119,0,0,0,0,0
