Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-26,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,132.0,132.0,148.0,127.0,128.0,-4.0,22113100,3048186700,2468,128.0,128,205800,127,199300,3150000000,3150000000,899955000,5423300,3959800,0,0,0
2026-05-22,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,126.0,126.0,134.0,114.0,134.0,8.0,14090200,1795013700,1199,134.0,135,438500,134,152200,3150000000,3150000000,899955000,4304700,5675200,0,0,0
2026-05-21,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,147.0,151.0,155.0,125.0,126.0,-21.0,33706100,4430598500,2180,126.0,126,56400,125,1166700,3150000000,3150000000,899955000,7925100,9623600,0,0,0
2026-05-20,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,146.0,146.0,150.0,134.0,147.0,1.0,16000000,2302128400,1234,147.0,147,689300,146,102000,3150000000,3150000000,899955000,3080500,7685300,0,0,0
2026-05-19,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,158.0,158.0,166.0,145.0,146.0,-12.0,15785000,2400370800,1612,146.0,146,174000,145,193800,3150000000,3150000000,899955000,3619100,2631400,0,0,0
2026-05-18,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,160.0,159.0,160.0,146.0,158.0,-2.0,14280900,2180928700,1395,158.0,158,500000,157,72100,3150000000,3150000000,899955000,2986200,4007200,0,0,0
2026-05-13,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,159.0,159.0,169.0,150.0,160.0,1.0,28481300,4588267800,2088,160.0,161,48400,160,86800,3150000000,3150000000,899955000,6099100,5389800,0,0,0
2026-05-12,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,169.0,171.0,177.0,144.0,159.0,-10.0,21536500,3438206300,2098,159.0,159,168100,158,51300,3150000000,3150000000,899955000,2712800,4977500,0,0,0
2026-05-11,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,170.0,168.0,175.0,157.0,169.0,-1.0,30261900,5033101300,2574,169.0,169,2400,168,11400,3150000000,3150000000,899955000,6543000,5957100,0,0,0
2026-05-08,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,188.0,190.0,197.0,170.0,170.0,-18.0,75965000,14027464900,6238,170.0,171,196600,170,92800,3150000000,3150000000,899955000,10610500,6914400,0,0,0
2026-05-07,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,184.0,186.0,194.0,185.0,188.0,4.0,53732300,10167212100,4435,188.0,189,410600,188,117000,3150000000,3150000000,899955000,6400800,7667900,0,0,0
2026-05-06,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,190.0,192.0,193.0,184.0,184.0,-6.0,25623200,4795434300,3032,184.0,184,7300,183,386100,3150000000,3150000000,899955000,2496500,726600,0,0,0
2026-05-05,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,184.0,185.0,197.0,179.0,190.0,6.0,54821600,10380129700,5428,190.0,191,85800,189,405600,3150000000,3150000000,899955000,5732700,5484400,560000,123200000,1
2026-05-04,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,181.0,188.0,194.0,182.0,184.0,3.0,37125800,6951502000,3930,184.0,185,64000,184,341300,3150000000,3150000000,899955000,8609700,5217000,0,0,0
2026-04-30,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,191.0,191.0,196.0,172.0,181.0,-10.0,57563500,10542516700,6055,181.0,182,44700,181,834700,3150000000,3150000000,899955000,8255100,14249500,0,0,0
2026-04-29,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,212.0,212.0,218.0,191.0,191.0,-21.0,205457900,41944573100,20357,191.0,191,848400,190,643300,3150000000,3150000000,899955000,20676100,11740200,0,0,0
2026-04-28,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,171.0,175.0,212.0,166.0,212.0,41.0,282843400,54646583600,22513,212.0,214,208000,212,3768800,3150000000,3150000000,899955000,19216600,29469500,0,0,0
2026-04-27,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,167.0,169.0,181.0,165.0,171.0,4.0,26647400,4583489600,2725,171.0,171,411500,170,164900,3150000000,3150000000,899955000,2775500,2630200,0,0,0
2026-04-24,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,182.0,182.0,202.0,165.0,167.0,-15.0,110156500,20417657500,9320,167.0,168,6100,167,32400,3150000000,3150000000,899955000,13256800,12439400,0,0,0
2026-04-23,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,194.0,195.0,196.0,177.0,182.0,-12.0,53726500,9917788900,5660,182.0,183,418100,182,272300,3150000000,3150000000,899955000,7355700,4800500,0,0,0
2026-04-22,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,172.0,173.0,206.0,173.0,194.0,22.0,295448700,57217435700,24293,194.0,195,1100,194,2696300,3150000000,3150000000,899955000,15118100,19098100,0,0,0
2026-04-21,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,169.0,170.0,177.0,162.0,172.0,3.0,45026600,7724473300,3980,172.0,172,873500,171,211700,3150000000,3150000000,899955000,3778000,5550700,0,0,0
2026-04-20,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,181.0,181.0,188.0,168.0,169.0,-12.0,78543700,13733429300,7953,169.0,169,267900,168,102600,3150000000,3150000000,899955000,7694800,3436900,0,0,0
2026-04-17,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,150.0,146.0,198.0,146.0,181.0,31.0,401865100,74000389400,32954,181.0,182,149800,181,1245300,3150000000,3150000000,899955000,51480800,17796300,0,0,0
2026-04-16,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,156.0,158.0,161.0,149.0,150.0,-6.0,15516300,2378691500,1636,150.0,150,1160300,149,110700,3150000000,3150000000,899955000,767200,3463900,0,0,0
2026-04-15,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,158.0,162.0,165.0,156.0,156.0,-2.0,26791800,4294314200,2152,156.0,156,49700,155,1117900,3150000000,3150000000,899955000,3216700,6341700,0,0,0
2026-04-14,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,154.0,157.0,165.0,152.0,158.0,4.0,67674500,10792622500,5401,158.0,159,94700,158,1400,3150000000,3150000000,899955000,13804600,4762200,0,0,0
2026-04-13,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,147.0,146.0,158.0,140.0,154.0,7.0,61292000,9295036500,6356,154.0,154,496500,153,74300,3150000000,3150000000,899955000,10568100,2910300,0,0,0
2026-04-10,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,124.0,126.0,161.0,126.0,147.0,23.0,111506000,16392107500,9829,147.0,148,36600,147,90800,3150000000,3150000000,899955000,24208800,13268800,0,0,0
2026-04-09,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,125.0,125.0,126.0,123.0,124.0,-1.0,5619900,698275000,602,124.0,125,157700,124,46000,3150000000,3150000000,899955000,484000,2028700,0,0,0
2026-04-08,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,118.0,121.0,129.0,119.0,125.0,7.0,24013500,3002988900,1458,125.0,126,146000,125,598300,3150000000,3150000000,899955000,1371200,6324900,364547200,5468208000,1
2026-04-07,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,117.0,119.0,121.0,115.0,118.0,1.0,9044200,1067618100,817,118.0,118,2300,117,283100,3150000000,3150000000,899955000,1636600,891800,0,0,0
2026-04-06,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,122.0,121.0,125.0,116.0,117.0,-5.0,15116100,1804306200,970,117.0,120,133000,117,802700,3150000000,3150000000,899955000,320400,5608900,0,0,0
2026-04-02,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,128.0,128.0,128.0,119.0,122.0,-6.0,6668900,820855000,832,122.0,122,1500,121,93900,3150000000,3150000000,899955000,1095100,94900,0,0,0
2026-04-01,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,121.0,126.0,132.0,124.0,128.0,7.0,18329000,2339345600,1289,128.0,128,1404600,127,10500,3150000000,3150000000,899955000,2230300,4872300,0,0,0
2026-03-31,PADA,Personel Alih Daya Tbk.,--UO2130000000C231------------,128.0,128.0,130.0,118.0,121.0,-7.0,13101300,1594698700,1040,121.0,122,58900,121,100300,3150000000,3150000000,899955000,1171400,803100,0,0,0
