Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-21,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,116.0,117.0,122.0,117.0,122.0,6.0,277314000,33226163300,13695,241.4,122,9501700,121,898700,11307246524,11307246524,10634465356,43641000,28554800,0,0,0
2026-04-20,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,122.0,124.0,125.0,116.0,116.0,-6.0,349996000,41576597400,16130,229.5,116,5356100,115,25000500,11307246524,11307246524,10634465356,38819700,60147900,0,0,0
2026-04-17,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,125.0,125.0,130.0,121.0,122.0,-3.0,488823000,60868906800,18151,241.4,123,870500,122,19544500,11307246524,11307246524,10634465356,94139600,84528800,0,0,0
2026-04-16,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,127.0,130.0,134.0,123.0,125.0,-2.0,612352800,78433345300,24181,247.3,126,3912000,125,3474000,11307246524,11307246524,10634465356,56832700,72773400,290000,41180000,1
2026-04-15,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,128.0,131.0,135.0,125.0,127.0,-1.0,613176400,79505293100,28369,251.3,128,3281800,127,24300,11307246524,11307246524,10634465356,71209500,85442800,100,11000,1
2026-04-14,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,133.0,133.0,139.0,127.0,128.0,-5.0,1273985700,167587299400,64047,253.2,129,7269600,128,1555900,11307246524,11307246524,10634465356,171800000,178554500,100000,14100000,1
2026-04-13,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,129.0,124.0,151.0,120.0,133.0,4.0,3615372200,504986770300,149808,263.1,133,1368400,132,3137500,11307246524,11307246524,10634465356,447981200,348725700,1400000,197400000,1
2026-04-10,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,100.0,105.0,133.0,103.0,129.0,29.0,2508624200,306964794800,88584,255.2,130,6320800,129,3204800,11307246524,11307246524,10634465356,419608500,502439700,1575000,221025000,2
2026-04-09,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,103.0,101.0,103.0,98.0,100.0,-3.0,243679000,24276256400,9797,197.8,100,13227400,99,609400,11307246524,11307246524,10634465356,50282000,25825700,0,0,0
2026-04-08,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,92.0,97.0,105.0,88.0,103.0,11.0,626763900,62374097400,18589,203.8,103,4417800,102,9625800,11307246524,11307246524,10634465356,43709800,103187500,175000,24850000,1
2026-04-07,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,93.0,93.0,97.0,92.0,92.0,-1.0,133412900,12527702400,5733,182.0,93,5040500,92,4937500,11307246524,11307246524,10634465356,20210700,14320200,0,0,0
2026-04-06,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,92.0,91.0,96.0,88.0,93.0,1.0,193579000,18005250300,8234,184.0,93,2572200,92,1153900,11307246524,11307246524,10634465356,36981700,17299400,200000,25400000,1
2026-04-02,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,99.0,97.0,97.0,92.0,92.0,-7.0,100662900,9497492200,5856,182.0,93,781200,92,1675900,11307246524,11307246524,10634465356,21471200,2634700,0,0,0
2026-04-01,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,93.0,98.0,101.0,95.0,99.0,6.0,264783600,25998942500,13071,195.9,100,23563900,99,2448100,11307246524,11307246524,10634465356,27258600,50925800,200000,25000000,1
2026-03-31,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,95.0,98.0,98.0,92.0,93.0,-2.0,60960200,5700232000,3941,184.0,93,5420100,92,5789800,11307246524,11307246524,10634465356,12091000,3746400,0,0,0
2026-03-30,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,96.0,93.0,96.0,90.0,95.0,-1.0,86675500,8040755900,5125,188.0,96,2251400,95,2005100,11307246524,11307246524,10634465356,19070700,10524100,0,0,0
2026-03-27,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,99.0,99.0,99.0,94.0,96.0,-3.0,74262300,7168319700,4025,189.9,97,2816200,96,2941500,11307246524,11307246524,10634465356,14987400,11712000,2175000,235625000,3
2026-03-26,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,101.0,103.0,106.0,93.0,99.0,-2.0,171031600,17034353700,9623,195.9,100,1965000,98,900200,11307246524,11307246524,10634465356,66124300,11123600,675000,90450000,1
2026-03-25,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,93.0,93.0,105.0,93.0,101.0,8.0,331047700,33310664200,11626,199.8,102,3324100,101,1254600,11307246524,11307246524,10634465356,43344900,81082100,0,0,0
2026-03-17,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,91.0,95.0,103.0,92.0,93.0,2.0,212336700,20397227100,11773,184.0,94,382100,93,998600,11307246524,11307246524,10634465356,46746600,16318100,1220000,153720000,1
2026-03-16,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,94.0,93.0,96.0,85.0,91.0,-3.0,194129000,17559273100,8308,180.0,91,1515600,90,4299400,11307246524,11307246524,10634465356,25852000,63789900,1220000,152500000,1
2026-03-13,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,99.0,99.0,101.0,93.0,94.0,-5.0,161752700,15499330000,7901,186.0,94,498100,93,11435400,11307246524,11307246524,10634465356,16932900,58526900,0,0,0
2026-03-12,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,104.0,102.0,104.0,98.0,99.0,-5.0,164708300,16528185400,8482,195.9,99,156300,98,5206600,11307246524,11307246524,10634465356,23511800,17546300,600000,60000000,1
2026-03-11,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,108.0,110.0,114.0,104.0,104.0,-4.0,366764100,39861277900,14620,205.8,105,265000,104,2390000,11307246524,11307246524,10634465356,80795900,36043200,0,0,0
2026-03-10,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,104.0,115.0,117.0,102.0,108.0,4.0,408997900,44374320000,17572,213.7,109,3107000,108,1500,11307246524,11307246524,10634465356,117668300,15581500,600000,82200000,1
2026-03-09,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,105.0,95.0,112.0,91.0,104.0,-1.0,480732100,49546735100,19980,205.8,105,1979600,104,1412800,11307246524,11307246524,10634465356,76198500,103501300,0,0,0
2026-03-06,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,117.0,115.0,117.0,103.0,105.0,-12.0,310694800,33957054300,13559,207.7,106,292700,105,943500,11307246524,11307246524,10634465356,43095800,44525000,0,0,0
2026-03-05,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,111.0,119.0,130.0,115.0,117.0,6.0,585442300,71430478400,24115,231.5,118,439800,117,3105700,11307246524,11307246524,10634465356,116082500,90489300,0,0,0
2026-03-04,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,124.0,121.0,125.0,107.0,111.0,-13.0,449654300,51063674600,17043,219.6,112,259500,111,19564600,11307246524,11307246524,10634465356,59691100,136770900,8333300,899996400,1
2026-03-03,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,125.0,120.0,130.0,112.0,124.0,-1.0,700508200,86031928400,28414,245.3,125,140400,124,10239200,11307246524,11307246524,10634465356,97000200,152786300,0,0,0
2026-03-02,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,146.0,132.0,139.0,125.0,125.0,-21.0,868819900,112571366400,28870,247.3,125,64291700,0,0,11307246524,11307246524,10634465356,33820500,36353900,1480100,241256300,1
2026-02-27,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,148.0,137.0,151.0,136.0,146.0,-2.0,468538900,67463105100,20315,288.9,146,783700,145,769600,11307246524,11307246524,10634465356,57834100,73386000,0,0,0
2026-02-26,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,164.0,166.0,169.0,143.0,148.0,-16.0,670341300,103987694500,38854,292.8,148,3015400,147,410900,11307246524,11307246524,10634465356,65383900,49029200,0,0,0
2026-02-25,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,154.0,154.0,170.0,148.0,164.0,10.0,1407634400,228743942900,61960,324.5,165,9440300,164,4829100,11307246524,11307246524,10634465356,79290300,59358400,0,0,0
2026-02-24,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,166.0,168.0,179.0,154.0,154.0,-12.0,1926629600,323643085300,97837,304.7,154,11721200,153,1376700,11307246524,11307246524,10634465356,210711200,119178000,0,0,0
2026-02-23,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,135.0,136.0,173.0,136.0,166.0,31.0,2868616900,460978244700,113726,328.4,167,4123600,166,10018700,11307246524,11307246524,10634465356,186292900,328459200,0,0,0
2026-02-20,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,139.0,140.0,143.0,134.0,135.0,-4.0,207248100,28461951600,13829,267.1,135,2008900,134,4164700,11307246524,11307246524,10634465356,6384700,5129500,0,0,0
2026-02-19,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,137.0,140.0,148.0,134.0,139.0,2.0,924954600,130619207900,41895,275.0,140,5897500,139,107400,11307246524,11307246524,10634465356,96690700,59417800,5532800,708198400,1
2026-02-18,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,128.0,130.0,144.0,130.0,137.0,9.0,922974400,127233191900,43514,271.0,138,5340400,137,3645600,11307246524,11307246524,10634465356,50638100,70142000,0,0,0
2026-02-13,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,128.0,125.0,137.0,118.0,128.0,0.0,916762100,119291791300,41732,253.2,129,1442500,128,2078400,11307246524,11307246524,10634465356,39193200,51532200,0,0,0
2026-02-12,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,116.0,125.0,145.0,124.0,128.0,12.0,2056465700,274287509300,96596,253.2,129,360500,128,13237500,11307246524,11307246524,10634465356,250803800,119017400,0,0,0
2026-02-11,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,86.0,86.0,116.0,86.0,116.0,30.0,1896195900,200530500900,68115,229.5,0,0,116,26148200,11307246524,11307246524,10634465356,117579100,237310100,0,0,0
2026-02-10,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,88.0,86.0,91.0,83.0,86.0,-2.0,364794200,31924440100,16634,170.1,87,4402100,85,7430100,11307246524,11307246524,10634465356,46564400,31436300,0,0,0
2026-02-09,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,85.0,78.0,94.0,74.0,88.0,3.0,2303185200,196698631900,64478,174.1,89,3491800,88,8600400,11307246524,11307246524,10634465356,198377600,154849000,0,0,0
2026-02-06,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,100.0,91.0,95.0,85.0,85.0,-15.0,1814015900,157270612200,33083,168.2,85,59882100,0,0,11307246524,11307246524,10634465356,72914900,141132800,0,0,0
2026-02-05,PADI,Minna Padi Investama Sekuritas Tbk.,--UO2105000000G312------------,117.0,100.0,113.0,100.0,100.0,-17.0,1056890900,109432373700,21447,197.8,100,187663800,0,0,11307246524,11307246524,10634465356,78513500,67242200,270000,49950000,1
