Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,342.0,342.0,342.0,320.0,332.0,-10.0,994800,325148000,246,94.1,336,60400,328,45000,15732874458,15732874458,1345160766,5600,181300,0,0,0
2026-05-21,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,354.0,0.0,354.0,340.0,342.0,-12.0,2245300,767389400,172,97.0,344,2300,342,29000,15732874458,15732874458,1345160766,1500,11500,0,0,0
2026-05-20,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,356.0,356.0,358.0,346.0,354.0,-2.0,450800,158597200,148,100.4,356,33100,352,100,15732874458,15732874458,1345160766,2900,52200,0,0,0
2026-05-19,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,358.0,0.0,364.0,350.0,356.0,-2.0,1697300,597243800,189,100.9,356,83000,354,22700,15732874458,15732874458,1345160766,55200,67800,0,0,0
2026-05-18,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,366.0,364.0,364.0,356.0,358.0,-8.0,1559700,559101200,228,101.5,358,25200,356,47300,15732874458,15732874458,1345160766,325000,66900,0,0,0
2026-05-13,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,360.0,0.0,366.0,360.0,366.0,6.0,136500,49542200,68,103.8,366,2700,362,400,15732874458,15732874458,1345160766,33600,1200,0,0,0
2026-05-12,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,362.0,366.0,372.0,360.0,360.0,-2.0,604100,219994800,137,102.1,362,391200,360,368100,15732874458,15732874458,1345160766,41200,1100,0,0,0
2026-05-11,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,368.0,368.0,370.0,360.0,362.0,-6.0,989000,359329600,189,102.6,362,14000,360,321300,15732874458,15732874458,1345160766,108100,20800,0,0,0
2026-05-08,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,380.0,380.0,380.0,366.0,368.0,-12.0,1102800,409446400,189,104.3,368,131600,366,143200,15732874458,15732874458,1345160766,0,15800,0,0,0
2026-05-07,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,378.0,378.0,382.0,376.0,380.0,2.0,513700,194227400,169,107.7,380,97100,378,100,15732874458,15732874458,1345160766,1000,1600,0,0,0
2026-05-06,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,374.0,378.0,380.0,368.0,378.0,4.0,1581700,593190600,274,107.2,378,95400,376,300,15732874458,15732874458,1345160766,57800,157100,0,0,0
2026-05-05,PALM,Provident Investasi Bersama Tbk.,--MO2135000000G512------------,370.0,370.0,376.0,370.0,374.0,4.0,624100,232485800,136,106.0,376,33600,374,4500,15732874458,15732874458,1345160766,0,63600,0,0,0
