Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-26,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1680.0,1690.0,1690.0,1675.0,1680.0,0.0,118400,198880500,88,1221.8,1680,18700,1675,39300,720000000,720000000,220752000,0,8800,0,0,0
2026-03-25,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1685.0,1680.0,1690.0,1655.0,1680.0,-5.0,204000,341750000,144,1221.8,1685,28200,1680,2500,720000000,720000000,220752000,200,20600,0,0,0
2026-03-17,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1675.0,0.0,1695.0,1665.0,1685.0,10.0,123100,206616500,73,1225.5,1685,6300,1680,15300,720000000,720000000,220752000,0,200,0,0,0
2026-03-16,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1670.0,1670.0,1690.0,1650.0,1675.0,5.0,361700,603875000,158,1218.2,1675,2500,1670,500,720000000,720000000,220752000,0,34100,0,0,0
2026-03-13,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1690.0,0.0,1690.0,1665.0,1670.0,-20.0,66600,111344000,82,1214.5,1675,800,1670,300,720000000,720000000,220752000,5400,100,0,0,0
2026-03-12,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1690.0,1680.0,1710.0,1670.0,1690.0,0.0,39900,66974500,76,1229.1,1690,10500,1675,10000,720000000,720000000,220752000,0,0,0,0,0
2026-03-11,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1690.0,0.0,1700.0,1680.0,1690.0,0.0,81500,137831500,69,1229.1,1690,20800,1680,12600,720000000,720000000,220752000,5400,100,0,0,0
2026-03-10,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1650.0,1650.0,1710.0,1650.0,1690.0,40.0,88100,148398000,77,1229.1,1690,2000,1670,19000,720000000,720000000,220752000,0,200,0,0,0
2026-03-09,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1700.0,1700.0,1700.0,1635.0,1650.0,-50.0,590200,977076000,229,1200.0,1655,1000,1650,6400,720000000,720000000,220752000,0,25600,0,0,0
2026-03-06,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1705.0,1685.0,1705.0,1685.0,1700.0,-5.0,272300,462622500,97,1236.4,1705,24300,1700,1700,720000000,720000000,220752000,0,100,0,0,0
2026-03-05,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1680.0,1680.0,1740.0,1680.0,1705.0,25.0,137600,234499500,107,1240.0,1705,9400,1700,15500,720000000,720000000,220752000,5300,4100,0,0,0
2026-03-04,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1710.0,1710.0,1710.0,1630.0,1680.0,-30.0,477200,803110500,295,1221.8,1680,800,1675,100,720000000,720000000,220752000,0,18100,0,0,0
2026-03-03,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1725.0,1725.0,1725.0,1710.0,1710.0,-15.0,178400,305823000,125,1243.6,1715,20000,1710,39400,720000000,720000000,220752000,0,18100,0,0,0
2026-03-02,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1750.0,1740.0,1740.0,1700.0,1725.0,-25.0,298700,512938500,238,1254.5,1725,22600,1720,600,720000000,720000000,220752000,0,18000,0,0,0
2026-02-27,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1750.0,0.0,1760.0,1740.0,1750.0,0.0,70200,122750000,74,1272.7,1755,26300,1750,300,720000000,720000000,220752000,0,0,0,0,0
2026-02-26,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1750.0,1750.0,1765.0,1705.0,1750.0,0.0,274400,478012500,145,1272.7,1750,11200,1745,21500,720000000,720000000,220752000,15200,19900,0,0,0
2026-02-25,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1755.0,1745.0,1755.0,1745.0,1750.0,-5.0,237500,415684500,117,1272.7,1755,44500,1750,16200,720000000,720000000,220752000,0,20000,0,0,0
2026-02-24,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1760.0,1760.0,1765.0,1745.0,1755.0,-5.0,327400,575778000,197,1276.4,1755,23000,1750,100,720000000,720000000,220752000,0,16600,0,0,0
2026-02-23,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1745.0,1765.0,1765.0,1735.0,1760.0,15.0,406600,712337000,228,1280.0,1760,11300,1755,30800,720000000,720000000,220752000,16800,0,0,0,0
2026-02-20,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1750.0,1780.0,1800.0,1730.0,1745.0,-5.0,1456300,2565118500,831,1269.1,1745,43700,1740,50900,720000000,720000000,220752000,75100,73900,0,0,0
2026-02-19,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1595.0,0.0,1750.0,1590.0,1750.0,155.0,3072300,5236417500,1076,1272.7,1755,10000,1750,143500,720000000,720000000,220752000,50000,0,0,0,0
2026-02-18,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1595.0,1595.0,1605.0,1585.0,1595.0,0.0,55700,88810000,84,1160.0,1600,27700,1595,30100,720000000,720000000,220752000,900,0,0,0,0
2026-02-13,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1585.0,1585.0,1615.0,1585.0,1595.0,10.0,183500,293435000,215,1160.0,1600,100,1595,7500,720000000,720000000,220752000,2400,0,0,0,0
2026-02-12,PANS,Panin Sekuritas Tbk.,--UO1105000000G312------------,1560.0,1555.0,1600.0,1555.0,1585.0,25.0,365300,578379500,117,1152.7,1590,9500,1585,7400,720000000,720000000,220752000,4400,10200,0,0,0
