Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-21,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1910.0,1910.0,1915.0,1875.0,1915.0,5.0,20806700,39478329500,7447,638.3,1915,62300,1910,45200,24241508196,24241508196,10431120977,9108100,13310600,0,0,0
2026-04-20,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1910.0,1930.0,1930.0,1890.0,1910.0,0.0,29267000,55874954500,7429,636.7,1910,61000,1905,37400,24241508196,24241508196,10431120977,5956400,17912800,28800,55296000,1
2026-04-17,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1905.0,1915.0,1920.0,1905.0,1910.0,5.0,17245300,32990244000,4889,636.7,1915,525400,1910,108500,24241508196,24241508196,10431120977,6486700,10642600,63,120330,1
2026-04-16,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1895.0,1910.0,1910.0,1890.0,1905.0,10.0,32454200,61675769000,9525,635.0,1905,13200,1900,43300,24241508196,24241508196,10431120977,15867500,16743800,204,387502,4
2026-04-15,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1845.0,1845.0,1930.0,1845.0,1895.0,50.0,68013000,128887490500,14237,631.7,1895,717600,1890,159000,24241508196,24241508196,10431120977,20570800,26960000,11326836,21464353500,2
2026-04-14,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1830.0,1840.0,1865.0,1830.0,1845.0,15.0,25996900,48009537500,6759,615.0,1845,7900,1840,238300,24241508196,24241508196,10431120977,12358500,8271300,376700,696895000,3
2026-04-13,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1820.0,1830.0,1865.0,1825.0,1830.0,10.0,41613700,76606810000,7060,610.0,1840,11800,1830,1356100,24241508196,24241508196,10431120977,26275600,22021000,6801067,12513962060,4
2026-04-10,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1790.0,1815.0,1830.0,1805.0,1820.0,30.0,21695100,39412704000,6122,606.7,1820,209900,1815,27900,24241508196,24241508196,10431120977,8516500,12238600,26,46540,1
2026-04-09,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1830.0,1830.0,1830.0,1780.0,1790.0,-40.0,40513200,72866664000,8836,596.7,1795,15300,1790,68500,24241508196,24241508196,10431120977,25217900,13920500,500,895000,1
2026-04-08,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1755.0,1770.0,1845.0,1750.0,1830.0,75.0,70808800,127454777500,12891,610.0,1830,198900,1825,60400,24241508196,24241508196,10431120977,33251000,29274000,2685756,4931047680,4
2026-04-07,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1800.0,1800.0,1825.0,1755.0,1755.0,-45.0,44206700,78402098000,8555,585.0,1760,1000,1755,379700,24241508196,24241508196,10431120977,30409200,12857300,92,165600,1
2026-04-06,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1795.0,1800.0,1815.0,1760.0,1800.0,5.0,34448800,61554166000,7542,600.0,1800,1400,1795,8100,24241508196,24241508196,10431120977,16664600,14004100,0,0,0
2026-04-02,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1840.0,1850.0,1850.0,1790.0,1795.0,-45.0,47987400,86645971500,12983,598.3,1800,2900,1795,96400,24241508196,24241508196,10431120977,23678600,10469100,0,0,0
2026-04-01,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1845.0,1865.0,1890.0,1825.0,1840.0,-5.0,51525200,95146596000,12637,613.3,1845,276600,1840,12000,24241508196,24241508196,10431120977,27630800,17384700,43266,74124690,2
2026-03-31,PGAS,Perusahaan Gas Negara (Persero) Tbk.,--MO1SNTXUS200A112------------,1895.0,1895.0,1900.0,1830.0,1845.0,-50.0,71011600,131197191500,19093,615.0,1850,53300,1845,129600,24241508196,24241508196,10431120977,47454200,22405500,0,0,0
