Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-15,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1085.0,1085.0,1105.0,1080.0,1095.0,10.0,17208300,18758077000,3324,125.1,1095,972000,1090,100,41899535623,41899535623,4558982907,2380500,5154700,0,0,0
2026-04-14,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1065.0,1070.0,1090.0,1060.0,1085.0,20.0,19677300,21139198000,4182,124.0,1090,679600,1085,321400,41893690051,41893690051,4558982907,5455700,3445600,0,0,0
2026-04-13,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1050.0,1045.0,1065.0,1020.0,1065.0,15.0,9607200,10113566500,3070,121.7,1065,147400,1060,25900,41889359018,41889359018,4558982907,393600,2567000,40000,46000000,1
2026-04-10,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1035.0,1040.0,1055.0,1035.0,1050.0,15.0,10249200,10711963000,1963,120.0,1050,850600,1045,1700,41887156050,41887156050,4558982907,313700,2410000,0,0,0
2026-04-09,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1050.0,1060.0,1070.0,1030.0,1035.0,-15.0,29971000,31397594000,3557,118.3,1040,241900,1035,58400,41885613201,41885613201,4558982907,2427100,3343600,0,0,0
2026-04-08,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1015.0,1025.0,1050.0,1015.0,1050.0,35.0,16061200,16631415000,4354,120.0,1050,568100,1045,52500,41884294446,41884294446,4558982907,2639200,3521300,1250000,2163750000,2
2026-04-07,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1010.0,1010.0,1020.0,1000.0,1015.0,5.0,5428700,5473023500,1905,116.0,1015,828100,1010,5000,41839164080,41839164080,4558982907,905600,1659800,80055518,76853299580,168
2026-04-06,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1020.0,1020.0,1025.0,1000.0,1010.0,-10.0,4398100,4442959500,2162,115.4,1010,202700,1005,108900,41836828618,41836828618,4558982907,1132000,518000,0,0,0
2026-04-02,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1055.0,1050.0,1050.0,1010.0,1020.0,-35.0,11631300,11884419000,3267,116.6,1020,570200,1015,19900,41834503113,41834503113,4558982907,4470400,3071200,1250000,2145000000,2
2026-04-01,PGEO,Pertamina Geothermal Energy Tbk.,--MO1XNJVRH000J411------------,1020.0,1020.0,1070.0,1015.0,1055.0,35.0,52038100,54541880000,4697,120.6,1055,397700,1050,12400,41831815911,41831815911,4558982907,6683800,11761700,0,0,0
