Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-15,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,690.0,0.0,755.0,755.0,755.0,65.0,160600,121253000,68,1308.0,0,0,755,892900,795859095,795859095,0,1100,0,0,0,0
2026-04-14,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,630.0,0.0,690.0,640.0,690.0,60.0,296700,200300000,90,1195.4,0,0,690,136300,795859095,795859095,0,0,0,0,0,0
2026-04-13,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,640.0,0.0,640.0,630.0,630.0,-10.0,398100,253570000,69,1091.4,630,124600,625,4200,795859095,795859095,0,0,0,0,0,0
2026-04-10,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,590.0,0.0,640.0,590.0,640.0,50.0,57200,34635500,36,1108.8,640,11600,620,2800,795859095,795859095,0,0,0,0,0,0
2026-04-09,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,560.0,0.0,610.0,590.0,590.0,30.0,102800,62012000,55,1022.1,590,11600,585,100,795859095,795859095,0,0,0,0,0,0
2026-04-08,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,570.0,0.0,560.0,530.0,560.0,-10.0,124300,67073000,69,970.2,565,100,560,16500,795859095,795859095,0,0,0,0,0,0
2026-04-07,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,580.0,0.0,575.0,570.0,570.0,-10.0,55100,31489500,37,987.5,570,49700,550,200,795859095,795859095,0,0,0,0,0,0
2026-04-06,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,580.0,0.0,585.0,525.0,580.0,0.0,123000,66619500,62,1004.8,580,16700,560,12000,795859095,795859095,0,0,0,0,0,0
2026-04-02,PGJO,Bahtera Bumi Raya Tbk.,--U-4000000000I111-E---------X,640.0,0.0,600.0,580.0,580.0,-60.0,139100,81868000,74,1004.8,580,58700,0,0,795859095,795859095,0,0,0,0,0,0
2026-04-01,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,640.0,0.0,645.0,620.0,640.0,0.0,283900,181946500,62,1108.8,640,7100,635,2500,795859095,795859095,0,0,0,0,0,0
2026-03-31,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,630.0,0.0,650.0,620.0,640.0,10.0,144300,91436000,68,1108.8,640,40400,620,11500,795859095,795859095,0,0,0,0,0,0
2026-03-30,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,645.0,0.0,645.0,595.0,630.0,-15.0,258200,157809000,118,1091.4,630,8400,620,1200,795859095,795859095,0,0,0,0,0,0
2026-03-27,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,655.0,0.0,720.0,620.0,645.0,-10.0,574600,376144500,156,1117.4,645,1500,640,1300,795859095,795859095,0,85900,109900,0,0,0
2026-03-26,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,695.0,0.0,760.0,655.0,655.0,-40.0,238100,163905500,143,1134.7,680,1700,655,2700,795859095,795859095,0,15900,0,0,0,0
2026-03-25,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,710.0,0.0,750.0,680.0,695.0,-15.0,246100,173429500,142,1204.0,695,101600,690,7000,795859095,795859095,0,74400,100900,0,0,0
2026-03-17,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,690.0,0.0,710.0,645.0,710.0,20.0,110100,75863000,65,1230.0,710,12800,685,1900,795859095,795859095,0,11800,0,0,0,0
2026-03-16,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,690.0,0.0,750.0,640.0,690.0,0.0,171200,116491500,122,1195.4,690,110600,645,7900,795859095,795859095,0,0,0,0,0,0
2026-03-13,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,645.0,0.0,705.0,620.0,690.0,45.0,1100200,744467500,539,1195.4,690,24800,685,700,795859095,795859095,0,23200,19400,0,0,0
2026-03-12,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,590.0,0.0,645.0,640.0,645.0,55.0,235500,151860000,68,1117.4,0,0,645,470300,795859095,795859095,0,0,0,0,0,0
2026-03-11,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,540.0,0.0,590.0,535.0,590.0,50.0,219000,127855500,70,1022.1,0,0,590,133400,795859095,795859095,0,32400,0,0,0,0
2026-03-10,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,560.0,0.0,570.0,510.0,540.0,-20.0,173400,94993000,107,935.5,550,400,540,9000,795859095,795859095,0,20800,0,0,0,0
2026-03-09,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,620.0,0.0,610.0,560.0,560.0,-60.0,1856200,1041469000,273,970.2,560,1900,0,0,795859095,795859095,0,5400,70500,0,0,0
2026-03-06,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,600.0,0.0,620.0,545.0,620.0,20.0,898700,522439000,293,1074.1,620,15600,610,2600,795859095,795859095,0,16400,272900,0,0,0
2026-03-05,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,600.0,0.0,640.0,565.0,600.0,0.0,1114000,667056500,211,1039.5,600,70300,595,100,795859095,795859095,0,53900,492200,0,0,0
2026-03-04,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,665.0,0.0,650.0,600.0,600.0,-65.0,1380900,837281500,287,1039.5,600,91200,0,0,795859095,795859095,0,20500,324400,0,0,0
2026-03-03,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,690.0,0.0,690.0,625.0,665.0,-25.0,2868100,1812927000,504,1152.1,665,19400,655,7500,795859095,795859095,0,46300,114000,0,0,0
2026-03-02,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,765.0,0.0,780.0,690.0,690.0,-75.0,1950900,1361840000,370,1195.4,690,200900,0,0,795859095,795859095,0,600700,296100,0,0,0
2026-02-27,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,790.0,0.0,790.0,750.0,765.0,-25.0,265700,202943500,196,1325.3,765,96100,760,2700,795859095,795859095,0,26700,0,0,0,0
2026-02-26,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,820.0,0.0,820.0,770.0,790.0,-30.0,689600,546207000,237,1368.6,790,259500,780,3600,795859095,795859095,0,142600,0,0,0,0
2026-02-25,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,860.0,0.0,865.0,805.0,820.0,-40.0,762300,623613000,262,1420.6,820,15800,810,4600,795859095,795859095,0,608100,0,0,0,0
2026-02-24,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,890.0,0.0,895.0,835.0,860.0,-30.0,405300,346349500,153,1489.9,860,2600,845,200,795859095,795859095,0,86800,1200,0,0,0
2026-02-23,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,850.0,0.0,900.0,835.0,890.0,40.0,470300,407881000,162,1541.9,890,1600,870,58000,795859095,795859095,0,15100,86000,0,0,0
2026-02-20,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,860.0,0.0,860.0,850.0,850.0,-10.0,204600,174955000,53,1472.6,860,33700,850,38500,795859095,795859095,0,200,10400,0,0,0
2026-02-19,PGJO,Bahtera Bumi Raya Tbk.,--U-3000000000I111------------,860.0,0.0,880.0,845.0,860.0,0.0,162900,139940000,93,1489.9,860,202000,850,17800,795859095,795859095,0,0,14100,0,0,0
